variable,full_name,label,value_type,description,categories,categories_label
has_eclipse_preg_p1,BiB_Pregnancy.eclipse_preg_p1.has_eclipse_preg_p1,Has eclipse pregnancy record,decimal,NA,NA,NA
bkfcomplet_p1,BiB_Pregnancy.eclipse_preg_p1.bkfcomplet_p1,Backfill completed,decimal,NA,1|2,No|Yes
bkfdiabete_p1,BiB_Pregnancy.eclipse_preg_p1.bkfdiabete_p1,Diabetes prior to pregnancy,decimal,NA,1|2,No|Yes
bkfhyperex_p1,BiB_Pregnancy.eclipse_preg_p1.bkfhyperex_p1,Existing HT,decimal,NA,1|2,No|Yes
bkfhyperlb_p1,BiB_Pregnancy.eclipse_preg_p1.bkfhyperlb_p1,HT during labour only,decimal,NA,1|2,No|Yes
bkfhyperpi_p1,BiB_Pregnancy.eclipse_preg_p1.bkfhyperpi_p1,Pregnancy induced HT,decimal,NA,1|2|3|4,"No|Mild to moderate|Severe|Yes, not classified"
bkfmumbkwt_p1,BiB_Pregnancy.eclipse_preg_p1.bkfmumbkwt_p1,Mother's booking weight,decimal,NA,NA,NA
bkfpreeclm_p1,BiB_Pregnancy.eclipse_preg_p1.bkfpreeclm_p1,Pre-eclampsia,decimal,NA,1|2,No|Yes
drvgesbook_p1,BiB_Pregnancy.eclipse_preg_p1.drvgesbook_p1,Gestation (wks) at booking appt,decimal,NA,NA,NA
drvgesdiab_p1,BiB_Pregnancy.eclipse_preg_p1.drvgesdiab_p1,Gestational diabetes - derived from GTT and backfill notes,decimal,NA,1|2,No|Yes
drvgesdind_p1,BiB_Pregnancy.eclipse_preg_p1.drvgesdind_p1,Source of gestational diabetes coding,decimal,NA,1|2|3,Defined from GTT results|Defined from backfill notes|No gestational diabetes
ecldbp28wk_p1,BiB_Pregnancy.eclipse_preg_p1.ecldbp28wk_p1,Diastolic blood pressure at 28 wks,decimal,NA,NA,NA
ecldbp36wk_p1,BiB_Pregnancy.eclipse_preg_p1.ecldbp36wk_p1,Diastolic blood pressure at 36 wks,decimal,NA,NA,NA
ecldbpbook_p1,BiB_Pregnancy.eclipse_preg_p1.ecldbpbook_p1,Diastolic blood pressure at booking,decimal,NA,NA,NA
eclgestday_p1,BiB_Pregnancy.eclipse_preg_p1.eclgestday_p1,Gestation in days,decimal,NA,NA,NA
eclgestwds_p1,BiB_Pregnancy.eclipse_preg_p1.eclgestwds_p1,Gestation in weeks and days,decimal,NA,NA,NA
eclgestwks_p1,BiB_Pregnancy.eclipse_preg_p1.eclgestwks_p1,Gestation to last completed week,decimal,NA,NA,NA
ecllgthlab_p1,BiB_Pregnancy.eclipse_preg_p1.ecllgthlab_p1,Time from labour to delivery of last placenta,text,NA,NA,NA
eclnregbrt_p1,BiB_Pregnancy.eclipse_preg_p1.eclnregbrt_p1,Number of registerable births,decimal,NA,1|2|3,Singleton|Twins|Triplets
eclonstlab_p1,BiB_Pregnancy.eclipse_preg_p1.eclonstlab_p1,Type of onset of labour,decimal,NA,1|2|3|4|5|6|7,Spontaneous|No labour (caesarean section)|No labour (elective caesarean section)|Induction|Medical induction|Surgical induction|Medical and surgical induction
eclpertear_p1,BiB_Pregnancy.eclipse_preg_p1.eclpertear_p1,Degree of perineal tearing,decimal,NA,1|2|3|4|5|6|7|8,None|Grade 1|Grade 2|Grade 3a|Grade 3b|Grade 3c|Grade 4|Grade 5
