variable,full_name,label,value_type,description,categories,categories_label
BiBBSPregNumber,BiBBS_CohortInfo.pregnancy.BiBBSPregNumber,BiBBS mother within-cohort pregnancy number,decimal,,,
BiBBSPregnancyID,BiBBS_CohortInfo.pregnancy.BiBBSPregnancyID,BiBBS PregnancyID,text,,,
BiBBSPartnerID,BiBBS_CohortInfo.pregnancy.BiBBSPartnerID,BiBBS partner ID,text,,,
medway_booking_y,BiBBS_CohortInfo.pregnancy.medway_booking_y,Year of booking in maternity EPR,decimal,,,
medway_booking_m,BiBBS_CohortInfo.pregnancy.medway_booking_m,Month of booking in maternity EPR,decimal,,,
medway_edd_y,BiBBS_CohortInfo.pregnancy.medway_edd_y,Expected year of delivery in maternity EPR,decimal,,,
medway_edd_m,BiBBS_CohortInfo.pregnancy.medway_edd_m,Expected month of delivery in maternity EPR,decimal,,,
recruitment_year,BiBBS_CohortInfo.pregnancy.recruitment_year,Year of pregnancy recruitment,decimal,,,
recruitment_month,BiBBS_CohortInfo.pregnancy.recruitment_month,Month of pregnancy recruitment,decimal,,,
m_recruitment_age,BiBBS_CohortInfo.pregnancy.m_recruitment_age,Mother age in years at pregnancy recruitment,decimal,,,
p_recruitment_age,BiBBS_CohortInfo.pregnancy.p_recruitment_age,Partner age in years at pregnancy recruitment,decimal,,,
has_survey,BiBBS_CohortInfo.pregnancy.has_survey,Survey record exists for this pregnancy,decimal,,,
