variable,full_name,label,value_type,description,categories,categories_label
has_bib1000_12m_main,BiB_1000.bib1000_12m_main.has_bib1000_12m_main,Has bib 1000 12m questionnaire main table,decimal,,,
agecm_b12tab,BiB_1000.bib1000_12m_main.agecm_b12tab,Child age (months) BiB1000 12m questionnaire,decimal,,,
agecy_b12tab,BiB_1000.bib1000_12m_main.agecy_b12tab,Child age (years) BiB1000 12m questionnaire,decimal,,,
agemm_b12tab,BiB_1000.bib1000_12m_main.agemm_b12tab,Mother age (months) BiB1000 12m questionnaire,decimal,,,
agemy_b12tab,BiB_1000.bib1000_12m_main.agemy_b12tab,Mother age (years) BiB1000 12m questionnaire,decimal,,,
bib12a01,BiB_1000.bib1000_12m_main.bib12a01,Describe your own health,decimal,,1|2|3|4|5,Excellent|Very good|Good|Fair|Poor
bib12a02,BiB_1000.bib1000_12m_main.bib12a02,Describe your child's health,decimal,,1|2|3|4|5,Excellent|Very good|Good|Fair|Poor
bib12b01,BiB_1000.bib1000_12m_main.bib12b01,Marital status,decimal,,1|2|3|4|5|6,Married|Re-married|Single|Separated|Divorced|Widowed
bib12b02,BiB_1000.bib1000_12m_main.bib12b02,Living arrangements,decimal,,1|2|3|4,Living with baby's father|Living with another partner|Not living with partner but in a relationship|Not living with partner and not in a relationship
bib12b03,BiB_1000.bib1000_12m_main.bib12b03,Any changes to people living in household since last visit,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12b04,BiB_1000.bib1000_12m_main.bib12b04,Number of people living in household,decimal,,,
bib12bmarcohab,BiB_1000.bib1000_12m_main.bib12bmarcohab,Marital/cohabitation status (derived),decimal,,1|2|3|4,"Married|Cohabiting with partner|Partner, not cohabiting|Single"
bib12c01,BiB_1000.bib1000_12m_main.bib12c01,Any changes to your employment status since last visit,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12c02,BiB_1000.bib1000_12m_main.bib12c02,Current employment status,decimal,,1|2|3|4|5|6,"In a job, working for an employer|On maternity leave from employer| Self employed|Full-time student|Looking after home and family|Doing something else"
bib12c02otherspecified,BiB_1000.bib1000_12m_main.bib12c02otherspecified,Specify if other employment status,text,,,
bib12c03,BiB_1000.bib1000_12m_main.bib12c03,Do you work as an employee or are you self-employed,decimal,,1|2|3|4,Employee|Self employed with employees|Self employed without employees|Student
bib12c04,BiB_1000.bib1000_12m_main.bib12c04,How many people work for your employer,decimal,,1|2|3,1-24|25+|Don't know
bib12c05,BiB_1000.bib1000_12m_main.bib12c05,Do you supervise other employees,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12c06,BiB_1000.bib1000_12m_main.bib12c06,What best describes your work,decimal,,1|2|3|4|5|6|7|8,Modern professional occupations|Clerical and intermediate occupations|Senior managers or administrators|Technical and craft occupations|Semi-rountine manual and service occupations|Routine manual and service occupations|Middle or junior managers|Traditional professional occupations
bib12c07,BiB_1000.bib1000_12m_main.bib12c07,Have there been any changes to your partner employment status,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12c08,BiB_1000.bib1000_12m_main.bib12c08,Has your partner ever been employed,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12c09,BiB_1000.bib1000_12m_main.bib12c09,Is your partner an employee or self-employed,decimal,,1|2|3|4,Employee|Self employed with employees|Self employed without employees|Student
bib12c10,BiB_1000.bib1000_12m_main.bib12c10,How many people work for your partners employer,decimal,,1|2|3,1-24|25+|Don't know
bib12c11,BiB_1000.bib1000_12m_main.bib12c11,Does your partner supervise any other employees,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12c12,BiB_1000.bib1000_12m_main.bib12c12,What best describes your partners work,decimal,,1|2|3|4|5|6|7|8,Modern professional occupations|Clerical and intermediate occupations|Senior managers or administrators|Technical and craft occupations|Semi-rountine manual and service occupations|Routine manual and service occupations|Middle or junior managers|Traditional professional occupations
bib12d01,BiB_1000.bib1000_12m_main.bib12d01,Have there been any changes to your childcare arrangements since our last visit,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02,BiB_1000.bib1000_12m_main.bib12d02,Do you have regular arrangement to have your child looked after,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02acarerfeed,BiB_1000.bib1000_12m_main.bib12d02acarerfeed,Does your partner feed your child,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02ahome,BiB_1000.bib1000_12m_main.bib12d02ahome,Is your child looked after in your home by partner,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02ahrs,BiB_1000.bib1000_12m_main.bib12d02ahrs,Hours/week child looked after by partner,decimal,,,
bib12d02ana,BiB_1000.bib1000_12m_main.bib12d02ana,Question not applicable,decimal,,1,Not applicable
bib12d02aotherchildren,BiB_1000.bib1000_12m_main.bib12d02aotherchildren,How many other children does your partner look after,decimal,,,
bib12d02bcarerfeed,BiB_1000.bib1000_12m_main.bib12d02bcarerfeed,Does your non-resident partner feed your child,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02bhome,BiB_1000.bib1000_12m_main.bib12d02bhome,Is your child looked after in your home by non-resident partner,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02bhrs,BiB_1000.bib1000_12m_main.bib12d02bhrs,Hours/week child looked after by non-resident partner,decimal,,,
bib12d02botherchildren,BiB_1000.bib1000_12m_main.bib12d02botherchildren,How many other children does your non-resident partner look after,decimal,,,
bib12d02ccarerfeed,BiB_1000.bib1000_12m_main.bib12d02ccarerfeed,Does your mother feed your child,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02chome,BiB_1000.bib1000_12m_main.bib12d02chome,Is your child looked after in your home by your mother,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02chrs,BiB_1000.bib1000_12m_main.bib12d02chrs,Hours/week child looked after by your mother,decimal,,,
bib12d02cotherchildren,BiB_1000.bib1000_12m_main.bib12d02cotherchildren,How many other children does your mother look after,decimal,,,
bib12d02dcarerfeed,BiB_1000.bib1000_12m_main.bib12d02dcarerfeed,Does your father feed your child,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02dhome,BiB_1000.bib1000_12m_main.bib12d02dhome,Is your child looked after in your home by your father,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02dhrs,BiB_1000.bib1000_12m_main.bib12d02dhrs,Hours/week child looked after by your father,decimal,,,
bib12d02dotherchildren,BiB_1000.bib1000_12m_main.bib12d02dotherchildren,How many other children does your father look after,decimal,,,
bib12d02ecarerfeed,BiB_1000.bib1000_12m_main.bib12d02ecarerfeed,Does your partner's mother feed your child,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02ehome,BiB_1000.bib1000_12m_main.bib12d02ehome,Is your child looked after in your home by your partner's mother,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02ehrs,BiB_1000.bib1000_12m_main.bib12d02ehrs,Hours/week child looked after by your partner's mother,decimal,,,
bib12d02eotherchildren,BiB_1000.bib1000_12m_main.bib12d02eotherchildren,How many other children does your partner's mother look after,decimal,,,
bib12d02fcarerfeed,BiB_1000.bib1000_12m_main.bib12d02fcarerfeed,Does your partner's father feed your child,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02fhome,BiB_1000.bib1000_12m_main.bib12d02fhome,Is your child looked after in your home by your partner's father,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02fhrs,BiB_1000.bib1000_12m_main.bib12d02fhrs,Hours/week child looked after by your partner's father,decimal,,,
bib12d02fotherchildren,BiB_1000.bib1000_12m_main.bib12d02fotherchildren,How many other children does your partner's father look after,decimal,,,
bib12d02gcarerfeed,BiB_1000.bib1000_12m_main.bib12d02gcarerfeed,Does your non-resident partner's mother feed your child,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02ghome,BiB_1000.bib1000_12m_main.bib12d02ghome,Is your child looked after in your home by non-resident partner's mother,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02ghrs,BiB_1000.bib1000_12m_main.bib12d02ghrs,Hours/week child looked after by non-resident partner's mother,decimal,,,
bib12d02gotherchildren,BiB_1000.bib1000_12m_main.bib12d02gotherchildren,How many other children does your non-resident partner's mother look after,decimal,,,
bib12d02hcarerfeed,BiB_1000.bib1000_12m_main.bib12d02hcarerfeed,Does your non-resident partner's father feed your child,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02hhome,BiB_1000.bib1000_12m_main.bib12d02hhome,Is your child looked after in your home by non-resident partner's father,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02hhrs,BiB_1000.bib1000_12m_main.bib12d02hhrs,Hours/week child looked after by non-resident partner's father,decimal,,,
bib12d02hotherchildren,BiB_1000.bib1000_12m_main.bib12d02hotherchildren,How many other children does your non-resident partner's father look after,decimal,,,
bib12d02icarerfeed,BiB_1000.bib1000_12m_main.bib12d02icarerfeed,Does your other relative feed your child,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02ihome,BiB_1000.bib1000_12m_main.bib12d02ihome,Is your child looked after in your home by other relative,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
bib12d02ihrs,BiB_1000.bib1000_12m_main.bib12d02ihrs,Hours/week child looked after by other relative,decimal,,,
