variable,full_name,label,value_type,description,categories,categories_label
has_bib1000_growth_36m,BiB_1000.bib1000_growth_36m.has_bib1000_growth_36m,Has bib 1000 36m growth,decimal,NA,NA,NA
agecm_chgb36,BiB_1000.bib1000_growth_36m.agecm_chgb36,Child age (months): BiB 1000 36m Growth,decimal,NA,NA,NA
agecy_chgb36,BiB_1000.bib1000_growth_36m.agecy_chgb36,Child age (years): BiB 1000 36m Growth,decimal,NA,NA,NA
chgb36_zbmiuk90,BiB_1000.bib1000_growth_36m.chgb36_zbmiuk90,BMI SDS - UK1990,decimal,NA,NA,NA
chgb36_zbmiwho06,BiB_1000.bib1000_growth_36m.chgb36_zbmiwho06,BMI SDS - WHO 2006,decimal,NA,NA,NA
chgb36_zheiuk90,BiB_1000.bib1000_growth_36m.chgb36_zheiuk90,Height SDS - UK1990,decimal,NA,NA,NA
chgb36_zheiwho06,BiB_1000.bib1000_growth_36m.chgb36_zheiwho06,Height SDS - WHO 2006,decimal,NA,NA,NA
chgb36_zweiuk90,BiB_1000.bib1000_growth_36m.chgb36_zweiuk90,Weight SDS - UK1990,decimal,NA,NA,NA
chgb36_zweiwho06,BiB_1000.bib1000_growth_36m.chgb36_zweiwho06,Weight SDS - WHO 2006,decimal,NA,NA,NA
chgb36bmi,BiB_1000.bib1000_growth_36m.chgb36bmi,BMI,decimal,NA,NA,NA
chgb36height,BiB_1000.bib1000_growth_36m.chgb36height,Height (cm),decimal,NA,NA,NA
chgb36weight,BiB_1000.bib1000_growth_36m.chgb36weight,Weight (kg),decimal,NA,NA,NA
has_chgb36,BiB_1000.bib1000_growth_36m.has_chgb36,Has: BiB 1000 36m Growth,decimal,NA,1,has
