variable,full_name,label,value_type,description,categories,categories_label
has_allin24_pc,BiB_ALL_IN.allin24_pc.has_allin24_pc,Has all in 24m previous childcare,decimal,,,
all24g1add,BiB_ALL_IN.allin24_pc.all24g1add,Address of nursery,text,,,
all24g1ch,BiB_ALL_IN.allin24_pc.all24g1ch,Number of other children present,decimal,,,
all24g1chna,BiB_ALL_IN.allin24_pc.all24g1chna,Number of other children present NA,decimal,,,
all24g1cr,BiB_ALL_IN.allin24_pc.all24g1cr,Previous childcare arrangements,decimal,,1|10|11|12|13|14|15|16|17|18|2|3|4|5|6|7|8|9,Husband/Wife/partner|Friends/Neighbours|Live in nanny|Other nanny|Reg childminder|Unreg childminder|Workplace nursery| Local authority nursery|Private nursery|Other|Baby's non-resident father/mother|Your mother|Your Father|Your partners mother|Your partners father|Baby's non-resident father/mother's mother|Baby's non-resident father/mother's father|Other relative
all24g1croth,BiB_ALL_IN.allin24_pc.all24g1croth,Other childcare provider specified,text,,,
all24g1fd,BiB_ALL_IN.allin24_pc.all24g1fd,Does the carer feed baby,decimal,,1|2,Yes|No
all24g1hm,BiB_ALL_IN.allin24_pc.all24g1hm,Is care provided in your home,decimal,,1|2,Yes|No
all24g1hr,BiB_ALL_IN.allin24_pc.all24g1hr,Hours cared for per week,decimal,,,
all24g1mned,BiB_ALL_IN.allin24_pc.all24g1mned,Months in age arrangement ended,decimal,,,
all24g1mnedna,BiB_ALL_IN.allin24_pc.all24g1mnedna,Months in age arrangement ended NA,decimal,,,
all24g1mnst,BiB_ALL_IN.allin24_pc.all24g1mnst,Months in age arrangement started,decimal,,,
all24g1mnstna,BiB_ALL_IN.allin24_pc.all24g1mnstna,Months in age arrangement started NA,decimal,,,
all24g1nme,BiB_ALL_IN.allin24_pc.all24g1nme,Name of nursery,text,,,
all24g1pcd,BiB_ALL_IN.allin24_pc.all24g1pcd,Postcode of nursery,text,,,
has_all2qs,BiB_ALL_IN.allin24_pc.has_all2qs,Has ALL IN 24m questionnaire,decimal,,1,has
