variable,full_name,label,value_type,description,categories,categories_label
BiBPersonID,BiB_AgeOfWonder.recruitment_dr23.BiBPersonID,BiB cohort person ID,text,,,
is_bib,BiB_AgeOfWonder.recruitment_dr23.is_bib,Participant is in original BiB cohort,decimal,,,
aow_recruitment_id,BiB_AgeOfWonder.recruitment_dr23.aow_recruitment_id,Age of Wonder year group recruitment ID,text,,,
birth_year,BiB_AgeOfWonder.recruitment_dr23.birth_year,Year of birth,decimal,,,
birth_month,BiB_AgeOfWonder.recruitment_dr23.birth_month,Month of birth,decimal,,,
recruitment_era,BiB_AgeOfWonder.recruitment_dr23.recruitment_era,Recruitment era (academic year),text,,,
recruitment_date,BiB_AgeOfWonder.recruitment_dr23.recruitment_date,Recruitment date (import of class list),date,,,
recruitment_year,BiB_AgeOfWonder.recruitment_dr23.recruitment_year,Recruitment year,decimal,,,
recruitment_month,BiB_AgeOfWonder.recruitment_dr23.recruitment_month,Recruitment month,decimal,,,
age_recruitment_y,BiB_AgeOfWonder.recruitment_dr23.age_recruitment_y,Age at recruitment in years,decimal,,,
age_recruitment_m,BiB_AgeOfWonder.recruitment_dr23.age_recruitment_m,Age at recruitment in months,decimal,,,
school_id,BiB_AgeOfWonder.recruitment_dr23.school_id,Pseudo school ID,text,,,
year_group,BiB_AgeOfWonder.recruitment_dr23.year_group,Year group at recruitment,text,,,
form_tutor_id,BiB_AgeOfWonder.recruitment_dr23.form_tutor_id,Pseudo recruitment form tutor ID,text,,,
gender,BiB_AgeOfWonder.recruitment_dr23.gender,Gender reported by school,decimal,,1|2,Female|Male
ethnicity_1,BiB_AgeOfWonder.recruitment_dr23.ethnicity_1,Ethnicity reported by school - higher level category,decimal,,1|2|3|4|5|97|98|99,"Asian or Asian British|Black, Black British, Caribbean or African|Mixed or multiple ethnic groups|White|Other ethnic group|Data provided but ethnicity not stated|Data provided but unmapped|Data not provided"
ethnicity_2,BiB_AgeOfWonder.recruitment_dr23.ethnicity_2,Ethnicity reported by school - lower level category,decimal,,11|12|13|14|15|21|22|23|31|32|33|34|41|42|43|44|45|51|52|97|98|99,"Indian|Pakistani|Bangladeshi|Chinese|Any other Asian background|Caribbean|African|Any other Black, Black British, or Caribbean background|White and Black Caribbean|White and Black African|White and Asian|Any other Mixed or multiple ethnic background|English, Welsh, Scottish, Northern Irish or British|Irish|Gypsy or Irish Traveller|Roma|Any other White background|Arab|Any other ethnic group|Data provided but ethnicity not stated|Data provided but unmapped|Data not provided"
fsm,BiB_AgeOfWonder.recruitment_dr23.fsm,Free school meals,decimal,,0|1,No|Yes
sen,BiB_AgeOfWonder.recruitment_dr23.sen,Special educational needs provision,decimal,,0|1|2,"No special educational need|Special educational need support|Education, Health and Care Plan"
has_survey_m1,BiB_AgeOfWonder.recruitment_dr23.has_survey_m1,Has AoW survey module 1,decimal,,0|1,No|Yes
has_survey_m2,BiB_AgeOfWonder.recruitment_dr23.has_survey_m2,Has AoW survey module 2,decimal,,0|1,No|Yes
has_survey_m3,BiB_AgeOfWonder.recruitment_dr23.has_survey_m3,Has AoW survey module 3,decimal,,0|1,No|Yes
has_survey_m4,BiB_AgeOfWonder.recruitment_dr23.has_survey_m4,Has AoW survey module 4,decimal,,0|1,No|Yes
has_survey,BiB_AgeOfWonder.recruitment_dr23.has_survey,Has any AoW survey,decimal,,0|1,No|Yes
has_bioimp,BiB_AgeOfWonder.recruitment_dr23.has_bioimp,Has AoW bioimpedance,decimal,,0|1,No|Yes
has_bp,BiB_AgeOfWonder.recruitment_dr23.has_bp,Has AoW blood pressures,decimal,,0|1,No|Yes
has_skinfld,BiB_AgeOfWonder.recruitment_dr23.has_skinfld,Has AoW skinfolds,decimal,,0|1,No|Yes
has_htwt,BiB_AgeOfWonder.recruitment_dr23.has_htwt,Has AoW height/weight,decimal,,0|1,No|Yes
has_measure,BiB_AgeOfWonder.recruitment_dr23.has_measure,Has any AoW health measure,decimal,,0|1,No|Yes
has_data,BiB_AgeOfWonder.recruitment_dr23.has_data,Has any AoW data,decimal,,0|1,No|Yes
