variable,full_name,label,value_type,description,categories,categories_label
BiBPersonID,BiB_AgeOfWonder.survey_mod01_dr23.BiBPersonID,BiB cohort person ID,text,,,
is_bib,BiB_AgeOfWonder.survey_mod01_dr23.is_bib,Participant is in original BiB cohort,decimal,,,
aow_recruitment_id,BiB_AgeOfWonder.survey_mod01_dr23.aow_recruitment_id,Age of Wonder recruitment ID,text,,,
recruitment_era,BiB_AgeOfWonder.survey_mod01_dr23.recruitment_era,Recruitment era (academic year),text,,,
age_recruitment_y,BiB_AgeOfWonder.survey_mod01_dr23.age_recruitment_y,Age at recruitment in years,decimal,,,
age_recruitment_m,BiB_AgeOfWonder.survey_mod01_dr23.age_recruitment_m,Age at recruitment in months,decimal,,,
gender,BiB_AgeOfWonder.survey_mod01_dr23.gender,Gender reported by school,decimal,,1|2,Female|Male
ethnicity_1,BiB_AgeOfWonder.survey_mod01_dr23.ethnicity_1,Ethnicity reported by school - higher level category,decimal,,1|2|3|4|5|97|98|99,"Asian or Asian British|Black, Black British, Caribbean or African|Mixed or multiple ethnic groups|White|Other ethnic group|Data provided but ethnicity not stated|Data provided but unmapped|Data not provided"
ethnicity_2,BiB_AgeOfWonder.survey_mod01_dr23.ethnicity_2,Ethnicity reported by school - lower level category,decimal,,11|12|13|14|15|21|22|23|31|32|33|34|41|42|43|44|45|51|52|97|98|99,"Indian|Pakistani|Bangladeshi|Chinese|Any other Asian background|Caribbean|African|Any other Black, Black British, or Caribbean background|White and Black Caribbean|White and Black African|White and Asian|Any other Mixed or multiple ethnic background|English, Welsh, Scottish, Northern Irish or British|Irish|Gypsy or Irish Traveller|Roma|Any other White background|Arab|Any other ethnic group|Data provided but ethnicity not stated|Data provided but unmapped|Data not provided"
birth_year,BiB_AgeOfWonder.survey_mod01_dr23.birth_year,Year of birth,decimal,,,
birth_month,BiB_AgeOfWonder.survey_mod01_dr23.birth_month,Month of birth,decimal,,,
school_id,BiB_AgeOfWonder.survey_mod01_dr23.school_id,Pseudo school ID,text,,,
year_group,BiB_AgeOfWonder.survey_mod01_dr23.year_group,Year group at recruitment,text,,,
form_tutor_id,BiB_AgeOfWonder.survey_mod01_dr23.form_tutor_id,Pseudo recruitment form tutor ID,text,,,
age_survey_y,BiB_AgeOfWonder.survey_mod01_dr23.age_survey_y,Age (years) at survey date,decimal,,,
age_survey_m,BiB_AgeOfWonder.survey_mod01_dr23.age_survey_m,Age (months) at survey date,decimal,,,
survey_date,BiB_AgeOfWonder.survey_mod01_dr23.survey_date,Date survey taken,date,,,
survey_version,BiB_AgeOfWonder.survey_mod01_dr23.survey_version,Survey version,decimal,,,
survey_mode,BiB_AgeOfWonder.survey_mod01_dr23.survey_mode,Survey taken online or offline?,decimal,,1|2,Online|Offline
awb1_2_country_brth,BiB_AgeOfWonder.survey_mod01_dr23.awb1_2_country_brth,What is your country of birth?,decimal,,1|10|100|101|102|103|104|105|106|107|108|109|11|110|111|112|113|114|115|116|117|118|119|12|120|121|122|123|124|125|126|127|128|129|13|130|131|132|133|134|135|136|137|138|139|14|140|141|142|143|144|145|146|147|148|149|15|150|151|152|153|154|155|156|157|158|159|16|160|161|162|163|164|165|166|167|168|169|17|170|171|172|173|174|175|176|177|178|179|18|180|181|182|183|184|185|186|187|188|189|19|190|191|192|193|194|195|196|197|198|199|2|20|200|202|21|22|23|24|25|26|27|28|29|3|30|31|32|33|34|35|36|37|38|39|4|40|41|42|43|44|45|46|47|48|49|5|50|51|52|53|54|55|56|57|58|59|6|60|61|62|63|64|65|66|67|68|69|7|70|71|72|73|74|75|76|77|78|79|8|80|81|82|83|84|85|86|87|88|89|9|90|91|92|93|94|95|96|97|98|99,England|Romania|Kosovo|Kuwait|Kyrgyzstan|Laos|Latvia|Lebanon|Lesotho|Liberia|Libya|Liechtenstein|Myanmar (Burma)|Lithuania|Luxembourg|Macedonia|Madagascar|Malawi|Malaysia|Maldives|Mali|Malta|Marshall Islands|Afghanistan|Mauritania|Mauritius|Mexico|Micronesia|Moldova|Monaco|Mongolia|Montenegro|Morocco|Mozambique|Albania|Namibia|Nauru|Nepal|Netherlands|New Zealand|Nicaragua|Niger|Nigeria|Norway|Oman|Algeria|Palau|Panama|Papua New Guinea|Paraguay|Peru|Philippines|Portugal|Qatar|Russian Federation|Rwanda|Andorra|St Kitts & Nevis|St Lucia|Saint Vincent & the Grenadines|Samoa|San Marino|Sao Tome & Principe|Saudi Arabia|Senegal|Serbia|Seychelles|Angola|Sierra Leone|Singapore|Slovakia|Slovenia|Solomon Islands|Somalia|South Africa|South Sudan|Spain|Sri Lanka|Antigua & Deps|Sudan|Suriname|Swaziland|Sweden|Switzerland|Syria|Taiwan|Tajikistan|Tanzania|Thailand|Argentina|Togo|Tonga|Trinidad & Tobago|Tunisia|Turkey|Turkmenistan|Tuvalu|Uganda|Ukraine|United Arab Emirates|Armenia|United Kingdom|United States|Uruguay|Uzbekistan|Vanuatu|Vatican City|Venezuela|Vietnam|Yemen|Zambia|Wales|Australia|Zimbabwe|----------------|Austria|Azerbaijan|Bahamas|Bahrain|Barbados|Belarus|Belgium|Belize|Benin|Scotland|Bhutan|Bolivia|Bosnia Herzegovina|Botswana|Brazil|Brunei|Bulgaria|Burkina|Burundi|Cambodia|Northern Ireland|Cameroon|Canada|Cape Verde|Central African Rep|Chad|Chile|China|Colombia|Comoros|Congo|Republic of Ireland|Congo (Democratic Rep)|Costa Rica|Croatia|Cuba|Cyprus|Czech Republic|Denmark|Djibouti|Dominica|Dominican Republic|Bangladesh|East Timor|Ecuador|Egypt|El Salvador|Equatorial Guinea|Eritrea|Estonia|Ethiopia|Fiji|Finland|India|France|Gabon|Gambia|Georgia|Germany|Ghana|Greece|Grenada|Guatemala|Guinea|Pakistan|Guinea-Bissau|Guyana|Haiti|Honduras|Hungary|Iceland|Indonesia|Iran|Iraq|Israel|Poland|Italy|Ivory Coast|Jamaica|Japan|Jordan|Kazakhstan|Kenya|Kiribati|Korea North|Korea South
aw1_2_years_lvd_a4,BiB_AgeOfWonder.survey_mod01_dr23.aw1_2_years_lvd_a4,How many years have you lived in the UK?,decimal,,-1|1|10|11|12|13|14|15|2|3|4|5|6|7|8|9,Added in version 4|1|10|11|12|13|14|15|2|3|4|5|6|7|8|9
awb1_2_ethnicity_r4,BiB_AgeOfWonder.survey_mod01_dr23.awb1_2_ethnicity_r4,What is your ethnicity?,decimal,,-2|1|2|3|4|5|6,"Revised in version 4|White|Mixed or Multiple ethnic groups|Asian or Asian British|Black, Black British, Caribbean or African|Arab|Other ethnic groups"
awb1_2_ethnicity_whte,BiB_AgeOfWonder.survey_mod01_dr23.awb1_2_ethnicity_whte,White,decimal,,1|2|3|4|5|6|7|8|9,"English, Welsh, Scottish, Northern Irish or British|Irish|Gypsy or Irish Traveller|Roma|Any other White background (please specify)|Polish|Slovakian|Romanian|Czech"
awb1_2_ethnicity_whte_othr,BiB_AgeOfWonder.survey_mod01_dr23.awb1_2_ethnicity_whte_othr,Any other White background,text,,,
awb1_2_ethnicity_mix,BiB_AgeOfWonder.survey_mod01_dr23.awb1_2_ethnicity_mix,Mixed or Multiple ethnic groups,decimal,,1|2|3|4,White and Black Caribbean|White and Black African|White and Asian|Any other Mixed or Multiple ethnic background (please specify)
awb1_2_ethnicity_mix_othr,BiB_AgeOfWonder.survey_mod01_dr23.awb1_2_ethnicity_mix_othr,Any other mixed/multiple ethnic background,text,,,
