variable,full_name,label,value_type,description,categories,categories_label
BiBPregNumber,BiB_Baseline.base_m1_exercise.BiBPregNumber,Pregnancy number within BiB,decimal,,,
BiBPersonID,BiB_Baseline.base_m1_exercise.BiBPersonID,Mother identifier,text,,,
questionnairephase,BiB_Baseline.base_m1_exercise.questionnairephase,"",decimal,,,
exe1slphrs,BiB_Baseline.base_m1_exercise.exe1slphrs,Over typical 24hrs how many hours spent sleeping or lying with feet up,decimal,,,
exe1sithrs,BiB_Baseline.base_m1_exercise.exe1sithrs,Of hours not sleeping how many hours spent sitting down,decimal,,,
exe1fethrs,BiB_Baseline.base_m1_exercise.exe1fethrs,How many hours a day spent on your feet,decimal,,,
exe1actmov,BiB_Baseline.base_m1_exercise.exe1actmov,How much time actively on the move,decimal,,1|2|3|4|5,Very little (10%)|Some (30%)|About half (50%)|Most (70%)|Almost all (90%)
exe1wlkspd,BiB_Baseline.base_m1_exercise.exe1wlkspd,Walking speed at present,decimal,,1|2|3|4|5,Very slow|Stroll at an easy pace|Normal speed|Fairly brisk|Fast
exe1strtpw,BiB_Baseline.base_m1_exercise.exe1strtpw,Strenuous exercise - times per week,decimal,,,
exe1strmin,BiB_Baseline.base_m1_exercise.exe1strmin,Strenuous exercise - minutes each time,decimal,,,
exe1modtpw,BiB_Baseline.base_m1_exercise.exe1modtpw,Moderate exercise - times per week,decimal,,,
exe1modmin,BiB_Baseline.base_m1_exercise.exe1modmin,Moderate exercise - minutes each time,decimal,,,
exe1gentpw,BiB_Baseline.base_m1_exercise.exe1gentpw,Gentle exercise - times per week,decimal,,,
exe1genmin,BiB_Baseline.base_m1_exercise.exe1genmin,Gentle exercise - minutes each time,decimal,,,
