variable,full_name,label,value_type,description,categories,categories_label
BiBPregNumber,BiB_Baseline.base_m_survey.BiBPregNumber,Cohort recruited pregnancy number,decimal,NA,NA,NA
has_base_m_survey,BiB_Baseline.base_m_survey.has_base_m_survey,Has mother baseline survey,decimal,NA,NA,NA
agemm_mbqall,BiB_Baseline.base_m_survey.agemm_mbqall,Mother age (months): Maternal Baseline Questionnaire,decimal,NA,NA,NA
agemy_mbqall,BiB_Baseline.base_m_survey.agemy_mbqall,Mother age (years): Maternal Baseline Questionnaire,decimal,NA,NA,NA
alc03mb4dr,BiB_Baseline.base_m_survey.alc03mb4dr,Don't remember average/max units drank per week in 3 months before pregnancy,decimal,NA,1|2|3,Don't remember not specified|Don't remember average units per week|Don't remember max units
alc04thmdr,BiB_Baseline.base_m_survey.alc04thmdr,Don't remember maximum units drank at one time since 4th month of pregnancy,decimal,NA,1|2|3,Don't remember not specified|Don't remember average units per week|Don't remember max units
alc05u3mb4,BiB_Baseline.base_m_survey.alc05u3mb4,Frequency of 5 or more units of alcohol consumed in 3 months before pregnancy,decimal,NA,1|2|3|4|5|6,Everyday|Nearly everyday|1-4 times/week|1-3 times a month|Rarely|Never
alc05u4thm,BiB_Baseline.base_m_survey.alc05u4thm,Frequency of 5 or more units of alcohol consumed since 4th month of pregnancy,decimal,NA,1|2|3|4|5|6,Everyday|Nearly everyday|1-4 times/week|1-3 times a month|Rarely|Never
alc05ufr3m,BiB_Baseline.base_m_survey.alc05ufr3m,Frequency of 5 or more units of alcohol consumed in first 3 months of pregnancy,decimal,NA,1|2|3|4|5|6,Everyday|Nearly everyday|1-4 times/week|1-3 times a month|Rarely|Never
alc0brav3b,BiB_Baseline.base_m_survey.alc0brav3b,Average units of beer per week in 3 months before pregnancy,decimal,NA,NA,NA
alc0brav4m,BiB_Baseline.base_m_survey.alc0brav4m,Average units of beer per week since 4th month of pregnancy,decimal,NA,NA,NA
alc0bravf3,BiB_Baseline.base_m_survey.alc0bravf3,Average units of beer per week in first 3 months of pregnancy,decimal,NA,NA,NA
alc0brmx3b,BiB_Baseline.base_m_survey.alc0brmx3b,Maximum units of beer at one time in 3 months before pregnancy,decimal,NA,NA,NA
alc0brmx4m,BiB_Baseline.base_m_survey.alc0brmx4m,Maximum units of beer at one time since 4th month of pregnancy,decimal,NA,NA,NA
alc0brmxf3,BiB_Baseline.base_m_survey.alc0brmxf3,Maximum units of beer at one time in first 3 months of pregnancy,decimal,NA,NA,NA
alc0dr3mb4,BiB_Baseline.base_m_survey.alc0dr3mb4,Mother drank alcohol 3 months before pregnancy,decimal,NA,1|2|3|4|5,"Yes, once a week|Yes, occasionally|Yes, not specified|No|Don't remember"
alc0dr4thm,BiB_Baseline.base_m_survey.alc0dr4thm,Mother drank alcohol since 4th month of pregnancy,decimal,NA,1|2|3|4|5,"Yes, once a week|Yes, occasionally|Yes, not specified|No|Don't remember"
