variable,full_name,label,value_type,description,categories,categories_label
BiBPregNumber,BiB_Biosamples.hosp_biochem.BiBPregNumber,Pregnancy number within BiB,decimal,,,
MotherAgeSample_Mths,BiB_Biosamples.hosp_biochem.MotherAgeSample_Mths,Mother's age at sample (months)',decimal,,,
MotherAgeSample_Yrs,BiB_Biosamples.hosp_biochem.MotherAgeSample_Yrs,Mother's age at sample (years)',decimal,,,
GestAgeSample_Days,BiB_Biosamples.hosp_biochem.GestAgeSample_Days,Gestational age at blood sample (days),decimal,,,
CRP,BiB_Biosamples.hosp_biochem.CRP,C-reactive protein (�mol/l),text,,,
Sodium,BiB_Biosamples.hosp_biochem.Sodium,Sodium (mmol/l),decimal,,,
K1,BiB_Biosamples.hosp_biochem.K1,Potassium (mmol/l),decimal,,,
Urea,BiB_Biosamples.hosp_biochem.Urea,Urea (mmol/l),decimal,,,
CRE1,BiB_Biosamples.hosp_biochem.CRE1,Creatinine (�mol/l),decimal,,,
Amylase,BiB_Biosamples.hosp_biochem.Amylase,Amylase (iu/l),decimal,,,
ALT,BiB_Biosamples.hosp_biochem.ALT,ALT (iu/l),decimal,,,
BIL1,BiB_Biosamples.hosp_biochem.BIL1,Total bilirubin (�mol/l),decimal,,,
ALP1,BiB_Biosamples.hosp_biochem.ALP1,Alkaline phosphatase (iu/l),decimal,,,
GGT1,BiB_Biosamples.hosp_biochem.GGT1,Gamma glutamyl transferase (iu/l),decimal,,,
TP1,BiB_Biosamples.hosp_biochem.TP1,Total protein concentration (mg/dl),decimal,,,
Albumin,BiB_Biosamples.hosp_biochem.Albumin,Albumin (mg/24hr),decimal,,,
Caadj,BiB_Biosamples.hosp_biochem.Caadj,Adjusted calcium (mmol/l),decimal,,,
