variable,full_name,label,value_type,description,categories,categories_label
BiBPregNumber,BiB_Biosamples.hosp_haem.BiBPregNumber,"",decimal,,,
GestAgeSample,BiB_Biosamples.hosp_haem.GestAgeSample,Gestational age at blood sample (days),decimal,,,
Hb,BiB_Biosamples.hosp_haem.Hb,Haemoglobin (g/dL),decimal,,,
WBC,BiB_Biosamples.hosp_haem.WBC,White blood cell count (10^9/L),decimal,,,
PLTS,BiB_Biosamples.hosp_haem.PLTS,Platelet count (10^9/L),decimal,,,
MCV,BiB_Biosamples.hosp_haem.MCV,Mean corpuscular volume (fL),decimal,,,
PCV,BiB_Biosamples.hosp_haem.PCV,Haematocrit,decimal,,,
RBC,BiB_Biosamples.hosp_haem.RBC,Rec blood cell count (10^12/L),decimal,,,
MCH,BiB_Biosamples.hosp_haem.MCH,Mean corpuscular haemoglobin (fmol),decimal,,,
MCHC,BiB_Biosamples.hosp_haem.MCHC,Mean corpuscular haemoglobin concentration (mmol/L),decimal,,,
NEU,BiB_Biosamples.hosp_haem.NEU,Neutrophils (10^9/L),decimal,,,
LYM,BiB_Biosamples.hosp_haem.LYM,Lymphocytes (10^9/L),decimal,,,
MON,BiB_Biosamples.hosp_haem.MON,Monocytes (10^9/L),decimal,,,
EOS,BiB_Biosamples.hosp_haem.EOS,Eosinophils (10^9/L),decimal,,,
BAS,BiB_Biosamples.hosp_haem.BAS,Basophiles (10^9/L),decimal,,,
