variable,full_name,label,value_type,description,categories,categories_label
BiBPregNumber,BiB_Biosamples.maternal_iodine.BiBPregNumber,Pregnancy number within BiB,decimal,,,
AliquotID,BiB_Biosamples.maternal_iodine.AliquotID,Aliquot ID,decimal,,,
ShippingDate,BiB_Biosamples.maternal_iodine.ShippingDate,Shipping date for iodine analysis,date,,,
ArrivalDate,BiB_Biosamples.maternal_iodine.ArrivalDate,Arrival date for iodine analysis,date,,,
BatchNumber,BiB_Biosamples.maternal_iodine.BatchNumber,Batch number for iodine analysis,decimal,,,
BoxNumber,BiB_Biosamples.maternal_iodine.BoxNumber,Box number for iodine analysis,decimal,,,
IodineAnalysisDate,BiB_Biosamples.maternal_iodine.IodineAnalysisDate,Date of iodine analysis,date,,,
IodineConcentration,BiB_Biosamples.maternal_iodine.IodineConcentration,Iodine Concentration (µg/L),decimal,,,
CreatinineAnalysisDate,BiB_Biosamples.maternal_iodine.CreatinineAnalysisDate,Date of creatinine analysis,date,,,
CreRunNumber,BiB_Biosamples.maternal_iodine.CreRunNumber,Run number for creatinine analysis,text,,,
CreatinineConcentration,BiB_Biosamples.maternal_iodine.CreatinineConcentration,Creatinine Concentration (g/L),decimal,,,
ICrRatio,BiB_Biosamples.maternal_iodine.ICrRatio,Iodine:Creatinine Ratio (µg/g),decimal,,,
