variable,full_name,label,value_type,description,categories,categories_label
BiBPregNumber,BiB_Bloods.pregnancy_bloods_vitd.BiBPregNumber,"",decimal,,,
has_pregnancy_bloods_vitd,BiB_Bloods.pregnancy_bloods_vitd.has_pregnancy_bloods_vitd,Has pregnacy bloods vitamin d,decimal,,,
agemm_matbvd,BiB_Bloods.pregnancy_bloods_vitd.agemm_matbvd,Mother age (months): Maternal Bloods: Vitamin D,decimal,,,
agemy_matbvd,BiB_Bloods.pregnancy_bloods_vitd.agemy_matbvd,Mother age (years): Maternal Bloods: Vitamin D,decimal,,,
has_matbvd,BiB_Bloods.pregnancy_bloods_vitd.has_matbvd,Has maternal vitamin D,decimal,,1,has
mbldalbumin,BiB_Bloods.pregnancy_bloods_vitd.mbldalbumin,Albumin,decimal,,,
mbldcalcium,BiB_Bloods.pregnancy_bloods_vitd.mbldcalcium,Calcium,decimal,,,
mbldpth_str,BiB_Bloods.pregnancy_bloods_vitd.mbldpth_str,PTH (string),text,,,
mbldvitd2_str,BiB_Bloods.pregnancy_bloods_vitd.mbldvitd2_str,25(OH) Vit D2 (string),text,,,
mbldvitd3_str,BiB_Bloods.pregnancy_bloods_vitd.mbldvitd3_str,25(OH) Vit D3 (string),text,,,
