variable,full_name,label,value_type,description,categories,categories_label
ParticipantType,BiB_CohortInfo.genotyping_info.ParticipantType,BiB participant type,decimal,,1|2|3,Child|Father|Mother
Gender,BiB_CohortInfo.genotyping_info.Gender,Participant Gender,decimal,,1|2,Female|Male
lab_id,BiB_CohortInfo.genotyping_info.lab_id,"",text,,,
gt_chip,BiB_CohortInfo.genotyping_info.gt_chip,Genotyping chip type,decimal,,1|2,Core Exome|GSA
ethnicity,BiB_CohortInfo.genotyping_info.ethnicity,Ethnic group determined by genotype PCA,decimal,,1|2|3|4,Not in PCA|Other|Pakistani|White European
passed_qc,BiB_CohortInfo.genotyping_info.passed_qc,Sample included in curated dataset,decimal,,0|1,No|Yes
copies,BiB_CohortInfo.genotyping_info.copies,Copies e.g. samples from other pregnancies,decimal,,,
has_BiB12v1_0,BiB_CohortInfo.genotyping_info.has_BiB12v1_0,Has BiB12 Version 1.0 HumanCoreExome Chip,decimal,,,
has_BiB12v1_1,BiB_CohortInfo.genotyping_info.has_BiB12v1_1,Has BiB12 Version 1.1 HumanCoreExome Chip,decimal,,,
has_BiB24v1_0,BiB_CohortInfo.genotyping_info.has_BiB24v1_0,Has BiB24 Version 1.0 HumanCoreExome Chip,decimal,,,
