variable,full_name,label,value_type,description,categories,categories_label
assessment_year,BiB_Dental.plat_ortho.assessment_year,Year of assessment,decimal,,,
assessment_month,BiB_Dental.plat_ortho.assessment_month,Month of assessment,decimal,,,
age_assessment_y,BiB_Dental.plat_ortho.age_assessment_y,Child age in years at assessment,decimal,,,
age_assessment_m,BiB_Dental.plat_ortho.age_assessment_m,Child age in months at assessment,decimal,,,
Lips,BiB_Dental.plat_ortho.Lips,"",decimal,,1|2,Competent|Incompetent
MasticatoryProblems,BiB_Dental.plat_ortho.MasticatoryProblems,"",decimal,,1|2,0|1
IncisorRelationship,BiB_Dental.plat_ortho.IncisorRelationship,"",decimal,,1|2|3|4,I|II/I|II/II|III
RightMolarRelationship,BiB_Dental.plat_ortho.RightMolarRelationship,"",decimal,,1|2|3|4,I|II|III|NA
LeftMolarRelationship,BiB_Dental.plat_ortho.LeftMolarRelationship,"",decimal,,1|2|3|4,I|II|III|NA
PermanentCanines,BiB_Dental.plat_ortho.PermanentCanines,"",decimal,,1|2|3|4|5,Both|Left|NA|No|Right
PrimaryCanines,BiB_Dental.plat_ortho.PrimaryCanines,"",decimal,,1|2|3|4|5,Both|Left|NA|No|Right
Overjet,BiB_Dental.plat_ortho.Overjet,"",text,,,
Overbite,BiB_Dental.plat_ortho.Overbite,"",decimal,,1|2|3,Average|Decreased|Increased
Centrelines,BiB_Dental.plat_ortho.Centrelines,"",text,,,
Crossbites,BiB_Dental.plat_ortho.Crossbites,"",decimal,,1|2|3|4,Anterior|Both|No|Posterior
Deviation,BiB_Dental.plat_ortho.Deviation,"",decimal,,,
SkeletalPattern,BiB_Dental.plat_ortho.SkeletalPattern,"",decimal,,1|2|3,I|II|III
ortho_notes,BiB_Dental.plat_ortho.ortho_notes,"",text,,,
