variable,full_name,label,value_type,description,categories,categories_label
assessment_year,BiB_Dental.plat_teeth.assessment_year,Year of assessment,decimal,,,
assessment_month,BiB_Dental.plat_teeth.assessment_month,Month of assessment,decimal,,,
age_assessment_y,BiB_Dental.plat_teeth.age_assessment_y,Child age in years at assessment,decimal,,,
age_assessment_m,BiB_Dental.plat_teeth.age_assessment_m,Child age in months at assessment,decimal,,,
tooth55,BiB_Dental.plat_teeth.tooth55,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth54,BiB_Dental.plat_teeth.tooth54,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth53,BiB_Dental.plat_teeth.tooth53,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth52,BiB_Dental.plat_teeth.tooth52,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth51,BiB_Dental.plat_teeth.tooth51,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth61,BiB_Dental.plat_teeth.tooth61,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth62,BiB_Dental.plat_teeth.tooth62,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth63,BiB_Dental.plat_teeth.tooth63,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth64,BiB_Dental.plat_teeth.tooth64,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth65,BiB_Dental.plat_teeth.tooth65,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth85,BiB_Dental.plat_teeth.tooth85,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth84,BiB_Dental.plat_teeth.tooth84,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth83,BiB_Dental.plat_teeth.tooth83,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth82,BiB_Dental.plat_teeth.tooth82,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth81,BiB_Dental.plat_teeth.tooth81,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth71,BiB_Dental.plat_teeth.tooth71,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth72,BiB_Dental.plat_teeth.tooth72,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth73,BiB_Dental.plat_teeth.tooth73,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth74,BiB_Dental.plat_teeth.tooth74,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth75,BiB_Dental.plat_teeth.tooth75,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth17,BiB_Dental.plat_teeth.tooth17,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth16,BiB_Dental.plat_teeth.tooth16,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth15,BiB_Dental.plat_teeth.tooth15,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth14,BiB_Dental.plat_teeth.tooth14,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth13,BiB_Dental.plat_teeth.tooth13,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth12,BiB_Dental.plat_teeth.tooth12,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth11,BiB_Dental.plat_teeth.tooth11,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth21,BiB_Dental.plat_teeth.tooth21,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth22,BiB_Dental.plat_teeth.tooth22,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth23,BiB_Dental.plat_teeth.tooth23,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth24,BiB_Dental.plat_teeth.tooth24,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth25,BiB_Dental.plat_teeth.tooth25,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth26,BiB_Dental.plat_teeth.tooth26,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth27,BiB_Dental.plat_teeth.tooth27,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth47,BiB_Dental.plat_teeth.tooth47,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth46,BiB_Dental.plat_teeth.tooth46,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth45,BiB_Dental.plat_teeth.tooth45,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth44,BiB_Dental.plat_teeth.tooth44,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth43,BiB_Dental.plat_teeth.tooth43,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth42,BiB_Dental.plat_teeth.tooth42,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth41,BiB_Dental.plat_teeth.tooth41,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth31,BiB_Dental.plat_teeth.tooth31,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth32,BiB_Dental.plat_teeth.tooth32,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth33,BiB_Dental.plat_teeth.tooth33,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth34,BiB_Dental.plat_teeth.tooth34,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth35,BiB_Dental.plat_teeth.tooth35,"",decimal,,0|1|2|3|4|5|6|7,Not Present|Sound|Carious|Restored|Defective restoration|Hypo-mineralised|Hypo-mineralised and carious|Other dental developmental defect
tooth36,BiB_Dental.plat_teeth.tooth36,"",decimal,,,
tooth37,BiB_Dental.plat_teeth.tooth37,"",decimal,,,
teeth_notes,BiB_Dental.plat_teeth.teeth_notes,"",text,,,
