variable,full_name,label,value_type,description,categories,categories_label
edcont_schoolentry,BiB_Education_Record.edrecs_annual_context.edcont_schoolentry,Year started school,decimal,,,
edcont_academicyear,BiB_Education_Record.edrecs_annual_context.edcont_academicyear,School year data was taken from,decimal,,1|10|11|2|3|4|5|6|7|8|9,R|Y9|Y10|Y1|Y2|Y3|Y4|Y5|Y6|Y7|Y8
edcont_eal,BiB_Education_Record.edrecs_annual_context.edcont_eal,Does child have English as a second language?,decimal,,1|2,No|Yes
edcont_fsm,BiB_Education_Record.edrecs_annual_context.edcont_fsm,Is child is in receipt of free school meals?,decimal,,1|2,No|Yes
edcont_g_t,BiB_Education_Record.edrecs_annual_context.edcont_g_t,Is child classed as 'gifted and talented'?,decimal,,1|2,No|Yes
edcont_lac,BiB_Education_Record.edrecs_annual_context.edcont_lac,Is child in the care of their local authority?,decimal,,1|2,No|Yes
edcont_sen,BiB_Education_Record.edrecs_annual_context.edcont_sen,Does child have special educational needs?,decimal,,1|2|3|4|5|6,EHCP|Not SEN|School Action|School Action Plus|SEN Support|Statement
edcont_schoolstatus,BiB_Education_Record.edrecs_annual_context.edcont_schoolstatus,School and education administrative status,decimal,,1|2|3|4|5|6,LA school in Bradford|Unknown - application processing|Unknown - unable to trace|Home educated|Independpent school|LA school outisde Bradford LA
edcont_schoolid,BiB_Education_Record.edrecs_annual_context.edcont_schoolid,Unique BiB generated school ID,decimal,,,
edcont_psuedoURN,BiB_Education_Record.edrecs_annual_context.edcont_psuedoURN,Psueodnymised URN number,text,,,
