variable,full_name,label,value_type,description,categories,categories_label
has_edrecs_ks1_1,BiB_Education_Record.edrecs_ks1_1.has_edrecs_ks1_1,Has key stage 1 assessment pre 2016,decimal,NA,NA,NA
has_edks11,BiB_Education_Record.edrecs_ks1_1.has_edks11,Has: Key Stage 1 Assessment: Pre 2016,decimal,NA,1,has
ks1_pre2016_acyrtested,BiB_Education_Record.edrecs_ks1_1.ks1_pre2016_acyrtested,School year of KS1 assessment,decimal,NA,1|2|3|4|5|6|7,R|Y1|Y2|Y3|Y4|Y5|Y6
ks1_pre2016_english,BiB_Education_Record.edrecs_ks1_1.ks1_pre2016_english,Key Stage 1 (pre 2016)- English,decimal,NA,1|2|3|4|5|6,1 - Level 1|2C - just into Level 2|2B - securely at Level 2|2A - top end of Level 2|3 - Level 3|W - Working towards level 1 without SEN
ks1_pre2016_maths,BiB_Education_Record.edrecs_ks1_1.ks1_pre2016_maths,Key Stage 1 (pre 2016)- Maths,decimal,NA,1|2|3|4|5|6,1 - Level 1|2C - just into Level 2|2B - securely at Level 2|2A - top end of Level 2|3 - Level 3|W - Working towards level 1 without SEN
ks1_pre2016_reading,BiB_Education_Record.edrecs_ks1_1.ks1_pre2016_reading,Key Stage 1 (pre 2016)- Reading,decimal,NA,1|2|3|4|5|6,1 - Level 1|2C - just into Level 2|2B - securely at Level 2|2A - top end of Level 2|3 - Level 3|W - Working towards level 1 without SEN
ks1_pre2016_science,BiB_Education_Record.edrecs_ks1_1.ks1_pre2016_science,Key Stage 1 (pre 2016)- Science,decimal,NA,1|2|3|4|5,"1 - Level 1|2 - Level 2|3 - Level 3|U - In exceptional circumstances, pupil disapplied from national curriculum|W - Working towards level 1 without SEN"
ks1_pre2016_testestablishment,BiB_Education_Record.edrecs_ks1_1.ks1_pre2016_testestablishment,School Code where test conducted: Key Stage 1 (pre 2016),text,NA,NA,NA
ks1_pre2016_writing,BiB_Education_Record.edrecs_ks1_1.ks1_pre2016_writing,Key Stage 1 (pre 2016)- Writing,decimal,NA,1|2|3|4|5|6,1 - Level 1|2C - just into Level 2|2B - securely at Level 2|2A - top end of Level 2|3 - Level 3|W - Working towards level 1 without SEN
ks1_pre2016_yeartested,BiB_Education_Record.edrecs_ks1_1.ks1_pre2016_yeartested,Year of test: Key Stage 1 (pre 2016),decimal,NA,NA,NA
