variable,full_name,label,value_type,description,categories,categories_label
YearTest,BiB_Education_Record.edrecs_ks2.YearTest,Year test was taken,text,,,
AcademicYearTest,BiB_Education_Record.edrecs_ks2.AcademicYearTest,Academic year in which test was taken,decimal,,,
AgeMonths,BiB_Education_Record.edrecs_ks2.AgeMonths,Age in months when test was taken,decimal,,,
AgeYrs,BiB_Education_Record.edrecs_ks2.AgeYrs,Age in years when test was taken,decimal,,,
TestEstablishment,BiB_Education_Record.edrecs_ks2.TestEstablishment,Test location code,text,,,
maths_ScaledScore,BiB_Education_Record.edrecs_ks2.maths_ScaledScore,Maths - test scaled score,decimal,,,
reading_ScaledScore,BiB_Education_Record.edrecs_ks2.reading_ScaledScore,Reading - test scaled score,decimal,,,
gps_ScaledScore,BiB_Education_Record.edrecs_ks2.gps_ScaledScore,"GPS (grammar, punctuation and spelling) - test scaled score",decimal,,,
acheived_RWM,BiB_Education_Record.edrecs_ks2.acheived_RWM,"Acheived RWM (reading, writing and maths) at expected standard",decimal,,1,Pass
maths_TAO,BiB_Education_Record.edrecs_ks2.maths_TAO,Maths - Teacher Assessment Outcome,decimal,,10|11|12|13|14|17|2|4|5|6|7|8|9,PK1: Pre-key stage standard 1|PKE: Did not sit test - early development for the expected standard|PKF: Did not sit test - foundations for the expected standard|PKG: Did not sit test - growing development for the expected standard|BLW: Below standard of pre-key stage|M: Missing|EXS: Working at expected standard|HNM: Has not met expected standard|PK6: Pre-key stage standard 6|PK5: Pre-key stage standard 5|PK4: Pre-key stage standard 4|PK3: Pre-key stage standard 3|PK2: Pre-key stage standard 2
science_TAO,BiB_Education_Record.edrecs_ks2.science_TAO,Science - Teacher Assessment Outcome,decimal,,15|16|2|4,A: Absent for long periods/recently arrvied/not enough information|D: Disapplied from national curriculum|EXS: Working at expected standard|HNM: Has not met expected standard
reading_TAO,BiB_Education_Record.edrecs_ks2.reading_TAO,Reading - Teacher Assessment Outcome,decimal,,10|11|12|13|14|17|2|4|5|6|7|8|9,PK1: Pre-key stage standard 1|PKE: Did not sit test - early development for the expected standard|PKF: Did not sit test - foundations for the expected standard|PKG: Did not sit test - growing development for the expected standard|BLW: Below standard of pre-key stage|M: Missing|EXS: Working at expected standard|HNM: Has not met expected standard|PK6: Pre-key stage standard 6|PK5: Pre-key stage standard 5|PK4: Pre-key stage standard 4|PK3: Pre-key stage standard 3|PK2: Pre-key stage standard 2
writing_TAO,BiB_Education_Record.edrecs_ks2.writing_TAO,Writing - Teacher Assessment Outcome,decimal,,1|10|11|12|13|14|15|16|2|3|5|6|7|8|9,GDS: Working at greater depth|PK1: Pre-key stage standard 1|PKE: Did not sit test - early development for the expected standard|PKF: Did not sit test - foundations for the expected standard|PKG: Did not sit test - growing development for the expected standard|BLW: Below standard of pre-key stage|A: Absent for long periods/recently arrvied/not enough information|D: Disapplied from national curriculum|EXS: Working at expected standard|WTS: Working towards expected standard|PK6: Pre-key stage standard 6|PK5: Pre-key stage standard 5|PK4: Pre-key stage standard 4|PK3: Pre-key stage standard 3|PK2: Pre-key stage standard 2
maths_ProgressScore,BiB_Education_Record.edrecs_ks2.maths_ProgressScore,Maths - Progress Score,decimal,,,
reading_ProgressScore,BiB_Education_Record.edrecs_ks2.reading_ProgressScore,Reading - Progress Score,decimal,,,
writing_ProgressScore,BiB_Education_Record.edrecs_ks2.writing_ProgressScore,Writing - Progress Score,decimal,,,
