variable,full_name,label,value_type,description,categories,categories_label
aq_2018_defrapm10_g_1_100_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm10_g_1_100_mean,"Mean conc of PM10 within 100m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm10_g_1_100_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm10_g_1_100_max,"Max conc of PM10 within 100m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm10_g_1_300_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm10_g_1_300_mean,"Mean conc of PM10 within 300m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm10_g_1_300_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm10_g_1_300_max,"Max conc of PM10 within 300m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm10_g_1_500_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm10_g_1_500_mean,"Mean conc of PM10 within 500m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm10_g_1_500_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm10_g_1_500_max,"Max conc of PM10 within 500m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm10_g_1_1000_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm10_g_1_1000_mean,"Mean conc of PM10 within 1000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm10_g_1_1000_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm10_g_1_1000_max,"Max conc of PM10 within 1000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm10_g_1_2000_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm10_g_1_2000_mean,"Mean conc of PM10 within 2000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm10_g_1_2000_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm10_g_1_2000_max,"Max conc of PM10 within 2000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm25_g_1_100_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm25_g_1_100_mean,"Mean conc of PM2.5 within 100m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm25_g_1_100_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm25_g_1_100_max,"Max conc of PM2.5 within 100m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm25_g_1_300_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm25_g_1_300_mean,"Mean conc of PM2.5 within 300m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm25_g_1_300_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm25_g_1_300_max,"Max conc of PM2.5 within 300m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm25_g_1_500_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm25_g_1_500_mean,"Mean conc of PM2.5 within 500m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm25_g_1_500_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm25_g_1_500_max,"Max conc of PM2.5 within 500m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm25_g_1_1000_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm25_g_1_1000_mean,"Mean conc of PM2.5 within 1000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm25_g_1_1000_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm25_g_1_1000_max,"Max conc of PM2.5 within 1000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm25_g_1_2000_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm25_g_1_2000_mean,"Mean conc of PM2.5 within 2000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrapm25_g_1_2000_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrapm25_g_1_2000_max,"Max conc of PM2.5 within 2000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrano2_g_1_100_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrano2_g_1_100_mean,"Mean conc of NO2 within 100m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrano2_g_1_100_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrano2_g_1_100_max,"Max conc of NO2 within 100m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrano2_g_1_300_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrano2_g_1_300_mean,"Mean conc of NO2 within 300m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrano2_g_1_300_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrano2_g_1_300_max,"Max conc of NO2 within 300m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrano2_g_1_500_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrano2_g_1_500_mean,"Mean conc of NO2 within 500m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrano2_g_1_500_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrano2_g_1_500_max,"Max conc of NO2 within 500m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrano2_g_1_1000_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrano2_g_1_1000_mean,"Mean conc of NO2 within 1000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrano2_g_1_1000_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrano2_g_1_1000_max,"Max conc of NO2 within 1000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrano2_g_1_2000_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defrano2_g_1_2000_mean,"Mean conc of NO2 within 2000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defrano2_g_1_2000_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defrano2_g_1_2000_max,"Max conc of NO2 within 2000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defranox_g_1_100_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defranox_g_1_100_mean,"Mean conc of NOx within 100m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defranox_g_1_100_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defranox_g_1_100_max,"Max conc of NOx within 100m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defranox_g_1_300_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defranox_g_1_300_mean,"Mean conc of NOx within 300m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defranox_g_1_300_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defranox_g_1_300_max,"Max conc of NOx within 300m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defranox_g_1_500_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defranox_g_1_500_mean,"Mean conc of NOx within 500m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defranox_g_1_500_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defranox_g_1_500_max,"Max conc of NOx within 500m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defranox_g_1_1000_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defranox_g_1_1000_mean,"Mean conc of NOx within 1000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defranox_g_1_1000_max,BiB_Geographic.bib_geog_air_quality.aq_2018_defranox_g_1_1000_max,"Max conc of NOx within 1000m circular buffer of home address, 2018 DEFRA",decimal,,,
aq_2018_defranox_g_1_2000_mean,BiB_Geographic.bib_geog_air_quality.aq_2018_defranox_g_1_2000_mean,"Mean conc of NOx within 2000m circular buffer of home address, 2018 DEFRA",decimal,,,
