variable,full_name,label,value_type,description,categories,categories_label
iq_2021_inspection_date,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_inspection_date,The date that inspection was actually carried out by energy assessor,date,The date that the inspection was actually carried out by the energy assessor.,,
iq_2021_construction_age_band,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_construction_age_band,Age band when building part constructed,text,Age band when building part constructed. England & Wales only. One of: before 1900; 1900-1929; 1930-1949; 1950-1966; 1967-1975; 1976-1982; 1983-1990; 1991-1995; 1996-2002; 2003-2006; 2007-2011; 2012 onwards.,,
iq_2021_built_form,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_built_form,The building type of address,text,"The building type of the property, e.g., Detached, Semi-Detached, Terrace, etc..Together with the Property Type, the Build Form produces a structured description of the property.",,
iq_2021_property_type,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_property_type,The property type of address,text,"Describes the type of property such as House, Flat, Maisonette etc. This is the type differentiator for dwellings. ",,
iq_2021_floor_level,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_floor_level,Floor level relative to lowest level of property \(0 for ground floor\),text,"Floor level relative to the lowest level of the property (0 for ground floor). If there is a basement, the basement is level 0 and the other floors are from 1 upwards. Measure only availabe for flats and maisonettes.",,
iq_2021_flat_storey_count,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_flat_storey_count,The number of storeys in apartment block. ,decimal,The number of storeys in the apartment block. ,,
iq_2021_flat_top_storey,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_flat_top_storey,Whether flat is on top storey. Measure availabe for flats only,text,Whether the flat is on the top storey. Measure availabe for flats only.,,
iq_2021_total_floor_area,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_total_floor_area,Total m2 of all enclosed spaces measured to internal face of external walls,decimal,"The total useful floor area in square meter is the total of all enclosed spaces measured to the internal face of the external walls, i.e., the gross floor area as measured in accordance with the guidance issued from time to time by the Royal Institute of Chartered Surveyors or by a body replacing that institution.",,
iq_2021_floor_height,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_floor_height,Mean height of storey in metres. ,decimal,Average height of the storey in metres. ,,
iq_2021_number_heated_rooms,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_number_heated_rooms,Number of heated rooms in property if > half of habitable rooms are not heated,decimal,The number of heated rooms in the property if more than half of the habitable rooms are not heated. ,,
iq_2021_number_habitable_rooms,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_number_habitable_rooms,Number of rooms used/intended to be used for sleeping/living,decimal,"Habitable rooms include any living room, sitting room, dining room, bedroom, study and similar; and also a non-separated conservatory. A kitchen/diner having a discrete seating area (with space for a table and four chairs) also counts as a habitable room. A non-separated conservatory adds to the habitable room count if it has an internal quality door between it and the dwelling. Excluded from the room count are any room used solely as a kitchen, utility room, bathroom, cloakroom, en-suite accommodation and similar and any hallway, stairs or landing; and also any room not having a window. ",,
iq_2021_extension_count,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_extension_count,The number of extensions added to property,decimal,The number of extensions added to the property.,,
iq_2021_glazed_area,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_glazed_area,Ranged estimate of total glazed area of habitable area,text,Ranged estimate of the total glazed area of the habitable area.,,
iq_2021_glazed_type,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_glazed_type,"The type of glazing, using Fenestration Rating Council\/manufacturer declaration",text,"The type of glazing, using British Fenestration Rating Council or manufacturer declaration.",,
iq_2021_energy_use_current,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_energy_use_current,Current estimated total energy consumption for property inkWh/m²,decimal,Current estimated total energy consumption for the property in a 12-month period in kilowatt hours per square metre (kWh/m²).,,
iq_2021_energy_use_potential,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_energy_use_potential,Estimated potential total energy consumption for property inkWh/m²,decimal,Estimated potential total energy consumption for the property in a 12-month period in kilowatt hours per square metre (kWh/m²).,,
iq_2021_hot_water_cost_current,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_hot_water_cost_current,Current estimated annual energy costs for hot water in GBP,decimal,Current estimated annual energy costs for hot water in GBP.,,
iq_2021_heating_cost_current,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_heating_cost_current,Current estimated annual energy costs for heating property in GBP,decimal,Current estimated annual energy costs for heating the property in GBP.,,
iq_2021_lighting_cost_current,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_lighting_cost_current,Current estimated annual energy costs for lighting property in GBP,decimal,Current estimated annual energy costs for lighting the property in GBP.,,
iq_2021_potential_energy_effcncy,BiB_Geographic.bib_geog_built_env_indoor_qual.iq_2021_potential_energy_effcncy,The potential energy efficiency rating of property. ,decimal,The potential energy efficiency rating of the property. ,,
