variable,full_name,label,value_type,description,categories,categories_label
ParticipantType,BiB_Glycomics.glycomics.ParticipantType,Participant type,text,,,
Barcode,BiB_Glycomics.glycomics.Barcode,Sample barcode,text,,,
Plate,BiB_Glycomics.glycomics.Plate,Sample plate number,decimal,,,
Row,BiB_Glycomics.glycomics.Row,Sample row number,text,,,
Column,BiB_Glycomics.glycomics.Column,Sample column number,decimal,,,
GP1,BiB_Glycomics.glycomics.GP1,Peak # GP1,decimal,,,
GP2,BiB_Glycomics.glycomics.GP2,Peak # GP2,decimal,,,
GP3,BiB_Glycomics.glycomics.GP3,Peak # GP3,decimal,,,
GP4,BiB_Glycomics.glycomics.GP4,Peak # GP4,decimal,,,
GP5,BiB_Glycomics.glycomics.GP5,Peak # GP5,decimal,,,
GP6,BiB_Glycomics.glycomics.GP6,Peak # GP6,decimal,,,
GP7,BiB_Glycomics.glycomics.GP7,Peak # GP7,decimal,,,
GP8,BiB_Glycomics.glycomics.GP8,Peak # GP8,decimal,,,
GP9,BiB_Glycomics.glycomics.GP9,Peak # GP9,decimal,,,
GP10,BiB_Glycomics.glycomics.GP10,Peak # GP10,decimal,,,
GP11,BiB_Glycomics.glycomics.GP11,Peak # GP11,decimal,,,
GP12,BiB_Glycomics.glycomics.GP12,Peak # GP12,decimal,,,
GP13,BiB_Glycomics.glycomics.GP13,Peak # GP13,decimal,,,
GP14,BiB_Glycomics.glycomics.GP14,Peak # GP14,decimal,,,
GP15,BiB_Glycomics.glycomics.GP15,Peak # GP15,decimal,,,
GP16,BiB_Glycomics.glycomics.GP16,Peak # GP16,decimal,,,
GP17,BiB_Glycomics.glycomics.GP17,Peak # GP17,decimal,,,
GP18,BiB_Glycomics.glycomics.GP18,Peak # GP18,decimal,,,
GP19,BiB_Glycomics.glycomics.GP19,Peak # GP19,decimal,,,
GP20,BiB_Glycomics.glycomics.GP20,Peak # GP20,decimal,,,
GP21,BiB_Glycomics.glycomics.GP21,Peak # GP21,decimal,,,
GP22,BiB_Glycomics.glycomics.GP22,Peak # GP22,decimal,,,
GP23,BiB_Glycomics.glycomics.GP23,Peak # GP23,decimal,,,
GP24,BiB_Glycomics.glycomics.GP24,Peak # GP24,decimal,,,
GP25,BiB_Glycomics.glycomics.GP25,Peak # GP25,decimal,,,
GP26,BiB_Glycomics.glycomics.GP26,Peak # GP26,decimal,,,
GP27,BiB_Glycomics.glycomics.GP27,Peak # GP27,decimal,,,
GP28,BiB_Glycomics.glycomics.GP28,Peak # GP28,decimal,,,
GP29,BiB_Glycomics.glycomics.GP29,Peak # GP29,decimal,,,
GP30,BiB_Glycomics.glycomics.GP30,Peak # GP30,decimal,,,
GP31,BiB_Glycomics.glycomics.GP31,Peak # GP31,decimal,,,
GP32,BiB_Glycomics.glycomics.GP32,Peak # GP32,decimal,,,
GP33,BiB_Glycomics.glycomics.GP33,Peak # GP33,decimal,,,
GP34,BiB_Glycomics.glycomics.GP34,Peak # GP34,decimal,,,
GP35,BiB_Glycomics.glycomics.GP35,Peak # GP35,decimal,,,
GP36,BiB_Glycomics.glycomics.GP36,Peak # GP36,decimal,,,
GP37,BiB_Glycomics.glycomics.GP37,Peak # GP37,decimal,,,
GP38,BiB_Glycomics.glycomics.GP38,Peak # GP38,decimal,,,
GP39,BiB_Glycomics.glycomics.GP39,Peak # GP39,decimal,,,
