variable,full_name,label,value_type,description,categories,categories_label
Date,BiB_GrowingUp.adult_survey_MeDALL_sample.Date,Date survey completed,date,,,
AgeMonths,BiB_GrowingUp.adult_survey_MeDALL_sample.AgeMonths,Age in months at survey completion,decimal,,,
AgeYears,BiB_GrowingUp.adult_survey_MeDALL_sample.AgeYears,Age in years at survey completion,decimal,,,
guadtWheezingInChest,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtWheezingInChest,Has your child ever had wheezing or whistling in their chest,decimal,,1|2,No|Yes
guadtWheeze12Months,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtWheeze12Months,Has your child had wheezing or whistling in the chestin the past 12 months?,decimal,,1|2,No|Yes
guadtAttacksWheezing,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtAttacksWheezing,How many attacks of wheezing has your child hadin the past 12 months?,decimal,,1|2|3|4,None|1 to 3|4 to 12|More than 12
guadtSleepDisturb,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtSleepDisturb,"In past 12 mths, how often has your child's sleep been disturbed due to wheeze",decimal,,1|2|3,Never woken with wheezing|Less than one night per week|One or more nights per week
guadtWheezingSpeech,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtWheezingSpeech,"In past 12 mths, has wheezing limited your child's sleep",decimal,,1|2,No|Yes
guadtEverHadAsthma,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtEverHadAsthma,Has your child ever had asthma,decimal,,1|2,No|Yes
guadtWheezyExercise,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtWheezyExercise,"In past 12 mths, has your child been wheezy after exercise",decimal,,1|2,No|Yes
guadtDryCoughAtNight,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtDryCoughAtNight,"In past 12 mths, has child had a dry cough at night without a cold",decimal,,1|2,No|Yes
guadtSneezeNotCold,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtSneezeNotCold,Has child ever had sneezing/runny or blocked nose without a cold,decimal,,1|2,No|Yes
guadtSneeze12months,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtSneeze12months,In past 12 mths has child had sneezing/runny or blocked nose without a cold,decimal,,1|2,No|Yes
guadtItchyWateryEyes,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtItchyWateryEyes,"In past 12 mths, has child had itchy/watery eyes with nose problem",decimal,,1|2,No|Yes
guadtNoseMonth_1,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_1,Nose problem occurred in January,decimal,,1,Yes
guadtNoseMonth_10,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_10,Nose problem occurred in October,decimal,,1,Yes
guadtNoseMonth_11,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_11,Nose problem occurred in November,decimal,,1,Yes
guadtNoseMonth_12,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_12,Nose problem occurred in December,decimal,,1,Yes
guadtNoseMonth_2,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_2,Nose problem occurred in February,decimal,,1,Yes
guadtNoseMonth_3,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_3,Nose problem occurred in March,decimal,,1,Yes
guadtNoseMonth_4,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_4,Nose problem occurred in April,decimal,,1,Yes
guadtNoseMonth_5,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_5,Nose problem occurred in May,decimal,,1,Yes
guadtNoseMonth_6,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_6,Nose problem occurred in June,decimal,,1,Yes
guadtNoseMonth_7,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_7,Nose problem occurred in July,decimal,,1,Yes
guadtNoseMonth_8,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_8,Nose problem occurred in August,decimal,,1,Yes
guadtNoseMonth_9,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseMonth_9,Nose problem occurred in September,decimal,,1,Yes
guadtNoseDailyActiv,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtNoseDailyActiv,In past 12 mths nose problem interfered with child's daily activities,decimal,,1|2|3|4,Not at all|A little|A moderate amount|A lot
guadtHayfeverEver,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtHayfeverEver,Has your child ever had hayfever?,decimal,,1|2,No|Yes
guadtItchyRashEver,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtItchyRashEver,Has child ever had an itchy rash coming and going for >=6 mths,decimal,,1|2,No|Yes
guadtRash12Months,BiB_GrowingUp.adult_survey_MeDALL_sample.guadtRash12Months,Has your child had this itchy rash at any time in the past 12 months?,decimal,,1|2,No|Yes
