variable,full_name,label,value_type,description,categories,categories_label
guadtDateQuestion,BiB_GrowingUp.adult_survey.guadtDateQuestion,Date of questionnaire,datetime,NA,NA,NA
guadtMF,BiB_GrowingUp.adult_survey.guadtMF,Is the particpant male or female?,decimal,NA,1|2,Male|Female
guadtMainCarer,BiB_GrowingUp.adult_survey.guadtMainCarer,Is the participant the main carer for the child?,decimal,NA,1|2,No|Yes
guadtRelationStatus,BiB_GrowingUp.adult_survey.guadtRelationStatus,Are you:,decimal,NA,1|2|3,Married and living with partner|Not married and living with partner|Not living with partner
guadtSatisfiedParks,BiB_GrowingUp.adult_survey.guadtSatisfiedParks,How satisfied or dissatisfied are you with the parks and green spaces in your lo,decimal,NA,1|2|3|4|5,Very dissatisfied|Fairly dissatisfied |Neither satisfied nor dissatisfied |Fairly satisfied |Very satisfied 
guadtOftenVisitParks_1,BiB_GrowingUp.adult_survey.guadtOftenVisitParks_1,During the winter months (September – March),decimal,NA,1|2|3|4|5,Less than once a month |1 to 3 times a month |Once a week |2 to 4 times a week |5 times a week or more 
guadtOftenVisitParks_2,BiB_GrowingUp.adult_survey.guadtOftenVisitParks_2,During spring and summer (April – August),decimal,NA,1|2|3|4|5,Less than once a month |1 to 3 times a month |Once a week |2 to 4 times a week |5 times a week or more 
guadtWhereEducation,BiB_GrowingUp.adult_survey.guadtWhereEducation,Where did you obtain your highest educational qualification?,decimal,NA,1|2|3|4|5|6|7|8|9,I don't have any qualifications|England|Pakistan|India|Bangladesh|Poland|Slovakia|Hungary|Elsewhere
guadtEducEngland,BiB_GrowingUp.adult_survey.guadtEducEngland,"If your highest educational qualification was obtained in England, what is the h",decimal,NA,1|10|11|12|13|14|15|16|17|2|3|4|5|6|7|8|9,"I don't have any qualifications|AS or A level, International Baccalaureate or BTEC|NVQ 4/5|Higher National Certificate/ Higher National Diploma, Higher Education Diploma|Foundation Degree|Bachelor’s degree 3-5 years|Master’s degree (taught/research) or Postgraduate qualification, Doctorate/ PhD|Don’t know|Other|Any GCSE, SCEs (less than 5 GCSEs grades A-C)|5 or more GCSEs (grades A-C)|GNVQ foundation level|NVQ1|GNVQ intermediate|NVQ 2 (Young) apprenticeship|NVQ 3 Advanced apprenticeship|GNVQ Advanced"
guadtEducEngland_other,BiB_GrowingUp.adult_survey.guadtEducEngland_other,"If your highest educational qualification was obtained in England, what is the h",text,NA,NA,NA
guadtEducPakistan,BiB_GrowingUp.adult_survey.guadtEducPakistan,"If your highest educational qualification was obtained in Pakistan, what is the ",decimal,NA,1|10|11|2|3|4|5|6|7|8|9,"I don't have any qualifications|Don’t know|Other|Secondary School Certificate/ Matriculation|Higher Secondary or Intermediate Certificate |Technical Education Certificate/ Diploma|Registered Nurse/ General Nursing Diploma|Primary Teaching Certificate |Certificate in Training, Paramedic Secondary School Certificate/ Matriculation |Bachelor Degree Arts/Sciences, Education, Engineering, Medicine/Surgery|Master Degree/ Master of Education/ Master of Philosophy (MPhil), Doctorate"
guadtEducPakistan_other,BiB_GrowingUp.adult_survey.guadtEducPakistan_other,"If your highest educational qualification was obtained in Pakistan, what is the ",text,NA,NA,NA
guadtEducIndia,BiB_GrowingUp.adult_survey.guadtEducIndia,"If your highest educational qualification was obtained in India, what is the hig",decimal,NA,1|2|3|4|5|6|7|8,"I don't have any qualifications|Senior Secondary School Leaving Certificate|Matriculation Certificate, Senior School Certificate,  ITI Certificate|Diploma in Technical Education, Junior basic teacher’s training, Nursing Diploma/Certificate|Bachelor’s Degree, Bachelor of Law/ Education|Master’s Degree, Master of Philosophy (Mphil), Doctor of Philosophy/ Letters|Don’t know|Other"
guadtEducBangladesh,BiB_GrowingUp.adult_survey.guadtEducBangladesh,"If your highest educational qualification was obtained in Bangladesh, what is th",decimal,NA,1|10|11|12|13|14|15|2|3|4|5|6|7|8|9,"I don't have any qualifications|Diploma in Agriculture/Ayurvedic + Unanai Medicine/ Textile/ Health Technology/ Survey/ Ceramics/ Nursing/ Graphic Arts|Bachelor Degree Pass, Bachelor Degree|Master’s Degree, PGD and PhD|Fazil/ Kamil Degree|Don’t know|Other|Secondary School/ Higher Secondary Certificate|Dakhil/ Alim Certificate|SSC Vocational/ Trade Certificate|HSC Business Management|HSC Vocational|Diploma in Commerce Certificate|Diploma in Engineering|Certificate in Education (CinEd)"
guadtEducPoland,BiB_GrowingUp.adult_survey.guadtEducPoland,"If your highest educational qualification was obtained in Poland, what is the hi",decimal,NA,1|10|11|12|13|14|2|3|4|5|6|7|8|9,"I don't have any qualifications|1st Degree Studies |University Studies, Magister/Lekarz, Postgraduate Certificate|Master’s Degree, Doctoral Study/PhD|Don’t know|Other|General Secondary School Leaving Certificate/ Diploma|Technikum, Liceum Mature Certificate/Diploma|Technical Secondary School, Specialised Secondary School|General/ Supplementary Secondary School|Ballet School Diploma (technician level), Second level music school Diploma, Circus School Diploma (technician level)|Basic vocational School|Post-secondary School Certificate/ Diploma|Teacher Training, Diploma Social Work College"
