variable,full_name,label,value_type,description,categories,categories_label
Date,BiB_GrowingUp.blood_pressure.Date,Date blood pressure taken,date,,,
TotalBPs,BiB_GrowingUp.blood_pressure.TotalBPs,Total blood pressure test occasions,decimal,,,
BPDateOrder,BiB_GrowingUp.blood_pressure.BPDateOrder,Date order of blood pressure test occasions,decimal,,,
source,BiB_GrowingUp.blood_pressure.source,Source of data,decimal,,1|2,School nurses|Growing Up
agemths,BiB_GrowingUp.blood_pressure.agemths,Age at measurements (mths),decimal,,,
ageyrs,BiB_GrowingUp.blood_pressure.ageyrs,Age at measurements (yrs),decimal,,,
BP1Systolic,BiB_GrowingUp.blood_pressure.BP1Systolic,First systolic BP measurement,decimal,,,
BP1Diastolic,BiB_GrowingUp.blood_pressure.BP1Diastolic,First diastolic BP measurement,decimal,,,
BP2Systolic,BiB_GrowingUp.blood_pressure.BP2Systolic,Second systolic BP measurement,decimal,,,
BP2Diastolic,BiB_GrowingUp.blood_pressure.BP2Diastolic,Second diastolic BP measurement,decimal,,,
BP3Systolic,BiB_GrowingUp.blood_pressure.BP3Systolic,Third systolic BP measurement,decimal,,,
BP3Diastolic,BiB_GrowingUp.blood_pressure.BP3Diastolic,Third diastolic BP measurement,decimal,,,
BP4Systolic,BiB_GrowingUp.blood_pressure.BP4Systolic,Fourth systolic BP measurement,decimal,,,
BP4Diastolic,BiB_GrowingUp.blood_pressure.BP4Diastolic,Fourth diastolic BP measurement,decimal,,,
systolic,BiB_GrowingUp.blood_pressure.systolic,Mean systolic BP,decimal,,,
diastolic,BiB_GrowingUp.blood_pressure.diastolic,Mean diastolic BP,decimal,,,
