variable,full_name,label,value_type,description,categories,categories_label
AgeMonths,BiB_GrowingUp.child_survey_adult_comp.AgeMonths,Age in months at survey completion,decimal,,,
AgeYears,BiB_GrowingUp.child_survey_adult_comp.AgeYears,Age in years at survey completion,decimal,,,
SurveyYear,BiB_GrowingUp.child_survey_adult_comp.SurveyYear,Calendar year at survey completion,decimal,,,
SurveyMonth,BiB_GrowingUp.child_survey_adult_comp.SurveyMonth,Calendar month at survey completion,decimal,,,
lsid,BiB_GrowingUp.child_survey_adult_comp.lsid,Survey version identifier,decimal,,,
survey_version,BiB_GrowingUp.child_survey_adult_comp.survey_version,Survey version,decimal,,1|2|3,version 1|version 2 English|version 2 Urdu
survey_mode,BiB_GrowingUp.child_survey_adult_comp.survey_mode,Survey completion mode,decimal,,1|2,screen|paper
survey_language,BiB_GrowingUp.child_survey_adult_comp.survey_language,Survey completion language,decimal,,1|2,English|Urdu
guadtBaseline,BiB_GrowingUp.child_survey_adult_comp.guadtBaseline,Has the participant already completed the baseline questionnaire?,decimal,,1|2,No|Yes
guadtBiB1000,BiB_GrowingUp.child_survey_adult_comp.guadtBiB1000,Is the participant part of BiB1000?,decimal,,1|2,No|Yes
guadtAllIn,BiB_GrowingUp.child_survey_adult_comp.guadtAllIn,Is the particpant part of BiB ALLIN?,decimal,,1|2,No|Yes
guadtMeDALL,BiB_GrowingUp.child_survey_adult_comp.guadtMeDALL,Is the participant part of BiB MeDALL?,decimal,,1|2,No|Yes
guadtMother,BiB_GrowingUp.child_survey_adult_comp.guadtMother,Is this participant the biological mother of the child,text,,,
guadtLiveSameHouse,BiB_GrowingUp.child_survey_adult_comp.guadtLiveSameHouse,Do you live in the same household as the BiB child all of the time?,decimal,,1|2,No|Yes
guadtSameHouseholdNo,BiB_GrowingUp.child_survey_adult_comp.guadtSameHouseholdNo,"If not, how often do you live in the same household as BiB child",decimal,,1|2|3,(Almost) never|Some of the time|Most of the time
