variable,full_name,label,value_type,description,categories,categories_label
AgeMonths,BiB_GrowingUp.child_survey_child_comp.AgeMonths,Age in months at survey completion,decimal,,,
AgeYears,BiB_GrowingUp.child_survey_child_comp.AgeYears,Age in years at survey completion,decimal,,,
SurveyYear,BiB_GrowingUp.child_survey_child_comp.SurveyYear,Calendar year at survey completion,decimal,,,
SurveyMonth,BiB_GrowingUp.child_survey_child_comp.SurveyMonth,Calendar month at survey completion,decimal,,,
lsid,BiB_GrowingUp.child_survey_child_comp.lsid,Survey version identifier,decimal,,,
survey_version,BiB_GrowingUp.child_survey_child_comp.survey_version,Survey version,decimal,,1|2|3|4|5,community version 1|community version 2|community version 3|school version 1|school version 2
survey_mode,BiB_GrowingUp.child_survey_child_comp.survey_mode,Survey completion mode,decimal,,1|2,screen|paper
guchdQinTermTime,BiB_GrowingUp.child_survey_child_comp.guchdQinTermTime,Is the questionnaire completed during school term time?,decimal,,1|2,No|Yes
guchdDayWeekQ,BiB_GrowingUp.child_survey_child_comp.guchdDayWeekQ,What day was the questionnaire completed?,decimal,,1|2|3|4|5|6|7,Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday
guchdWhereQComp,BiB_GrowingUp.child_survey_child_comp.guchdWhereQComp,Where was this questionnaire completed?,decimal,,1|2|3,Participant's home|Bus|Other
guchdWhereQComp_other,BiB_GrowingUp.child_survey_child_comp.guchdWhereQComp_other,Where was this questionnaire completed?: Other,text,,,
guchdOnSchlDays2_1,BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_1,Go to a sports clubs/lessons after school â€“ if yes what is the club or lesson?,decimal,,1|2|3,Never/rarely|Some days (1-3 days a week)|Most/all days
guchdSportsClubsYes,BiB_GrowingUp.child_survey_child_comp.guchdSportsClubsYes,What is the club or lesson you go to?,text,,,
guchdOnSchlDays2_2,BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_2,"Play out in the garden, yard, or streets around your home",decimal,,1|2|3,Never/rarely|Some days (1-3 days a week)|Most/all days
guchdOnSchlDays2_3,BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_3,Go to the park,decimal,,1|2|3,Never/rarely|Some days (1-3 days a week)|Most/all days
guchdOnSchlDays2_5,BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_5,Walk or run outdoors for exercise (including walking the dog),decimal,,1|2|3,Never/rarely|Some days (1-3 days a week)|Most/all days
guchdOnSchlDays2_6,BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_6,Watch TV/films,decimal,,1|2|3,Never/rarely|Some days (1-3 days a week)|Most/all days
guchdOnSchlDays2_7,BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_7,"Use a computer (including laptop/tablet) for games, the internet and homework, s",decimal,,1|2|3,Never/rarely|Some days (1-3 days a week)|Most/all days
guchdOnSchlDays2_8,BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_8,"Use a mobile phone for messaging, internet, social media, games, you tube",decimal,,1|2|3,Never/rarely|Some days (1-3 days a week)|Most/all days
guchdOnSchlDays2_4,BiB_GrowingUp.child_survey_child_comp.guchdOnSchlDays2_4,Go to indoor play areas,decimal,,1|2|3,Never/rarely|Some days (1-3 days a week)|Most/all days
guchdOnSchlHowLong2_1,BiB_GrowingUp.child_survey_child_comp.guchdOnSchlHowLong2_1,Watch TV/films,decimal,,1|2|3|4,Less than an hour|1 - 2 hours|2 - 3 hours|3 or more hours
guchdOnSchlHowLong2_2,BiB_GrowingUp.child_survey_child_comp.guchdOnSchlHowLong2_2,"Use a computer (including laptop/tablet) for games, the internet and homework, s",decimal,,1|2|3|4,Less than an hour|1 - 2 hours|2 - 3 hours|3 or more hours
guchdOnSchlHowLong2_3,BiB_GrowingUp.child_survey_child_comp.guchdOnSchlHowLong2_3,"Use a mobile phone for messaging, internet, social media, games, youtube",decimal,,1|2|3|4,Less than an hour|1 - 2 hours|2 - 3 hours|3 or more hours
guchdWkendHowOften2_1,BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_1,Go to sports clubs/lessons,decimal,,1|2|3,Never/rarely|Some weekends|Most or all weekends
guchdWhatClubWkend,BiB_GrowingUp.child_survey_child_comp.guchdWhatClubWkend,What is the club or lesson you go to?,text,,,
guchdWkendHowOften2_2,BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_2,"Play out in the garden, yard, or streets around your home",decimal,,1|2|3,Never/rarely|Some weekends|Most or all weekends
guchdWkendHowOften2_3,BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_3,Go to the park,decimal,,1|2|3,Never/rarely|Some weekends|Most or all weekends
guchdWkendHowOften2_4,BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_4,Go to indoor play areas,decimal,,1|2|3,Never/rarely|Some weekends|Most or all weekends
guchdWkendHowOften2_5,BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_5,Walk or run outdoors for exercise (including walking the dog),decimal,,1|2|3,Never/rarely|Some weekends|Most or all weekends
guchdWkendHowOften2_6,BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_6,Watch TV/films,decimal,,1|2|3,Never/rarely|Some weekends|Most or all weekends
guchdWkendHowOften2_7,BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_7,"Use a computer (including laptop/tablet) for games, the internet and homework, s",decimal,,1|2|3,Never/rarely|Some weekends|Most or all weekends
guchdWkendHowOften2_8,BiB_GrowingUp.child_survey_child_comp.guchdWkendHowOften2_8,"Use a mobile phone for messaging, internet, social media, games, you tube",decimal,,1|2|3,Never/rarely|Some weekends|Most or all weekends
guchdWkendHowLong2_1,BiB_GrowingUp.child_survey_child_comp.guchdWkendHowLong2_1,Watch TV/films,decimal,,1|2|3|4,Less than an hour|1 - 2 hours|2 - 3 hours|More than 3 hours
guchdWkendHowLong2_2,BiB_GrowingUp.child_survey_child_comp.guchdWkendHowLong2_2,"Use a computer (including laptop/tablet) for games (not active games), the inter",decimal,,1|2|3|4,Less than an hour|1 - 2 hours|2 - 3 hours|More than 3 hours
guchdWkendHowLong2_3,BiB_GrowingUp.child_survey_child_comp.guchdWkendHowLong2_3,"Use a mobile phone for messaging, internet, social media, games, youtube",decimal,,1|2|3|4,Less than an hour|1 - 2 hours|2 - 3 hours|More than 3 hours
