variable,full_name,label,value_type,description,categories,categories_label
AgeMonths,BiB_GrowingUp.dxa_scan_f.AgeMonths,Age in months at DXA scan,decimal,,,
AgeYears,BiB_GrowingUp.dxa_scan_f.AgeYears,Age in years at DXA scan,decimal,,,
ScanYear,BiB_GrowingUp.dxa_scan_f.ScanYear,Calendar year of DXA scan,decimal,,,
ScanMonth,BiB_GrowingUp.dxa_scan_f.ScanMonth,Calendar month of DXA scan,decimal,,,
status,BiB_GrowingUp.dxa_scan_f.status,Current state of this exam,decimal,,0,Not reviewed
height,BiB_GrowingUp.dxa_scan_f.height,Height (cm),decimal,,,
weight,BiB_GrowingUp.dxa_scan_f.weight,Weight (kg),decimal,,,
scantype,BiB_GrowingUp.dxa_scan_f.scantype,Scan type,decimal,,10,Whole body scan
scanner_id,BiB_GrowingUp.dxa_scan_f.scanner_id,Serial number of scanner,decimal,,,
site,BiB_GrowingUp.dxa_scan_f.site,Site of scan,decimal,,0|13|3,AP spine|Paediatric total body|Total body
side,BiB_GrowingUp.dxa_scan_f.side,Side scanned,decimal,,0,NA
acquisition_version,BiB_GrowingUp.dxa_scan_f.acquisition_version,Version of the aquisition techniques when image was aquired,text,,,
analysis_version,BiB_GrowingUp.dxa_scan_f.analysis_version,Version of analysis techniques,text,,,
avg_percent_fat,BiB_GrowingUp.dxa_scan_f.avg_percent_fat,Average percent fat for the whole image,decimal,,,
avg_tissue_thickness,BiB_GrowingUp.dxa_scan_f.avg_tissue_thickness,Average tissue thickness for the whole image,decimal,,,
scan_length,BiB_GrowingUp.dxa_scan_f.scan_length,Length of acquisition field (mm),decimal,,,
scan_width,BiB_GrowingUp.dxa_scan_f.scan_width,Width of acquisition field (mm),decimal,,,
object_plane,BiB_GrowingUp.dxa_scan_f.object_plane,Y object plan offset (mm),decimal,,,
measured_item_length,BiB_GrowingUp.dxa_scan_f.measured_item_length,Length of item measured,decimal,,,
smart_scanned,BiB_GrowingUp.dxa_scan_f.smart_scanned,Scan acquired using smart scanning,decimal,,0|1,No|Yes
comp_handle,BiB_GrowingUp.dxa_scan_f.comp_handle,Foreign key to tie this to a Densitometry record,text,,,
population,BiB_GrowingUp.dxa_scan_f.population,Reference Population used,decimal,,131,UK
norm_version,BiB_GrowingUp.dxa_scan_f.norm_version,Version of the reference data used,decimal,,,
method,BiB_GrowingUp.dxa_scan_f.method,Method of analysis (composition),decimal,,2,Standard
head_bmd,BiB_GrowingUp.dxa_scan_f.head_bmd,Bone mineral density (g/cm2) of head,decimal,,,
arms_bmd,BiB_GrowingUp.dxa_scan_f.arms_bmd,Bone mineral density (g/cm2) of arms,decimal,,,
legs_bmd,BiB_GrowingUp.dxa_scan_f.legs_bmd,Bone mineral density (g/cm2) of legs,decimal,,,
trnk_bmd,BiB_GrowingUp.dxa_scan_f.trnk_bmd,Bone mineral density (g/cm2) of trunk,decimal,,,
ribs_bmd,BiB_GrowingUp.dxa_scan_f.ribs_bmd,Bone mineral density (g/cm2) of ribs,decimal,,,
pelv_bmd,BiB_GrowingUp.dxa_scan_f.pelv_bmd,Bone mineral density (g/cm2) of pelvis,decimal,,,
spin_bmd,BiB_GrowingUp.dxa_scan_f.spin_bmd,Bone mineral density (g/cm2) of spine,decimal,,,
totl_bmd,BiB_GrowingUp.dxa_scan_f.totl_bmd,Bone mineral density (g/cm2) - total ,decimal,,,
larm_bmd,BiB_GrowingUp.dxa_scan_f.larm_bmd,Bone mineral density (g/cm2) of left arm,decimal,,,
lleg_bmd,BiB_GrowingUp.dxa_scan_f.lleg_bmd,Bone mineral density (g/cm2) of left leg,decimal,,,
ltrnk_bmd,BiB_GrowingUp.dxa_scan_f.ltrnk_bmd,Bone mineral density (g/cm2) of left trunk,decimal,,,
ltot_bmd,BiB_GrowingUp.dxa_scan_f.ltot_bmd,Bone mineral density (g/cm2) of left total,decimal,,,
rarm_bmd,BiB_GrowingUp.dxa_scan_f.rarm_bmd,Bone mineral density (g/cm2) of right arm,decimal,,,
rleg_bmd,BiB_GrowingUp.dxa_scan_f.rleg_bmd,Bone mineral density (g/cm2) of right leg,decimal,,,
rtrnk_bmd,BiB_GrowingUp.dxa_scan_f.rtrnk_bmd,Bone mineral density (g/cm2) of right trunk,decimal,,,
rtot_bmd,BiB_GrowingUp.dxa_scan_f.rtot_bmd,Bone mineral density (g/cm2) of right total,decimal,,,
head_bmc,BiB_GrowingUp.dxa_scan_f.head_bmc,Bone mineral content (g) of head,decimal,,,
arms_bmc,BiB_GrowingUp.dxa_scan_f.arms_bmc,Bone mineral content (g) of arms,decimal,,,
legs_bmc,BiB_GrowingUp.dxa_scan_f.legs_bmc,Bone mineral content (g) of legs,decimal,,,
trnk_bmc,BiB_GrowingUp.dxa_scan_f.trnk_bmc,Bone mineral content (g) of trunk,decimal,,,
ribs_bmc,BiB_GrowingUp.dxa_scan_f.ribs_bmc,Bone mineral content (g) of ribs,decimal,,,
pelv_bmc,BiB_GrowingUp.dxa_scan_f.pelv_bmc,Bone mineral content (g) of pelvis,decimal,,,
spin_bmc,BiB_GrowingUp.dxa_scan_f.spin_bmc,Bone mineral content (g) of spine,decimal,,,
totl_bmc,BiB_GrowingUp.dxa_scan_f.totl_bmc,Bone mineral content (g) - total,decimal,,,
and_bmc,BiB_GrowingUp.dxa_scan_f.and_bmc,Bone mineral content (g) of android,decimal,,,
gyn_bmc,BiB_GrowingUp.dxa_scan_f.gyn_bmc,Bone mineral content (g) of gynoid,decimal,,,
anvis_bmc,BiB_GrowingUp.dxa_scan_f.anvis_bmc,Bone mineral content (g) of android visceral,decimal,,,
larm_bmc,BiB_GrowingUp.dxa_scan_f.larm_bmc,Bone mineral content (g) of left arm,decimal,,,
lleg_bmc,BiB_GrowingUp.dxa_scan_f.lleg_bmc,Bone mineral content (g) of left leg,decimal,,,
ltrnk_bmc,BiB_GrowingUp.dxa_scan_f.ltrnk_bmc,Bone mineral content (g) of left trunk,decimal,,,
ltot_bmc,BiB_GrowingUp.dxa_scan_f.ltot_bmc,Bone mineral content (g) of left total,decimal,,,
rarm_bmc,BiB_GrowingUp.dxa_scan_f.rarm_bmc,Bone mineral content (g) of right arm,decimal,,,
rleg_bmc,BiB_GrowingUp.dxa_scan_f.rleg_bmc,Bone mineral content (g) of right leg,decimal,,,
rtrnk_bmc,BiB_GrowingUp.dxa_scan_f.rtrnk_bmc,Bone mineral content (g) of right trunk,decimal,,,
rtot_bmc,BiB_GrowingUp.dxa_scan_f.rtot_bmc,Bone mineral content (g) of right total,decimal,,,
armdiff_bmc,BiB_GrowingUp.dxa_scan_f.armdiff_bmc,Bone mass (g) of left vs right arm difference,decimal,,,
legdiff_bmc,BiB_GrowingUp.dxa_scan_f.legdiff_bmc,Bone mineral content (g) of left vs right leg difference,decimal,,,
trnkdiff_bmc,BiB_GrowingUp.dxa_scan_f.trnkdiff_bmc,Bone mineral content (g) of left vs right trunk difference,decimal,,,
boddiff_bmc,BiB_GrowingUp.dxa_scan_f.boddiff_bmc,Bone mineral content (g) of left vs right body difference,decimal,,,
head_area,BiB_GrowingUp.dxa_scan_f.head_area,Bone area (cm2) of head,decimal,,,
arms_area,BiB_GrowingUp.dxa_scan_f.arms_area,Bone area (cm2) of arms,decimal,,,
legs_area,BiB_GrowingUp.dxa_scan_f.legs_area,Bone area (cm2) of legs,decimal,,,
trnk_area,BiB_GrowingUp.dxa_scan_f.trnk_area,Bone area(cm2) (cm2) of trunk,decimal,,,
ribs_area,BiB_GrowingUp.dxa_scan_f.ribs_area,Bone area (cm2) of ribs,decimal,,,
pelv_area,BiB_GrowingUp.dxa_scan_f.pelv_area,Bone area (cm2) of pelvis,decimal,,,
spin_area,BiB_GrowingUp.dxa_scan_f.spin_area,Bone area (cm2) of spine,decimal,,,
totl_area,BiB_GrowingUp.dxa_scan_f.totl_area,Bone area (cm2) - total ,decimal,,,
larm_area,BiB_GrowingUp.dxa_scan_f.larm_area,Bone area (cm2) of left arm,decimal,,,
lleg_area,BiB_GrowingUp.dxa_scan_f.lleg_area,Bone area (cm2) of left leg,decimal,,,
ltrnk_area,BiB_GrowingUp.dxa_scan_f.ltrnk_area,Bone area (cm2) of left trunk,decimal,,,
ltot_area,BiB_GrowingUp.dxa_scan_f.ltot_area,Bone area (cm2) of left total,decimal,,,
rarm_area,BiB_GrowingUp.dxa_scan_f.rarm_area,Bone area (cm2) of right arm,decimal,,,
rleg_area,BiB_GrowingUp.dxa_scan_f.rleg_area,Bone area (cm2) of right leg,decimal,,,
rtrnk_area,BiB_GrowingUp.dxa_scan_f.rtrnk_area,Bone area (cm2) of right trunk,decimal,,,
rtot_area,BiB_GrowingUp.dxa_scan_f.rtot_area,Bone area (cm2) of right total,decimal,,,
arms_leanmass,BiB_GrowingUp.dxa_scan_f.arms_leanmass,Lean mass (g) of arms,decimal,,,
legs_leanmass,BiB_GrowingUp.dxa_scan_f.legs_leanmass,Lean mass (g) of legs,decimal,,,
trnk_leanmass,BiB_GrowingUp.dxa_scan_f.trnk_leanmass,Lean mass (g) of trunk,decimal,,,
tot_leanmass,BiB_GrowingUp.dxa_scan_f.tot_leanmass,Lean mass (g) of total,decimal,,,
and_leanmass,BiB_GrowingUp.dxa_scan_f.and_leanmass,Lean mass (g) of android,decimal,,,
