variable,full_name,label,value_type,description,categories,categories_label
AgeMonths,BiB_GrowingUp.dxa_scan_m.AgeMonths,Age in months at DXA scan,decimal,,,
AgeYears,BiB_GrowingUp.dxa_scan_m.AgeYears,Age in years at DXA scan,decimal,,,
ScanYear,BiB_GrowingUp.dxa_scan_m.ScanYear,Calendar year of DXA scan,decimal,,,
ScanMonth,BiB_GrowingUp.dxa_scan_m.ScanMonth,Calendar month of DXA scan,decimal,,,
status,BiB_GrowingUp.dxa_scan_m.status,Current state of this exam,decimal,,0,Not reviewed
height,BiB_GrowingUp.dxa_scan_m.height,Height (cm),decimal,,,
weight,BiB_GrowingUp.dxa_scan_m.weight,Weight (kg),decimal,,,
scantype,BiB_GrowingUp.dxa_scan_m.scantype,Scan type,decimal,,10,Whole body scan
scanner_id,BiB_GrowingUp.dxa_scan_m.scanner_id,Serial number of scanner,decimal,,,
site,BiB_GrowingUp.dxa_scan_m.site,Site of scan,decimal,,0|13|3,AP spine|Paediatric total body|Total body
side,BiB_GrowingUp.dxa_scan_m.side,Side scanned,decimal,,0,NA
acquisition_version,BiB_GrowingUp.dxa_scan_m.acquisition_version,Version of the aquisition techniques when image was aquired,text,,,
analysis_version,BiB_GrowingUp.dxa_scan_m.analysis_version,Version of analysis techniques,text,,,
avg_percent_fat,BiB_GrowingUp.dxa_scan_m.avg_percent_fat,Average percent fat for the whole image,decimal,,,
avg_tissue_thickness,BiB_GrowingUp.dxa_scan_m.avg_tissue_thickness,Average tissue thickness for the whole image,decimal,,,
unread_notes_exist,BiB_GrowingUp.dxa_scan_m.unread_notes_exist,Review notes read,decimal,,0,No
scan_length,BiB_GrowingUp.dxa_scan_m.scan_length,Length of acquisition field (mm),decimal,,,
scan_width,BiB_GrowingUp.dxa_scan_m.scan_width,Width of acquisition field (mm),decimal,,,
object_plane,BiB_GrowingUp.dxa_scan_m.object_plane,Y object plan offset (mm),decimal,,,
measured_item_length,BiB_GrowingUp.dxa_scan_m.measured_item_length,Length of item measured,decimal,,,
smart_scanned,BiB_GrowingUp.dxa_scan_m.smart_scanned,Scan acquired using smart scanning,decimal,,0|1,No|Yes
population,BiB_GrowingUp.dxa_scan_m.population,Reference Population used,decimal,,131,UK
norm_version,BiB_GrowingUp.dxa_scan_m.norm_version,Version of the reference data used,decimal,,,
method,BiB_GrowingUp.dxa_scan_m.method,Method of analysis (composition),decimal,,2,Standard
head_bmd,BiB_GrowingUp.dxa_scan_m.head_bmd,Bone mineral density (g/cm2) of head,decimal,,,
arms_bmd,BiB_GrowingUp.dxa_scan_m.arms_bmd,Bone mineral density (g/cm2) of arms,decimal,,,
legs_bmd,BiB_GrowingUp.dxa_scan_m.legs_bmd,Bone mineral density (g/cm2) of legs,decimal,,,
trnk_bmd,BiB_GrowingUp.dxa_scan_m.trnk_bmd,Bone mineral density (g/cm2) of trunk,decimal,,,
ribs_bmd,BiB_GrowingUp.dxa_scan_m.ribs_bmd,Bone mineral density (g/cm2) of ribs,decimal,,,
pelv_bmd,BiB_GrowingUp.dxa_scan_m.pelv_bmd,Bone mineral density (g/cm2) of pelvis,decimal,,,
spin_bmd,BiB_GrowingUp.dxa_scan_m.spin_bmd,Bone mineral density (g/cm2) of spine,decimal,,,
totl_bmd,BiB_GrowingUp.dxa_scan_m.totl_bmd,Bone mineral density (g/cm2) - total ,decimal,,,
larm_bmd,BiB_GrowingUp.dxa_scan_m.larm_bmd,Bone mineral density (g/cm2) of left arm,decimal,,,
lleg_bmd,BiB_GrowingUp.dxa_scan_m.lleg_bmd,Bone mineral density (g/cm2) of left leg,decimal,,,
ltrnk_bmd,BiB_GrowingUp.dxa_scan_m.ltrnk_bmd,Bone mineral density (g/cm2) of left trunk,decimal,,,
ltot_bmd,BiB_GrowingUp.dxa_scan_m.ltot_bmd,Bone mineral density (g/cm2) of left total,decimal,,,
rarm_bmd,BiB_GrowingUp.dxa_scan_m.rarm_bmd,Bone mineral density (g/cm2) of right arm,decimal,,,
rleg_bmd,BiB_GrowingUp.dxa_scan_m.rleg_bmd,Bone mineral density (g/cm2) of right leg,decimal,,,
rtrnk_bmd,BiB_GrowingUp.dxa_scan_m.rtrnk_bmd,Bone mineral density (g/cm2) of right trunk,decimal,,,
rtot_bmd,BiB_GrowingUp.dxa_scan_m.rtot_bmd,Bone mineral density (g/cm2) of right total,decimal,,,
head_bmc,BiB_GrowingUp.dxa_scan_m.head_bmc,Bone mineral content (g) of head,decimal,,,
arms_bmc,BiB_GrowingUp.dxa_scan_m.arms_bmc,Bone mineral content (g) of arms,decimal,,,
legs_bmc,BiB_GrowingUp.dxa_scan_m.legs_bmc,Bone mineral content (g) of legs,decimal,,,
trnk_bmc,BiB_GrowingUp.dxa_scan_m.trnk_bmc,Bone mineral content (g) of trunk,decimal,,,
ribs_bmc,BiB_GrowingUp.dxa_scan_m.ribs_bmc,Bone mineral content (g) of ribs,decimal,,,
pelv_bmc,BiB_GrowingUp.dxa_scan_m.pelv_bmc,Bone mineral content (g) of pelvis,decimal,,,
spin_bmc,BiB_GrowingUp.dxa_scan_m.spin_bmc,Bone mineral content (g) of spine,decimal,,,
totl_bmc,BiB_GrowingUp.dxa_scan_m.totl_bmc,Bone mineral content (g) - total,decimal,,,
and_bmc,BiB_GrowingUp.dxa_scan_m.and_bmc,Bone mineral content (g) of android,decimal,,,
gyn_bmc,BiB_GrowingUp.dxa_scan_m.gyn_bmc,Bone mineral content (g) of gynoid,decimal,,,
anvis_bmc,BiB_GrowingUp.dxa_scan_m.anvis_bmc,Bone mineral content (g) of android visceral,decimal,,,
larm_bmc,BiB_GrowingUp.dxa_scan_m.larm_bmc,Bone mineral content (g) of left arm,decimal,,,
lleg_bmc,BiB_GrowingUp.dxa_scan_m.lleg_bmc,Bone mineral content (g) of left leg,decimal,,,
ltrnk_bmc,BiB_GrowingUp.dxa_scan_m.ltrnk_bmc,Bone mineral content (g) of left trunk,decimal,,,
ltot_bmc,BiB_GrowingUp.dxa_scan_m.ltot_bmc,Bone mineral content (g) of left total,decimal,,,
rarm_bmc,BiB_GrowingUp.dxa_scan_m.rarm_bmc,Bone mineral content (g) of right arm,decimal,,,
rleg_bmc,BiB_GrowingUp.dxa_scan_m.rleg_bmc,Bone mineral content (g) of right leg,decimal,,,
