variable,full_name,label,value_type,description,categories,categories_label
BiBPregNumber,BiB_MeDALL.medall_greenspace.BiBPregNumber,,decimal,,,
has_medall_greenspace,BiB_MeDALL.medall_greenspace.has_medall_greenspace,Has medall green space questionnaire,decimal,,,
grnsp_atnursery,BiB_MeDALL.medall_greenspace.grnsp_atnursery,Does child go to nursery or child-minder?,decimal,,1|2,No|Yes
grnsp_atschool,BiB_MeDALL.medall_greenspace.grnsp_atschool,Does child attend school?,decimal,,1|2,No|Yes
grnsp_daysnursery,BiB_MeDALL.medall_greenspace.grnsp_daysnursery,number days spent at nursery,decimal,,,
grnsp_gardenhome,BiB_MeDALL.medall_greenspace.grnsp_gardenhome,is there a garden or yard at home,decimal,,,
grnsp_hrsnursery,BiB_MeDALL.medall_greenspace.grnsp_hrsnursery,number hours per day spent at nursery,decimal,,,
grnsp_nurserygreen,BiB_MeDALL.medall_greenspace.grnsp_nurserygreen,is there a green garden or yard at nursery?,decimal,,1|2,No|Yes
grnsp_questnotes,BiB_MeDALL.medall_greenspace.grnsp_questnotes,NOTES,text,,,
grnsp_schoolname,BiB_MeDALL.medall_greenspace.grnsp_schoolname,Name of school,text,,,
grnsp_summdaysweek,BiB_MeDALL.medall_greenspace.grnsp_summdaysweek,average week days per week spent in park in summer,decimal,,,
grnsp_summdayswend,BiB_MeDALL.medall_greenspace.grnsp_summdayswend,average weekend days per week spent in park in summer,decimal,,,
grnsp_summerfreqdays,BiB_MeDALL.medall_greenspace.grnsp_summerfreqdays,"if less than once a week, number of days in green space per week in summer",decimal,,,
grnsp_summerfreqmins,BiB_MeDALL.medall_greenspace.grnsp_summerfreqmins,"if less than once a week, number of minutes in green space per day in summer",decimal,,,
grnsp_summerpark1adrss,BiB_MeDALL.medall_greenspace.grnsp_summerpark1adrss,address of summer park 1,text,,,
grnsp_summerpark1name,BiB_MeDALL.medall_greenspace.grnsp_summerpark1name,name of summer park 1,text,,,
grnsp_summerpark1urbrur,BiB_MeDALL.medall_greenspace.grnsp_summerpark1urbrur,is summer park 1 urban or rural,decimal,,,
grnsp_summerpark1use,BiB_MeDALL.medall_greenspace.grnsp_summerpark1use,summer park 1 used mainly weekday or weekend,decimal,,,
grnsp_summerpark2adrss,BiB_MeDALL.medall_greenspace.grnsp_summerpark2adrss,address of summer park 2,text,,,
grnsp_summerpark2name,BiB_MeDALL.medall_greenspace.grnsp_summerpark2name,name of summer park 2,text,,,
grnsp_summerpark2urbrur,BiB_MeDALL.medall_greenspace.grnsp_summerpark2urbrur,is summer park 2 urban or rural,decimal,,,
grnsp_summerpark2use,BiB_MeDALL.medall_greenspace.grnsp_summerpark2use,summer park 2 used mainly weekday or weekend,decimal,,,
grnsp_summgardweekdays,BiB_MeDALL.medall_greenspace.grnsp_summgardweekdays,average days during weekdays in garden in summer,decimal,,,
grnsp_summgardweekmins,BiB_MeDALL.medall_greenspace.grnsp_summgardweekmins,average mins per day during weekdays in garden in summer,decimal,,,
grnsp_summgardwenddays,BiB_MeDALL.medall_greenspace.grnsp_summgardwenddays,average days per weekend in garden in summer,decimal,,,
grnsp_summgardwendmins,BiB_MeDALL.medall_greenspace.grnsp_summgardwendmins,average mins per day during weekend in garden in summer,decimal,,,
grnsp_summminsweek,BiB_MeDALL.medall_greenspace.grnsp_summminsweek,average minutes per day on weekdays in summer,decimal,,,
grnsp_summminswend,BiB_MeDALL.medall_greenspace.grnsp_summminswend,average minutes per day on weekends in summer,decimal,,,
grnsp_wintdardlessdays,BiB_MeDALL.medall_greenspace.grnsp_wintdardlessdays,"if less than once a week, days per month in winter",decimal,,,
