variable,full_name,label,value_type,description,categories,categories_label
has_medall_ngst,BiB_MeDALL.medall_ngst.has_medall_ngst,Has medall neighbourhood green space tool,decimal,,,
PregnancyID,BiB_MeDALL.medall_ngst.PregnancyID,BiB Pregnancy ID,text,,,
FatherID,BiB_MeDALL.medall_ngst.FatherID,BiB Father ID,decimal,,,
agemm_mdngst,BiB_MeDALL.medall_ngst.agemm_mdngst,Mother age (months): MeDALL Neighbourhood Green Space Tool,decimal,,,
agemy_mdngst,BiB_MeDALL.medall_ngst.agemy_mdngst,Mother age (years): MeDALL Neighbourhood Green Space Tool,decimal,,,
has_mdngst,BiB_MeDALL.medall_ngst.has_mdngst,Has: MeDALL Neighbourhood Green Space Tool,decimal,,1,has
ngst_alcoholIN2a,BiB_MeDALL.medall_ngst.ngst_alcoholIN2a,evidence of alcohol use,decimal,,1|2,Absent|Present
ngst_alcohollevelIN2b,BiB_MeDALL.medall_ngst.ngst_alcohollevelIN2b,level of evidence of alcohol use,decimal,,1|2|3,Hardly noticeable|Noticeable|Very noticeable
ngst_attractNN4,BiB_MeDALL.medall_ngst.ngst_attractNN4,presence of public attraction,decimal,,1|2,Absent|Present
ngst_bbqAM8a,BiB_MeDALL.medall_ngst.ngst_bbqAM8a,presence of bbq,decimal,,1|2,Absent|Present
ngst_binsAM2a,BiB_MeDALL.medall_ngst.ngst_binsAM2a,presence of bins,decimal,,1|2,Absent|Present
ngst_binsqualAM2b,BiB_MeDALL.medall_ngst.ngst_binsqualAM2b,quality of bins,decimal,,1|2|3,Poor|Adequate|Good
ngst_cafeAM5a,BiB_MeDALL.medall_ngst.ngst_cafeAM5a,presence of cafe,decimal,,1|2,Absent|Present
ngst_cafequalAM5b,BiB_MeDALL.medall_ngst.ngst_cafequalAM5b,quality of cafe,decimal,,1|2|3,Poor|Adequate|Good
ngst_canalNA2d,BiB_MeDALL.medall_ngst.ngst_canalNA2d,presence of canal,decimal,,1|2,Absent|Present
ngst_childUS4a,BiB_MeDALL.medall_ngst.ngst_childUS4a,suitable for children's play dichotomous,decimal,,1|2,Not useful|Somewhat to very useful
ngst_childUS4b,BiB_MeDALL.medall_ngst.ngst_childUS4b,suitable for children's play,decimal,,1|2|3|4,Not useful|Somewhat useful|Useful|Very useful
ngst_conseUS5a,BiB_MeDALL.medall_ngst.ngst_conseUS5a,suitable for conservation or biodiversity dichotomous,decimal,,1|2,Not useful|Somewhat to very useful
ngst_conseUS5b,BiB_MeDALL.medall_ngst.ngst_conseUS5b,suitable for conservatio or biodiversity,decimal,,1|2|3|4,Not useful|Somewhat useful|Useful|Very useful
ngst_courtqualR3b,BiB_MeDALL.medall_ngst.ngst_courtqualR3b,quality of courts,decimal,,1|2|3,Poor|Adequate|Good
ngst_courtR3a,BiB_MeDALL.medall_ngst.ngst_courtR3a,presence of courts,decimal,,1|2,Absent|Present
ngst_cparkAC7a,BiB_MeDALL.medall_ngst.ngst_cparkAC7a,presence of car park,decimal,,1|2,Absent|Present
ngst_cparkqualAC7b,BiB_MeDALL.medall_ngst.ngst_cparkqualAC7b,car park quality,decimal,,1|2|3,Poor|Adequate|Good
ngst_cycliUS9a,BiB_MeDALL.medall_ngst.ngst_cycliUS9a,suitable for cycling dichotomous,decimal,,1|2,Not useful|Somewhat to very useful
ngst_cycliUS9b,BiB_MeDALL.medall_ngst.ngst_cycliUS9b,suitable for cycling,decimal,,1|2|3|4,Not useful|Somewhat useful|Useful|Very useful
ngst_dbinAM3a,BiB_MeDALL.medall_ngst.ngst_dbinAM3a,presence of dog mess bins,decimal,,1|2,Absent|Present
ngst_dbinqualAM3b,BiB_MeDALL.medall_ngst.ngst_dbinqualAM3b,quality of dog mess bins,decimal,,1|2|3,Poor|Adequate|Good
ngst_dogmeIN7a,BiB_MeDALL.medall_ngst.ngst_dogmeIN7a,presence of dog mess,decimal,,1|2,Absent|Present
ngst_dogmeIN7b,BiB_MeDALL.medall_ngst.ngst_dogmeIN7b,level of dog mess,decimal,,1|2|3,Hardly noticeable|Noticeable|Very noticeable
ngst_drinkAM10,BiB_MeDALL.medall_ngst.ngst_drinkAM10,presence of drinking fountains,decimal,,1|2,Absent|Present
ngst_drugsIN3a,BiB_MeDALL.medall_ngst.ngst_drugsIN3a,evidence of drug use,decimal,,1|2,Absent|Present
ngst_drugslevelIN3b,BiB_MeDALL.medall_ngst.ngst_drugslevelIN3b,level of evidence of drug use,decimal,,1|2|3,Hardly noticeable|Noticeable|Very noticeable
ngst_entrAC1,BiB_MeDALL.medall_ngst.ngst_entrAC1,number of entrance points,decimal,,1|2|3,1-3|4-7|8+
ngst_fishiUS11a,BiB_MeDALL.medall_ngst.ngst_fishiUS11a,suitable for fishing dichotomous,decimal,,1|2,Not useful|Somewhat to very useful
ngst_fishiUS11b,BiB_MeDALL.medall_ngst.ngst_fishiUS11b,suitable for fishing,decimal,,1|2|3|4,Not useful|Somewhat useful|Useful|Very useful
ngst_fitfacqualR5b,BiB_MeDALL.medall_ngst.ngst_fitfacqualR5b,quality of fitness facilities,decimal,,1|2|3,Poor|Adequate|Good
ngst_fitfacR5a,BiB_MeDALL.medall_ngst.ngst_fitfacR5a,presence of fitness facilities,decimal,,1|2,Absent|Present
ngst_flowerNA7a,BiB_MeDALL.medall_ngst.ngst_flowerNA7a,presence of flowers,decimal,,1|2,Absent|Present
ngst_flowerqualNA7b,BiB_MeDALL.medall_ngst.ngst_flowerqualNA7b,quality of flowers,decimal,,1|2|3,Poor|Adequate|Good
ngst_fountainNN1,BiB_MeDALL.medall_ngst.ngst_fountainNN1,presence of water fountain,decimal,,1|2,Absent|Present
ngst_glassIN5a,BiB_MeDALL.medall_ngst.ngst_glassIN5a,presence of broken glass,decimal,,1|2,Absent|Present
ngst_glasslevelIN5b,BiB_MeDALL.medall_ngst.ngst_glasslevelIN5b,level of broken glass,decimal,,1|2|3,Hardly noticeable|Noticeable|Very noticeable
ngst_gpitchqualR2b,BiB_MeDALL.medall_ngst.ngst_gpitchqualR2b,quality of grass pitch,decimal,,1|2|3,Poor|Adequate|Good
ngst_gpitchR2a,BiB_MeDALL.medall_ngst.ngst_gpitchR2a,presence of grass pitch,decimal,,1|2,Absent|Present
