variable,full_name,label,value_type,description,categories,categories_label
has_metms_pairc_r,BiB_Metabolomics.metms_pairc_r.has_metms_pairc_r,Has ms metabolomics paired child samples raw,decimal,,,
BiBMotherID,BiB_Metabolomics.metms_pairc_r.BiBMotherID,BiB person identifier of child's mother,text,,,
metmsr52740,BiB_Metabolomics.metms_pairc_r.metmsr52740,(3'-5')-adenylyluridine [raw],decimal,,,
metmsr52746,BiB_Metabolomics.metms_pairc_r.metmsr52746,(3'-5')-guanylylcytidine [raw],decimal,,,
metmsr52743,BiB_Metabolomics.metms_pairc_r.metmsr52743,(3'-5')-guanylyluridine [raw],decimal,,,
metmsr57814,BiB_Metabolomics.metms_pairc_r.metmsr57814,(N(1) + N(8))-acetylspermidine [raw],decimal,,,
metmsr48762,BiB_Metabolomics.metms_pairc_r.metmsr48762,"1,2,3-benzenetriol sulfate (2) [raw]",decimal,,,
metmsr52603,BiB_Metabolomics.metms_pairc_r.metmsr52603,"1,2-dilinoleoyl-GPC (18:2/18:2) [raw]",decimal,,,
metmsr53174,BiB_Metabolomics.metms_pairc_r.metmsr53174,"1,2-dilinoleoyl-GPE (18:2/18:2)* [raw]",decimal,,,
metmsr19130,BiB_Metabolomics.metms_pairc_r.metmsr19130,"1,2-dipalmitoyl-GPC (16:0/16:0) [raw]",decimal,,,
metmsr57341,BiB_Metabolomics.metms_pairc_r.metmsr57341,"1,2-dipalmitoyl-GPE (16:0/16:0)* [raw]",decimal,,,
metmsr34404,BiB_Metabolomics.metms_pairc_r.metmsr34404,"1,3,7-trimethylurate [raw]",decimal,,,
metmsr32391,BiB_Metabolomics.metms_pairc_r.metmsr32391,"1,3-dimethylurate [raw]",decimal,,,
metmsr20675,BiB_Metabolomics.metms_pairc_r.metmsr20675,"1,5-anhydroglucitol (1,5-AG) [raw]",decimal,,,
metmsr34400,BiB_Metabolomics.metms_pairc_r.metmsr34400,"1,7-dimethylurate [raw]",decimal,,,
metmsr44621,BiB_Metabolomics.metms_pairc_r.metmsr44621,1-(1-enyl-oleoyl)-GPE (P-18:1)* [raw],decimal,,,
metmsr52689,BiB_Metabolomics.metms_pairc_r.metmsr52689,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)* [raw],decimal,,,
metmsr52673,BiB_Metabolomics.metms_pairc_r.metmsr52673,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)* [raw],decimal,,,
metmsr52682,BiB_Metabolomics.metms_pairc_r.metmsr52682,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)* [raw],decimal,,,
metmsr52677,BiB_Metabolomics.metms_pairc_r.metmsr52677,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)* [raw],decimal,,,
metmsr52478,BiB_Metabolomics.metms_pairc_r.metmsr52478,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)* [raw],decimal,,,
metmsr52477,BiB_Metabolomics.metms_pairc_r.metmsr52477,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)* [raw],decimal,,,
metmsr52713,BiB_Metabolomics.metms_pairc_r.metmsr52713,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)* [raw],decimal,,,
metmsr52716,BiB_Metabolomics.metms_pairc_r.metmsr52716,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)* [raw],decimal,,,
metmsr52474,BiB_Metabolomics.metms_pairc_r.metmsr52474,1-(1-enyl-palmitoyl)-GPC (P-16:0)* [raw],decimal,,,
metmsr39270,BiB_Metabolomics.metms_pairc_r.metmsr39270,1-(1-enyl-palmitoyl)-GPE (P-16:0)* [raw],decimal,,,
metmsr52475,BiB_Metabolomics.metms_pairc_r.metmsr52475,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)* [raw],decimal,,,
metmsr52748,BiB_Metabolomics.metms_pairc_r.metmsr52748,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)* [raw],decimal,,,
metmsr52614,BiB_Metabolomics.metms_pairc_r.metmsr52614,1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1) [raw],decimal,,,
metmsr39271,BiB_Metabolomics.metms_pairc_r.metmsr39271,1-(1-enyl-stearoyl)-GPE (P-18:0)* [raw],decimal,,,
metmsr46325,BiB_Metabolomics.metms_pairc_r.metmsr46325,1-arachidonoyl-GPA (20:4) [raw],decimal,,,
metmsr33228,BiB_Metabolomics.metms_pairc_r.metmsr33228,1-arachidonoyl-GPC (20:4n6)* [raw],decimal,,,
metmsr35186,BiB_Metabolomics.metms_pairc_r.metmsr35186,1-arachidonoyl-GPE (20:4n6)* [raw],decimal,,,
