variable,full_name,label,value_type,description,categories,categories_label
BiBPregNumber,BiB_Metabolomics.metms_pairm_r.BiBPregNumber,,decimal,,,
has_metms_pairm_r,BiB_Metabolomics.metms_pairm_r.has_metms_pairm_r,Has ms metabolomics paired mother samples raw,decimal,,,
metmsr42370,BiB_Metabolomics.metms_pairm_r.metmsr42370,S-1-pyrroline-5-carboxylate [raw],decimal,,,
metmsr485,BiB_Metabolomics.metms_pairm_r.metmsr485,spermidine [raw],decimal,,,
metmsr27665,BiB_Metabolomics.metms_pairm_r.metmsr27665,1-methylnicotinamide [raw],decimal,,,
metmsr528,BiB_Metabolomics.metms_pairm_r.metmsr528,alpha-ketoglutarate [raw],decimal,,,
metmsr1417,BiB_Metabolomics.metms_pairm_r.metmsr1417,kynurenate [raw],decimal,,,
metmsr1549,BiB_Metabolomics.metms_pairm_r.metmsr1549,3-hydroxyisobutyrate [raw],decimal,,,
metmsr531,BiB_Metabolomics.metms_pairm_r.metmsr531,3-hydroxy-3-methylglutarate [raw],decimal,,,
metmsr1101,BiB_Metabolomics.metms_pairm_r.metmsr1101,homovanillate (HVA) [raw],decimal,,,
metmsr1414,BiB_Metabolomics.metms_pairm_r.metmsr1414,3-phosphoglycerate [raw],decimal,,,
metmsr22842,BiB_Metabolomics.metms_pairm_r.metmsr22842,cholate [raw],decimal,,,
metmsr541,BiB_Metabolomics.metms_pairm_r.metmsr541,4-hydroxyphenylacetate [raw],decimal,,,
metmsr1418,BiB_Metabolomics.metms_pairm_r.metmsr1418,"5,6-dihydrothymine [raw]",decimal,,,
metmsr3127,BiB_Metabolomics.metms_pairm_r.metmsr3127,hypoxanthine [raw],decimal,,,
metmsr1105,BiB_Metabolomics.metms_pairm_r.metmsr1105,linoleate (18:2n6) [raw],decimal,,,
metmsr1645,BiB_Metabolomics.metms_pairm_r.metmsr1645,laurate (12:0) [raw],decimal,,,
metmsr1899,BiB_Metabolomics.metms_pairm_r.metmsr1899,quinolinate [raw],decimal,,,
metmsr1498,BiB_Metabolomics.metms_pairm_r.metmsr1498,"N6,N6,N6-trimethyllysine [raw]",decimal,,,
metmsr37496,BiB_Metabolomics.metms_pairm_r.metmsr37496,N-acetylputrescine [raw],decimal,,,
metmsr2829,BiB_Metabolomics.metms_pairm_r.metmsr2829,N-formylmethionine [raw],decimal,,,
metmsr42382,BiB_Metabolomics.metms_pairm_r.metmsr42382,S-adenosylhomocysteine (SAH) [raw],decimal,,,
metmsr32342,BiB_Metabolomics.metms_pairm_r.metmsr32342,adenosine 5'-monophosphate (AMP) [raw],decimal,,,
metmsr1419,BiB_Metabolomics.metms_pairm_r.metmsr1419,5-methylthioadenosine (MTA) [raw],decimal,,,
metmsr1110,BiB_Metabolomics.metms_pairm_r.metmsr1110,arachidonate (20:4n6) [raw],decimal,,,
metmsr1638,BiB_Metabolomics.metms_pairm_r.metmsr1638,arginine [raw],decimal,,,
metmsr443,BiB_Metabolomics.metms_pairm_r.metmsr443,aspartate [raw],decimal,,,
metmsr1432,BiB_Metabolomics.metms_pairm_r.metmsr1432,2-hydroxyphenylacetate [raw],decimal,,,
metmsr32197,BiB_Metabolomics.metms_pairm_r.metmsr32197,3-(4-hydroxyphenyl)lactate [raw],decimal,,,
metmsr566,BiB_Metabolomics.metms_pairm_r.metmsr566,phenylpyruvate [raw],decimal,,,
metmsr55,BiB_Metabolomics.metms_pairm_r.metmsr55,beta-alanine [raw],decimal,,,
metmsr1768,BiB_Metabolomics.metms_pairm_r.metmsr1768,carnosine [raw],decimal,,,
metmsr2137,BiB_Metabolomics.metms_pairm_r.metmsr2137,biliverdin [raw],decimal,,,
metmsr1437,BiB_Metabolomics.metms_pairm_r.metmsr1437,succinate [raw],decimal,,,
metmsr542,BiB_Metabolomics.metms_pairm_r.metmsr542,3-hydroxybutyrate (BHBA) [raw],decimal,,,
metmsr63,BiB_Metabolomics.metms_pairm_r.metmsr63,cholesterol [raw],decimal,,,
metmsr34396,BiB_Metabolomics.metms_pairm_r.metmsr34396,choline phosphate [raw],decimal,,,
metmsr5983,BiB_Metabolomics.metms_pairm_r.metmsr5983,corticosterone [raw],decimal,,,
metmsr1769,BiB_Metabolomics.metms_pairm_r.metmsr1769,cortisone [raw],decimal,,,
metmsr513,BiB_Metabolomics.metms_pairm_r.metmsr513,creatinine [raw],decimal,,,
metmsr35637,BiB_Metabolomics.metms_pairm_r.metmsr35637,cysteinylglycine [raw],decimal,,,
metmsr56,BiB_Metabolomics.metms_pairm_r.metmsr56,cystine [raw],decimal,,,
metmsr17747,BiB_Metabolomics.metms_pairm_r.metmsr17747,sphingosine [raw],decimal,,,
metmsr15705,BiB_Metabolomics.metms_pairm_r.metmsr15705,cystathionine [raw],decimal,,,
metmsr17769,BiB_Metabolomics.metms_pairm_r.metmsr17769,sphinganine [raw],decimal,,,
metmsr2134,BiB_Metabolomics.metms_pairm_r.metmsr2134,flavin adenine dinucleotide (FAD) [raw],decimal,,,
metmsr1643,BiB_Metabolomics.metms_pairm_r.metmsr1643,fumarate [raw],decimal,,,
metmsr36738,BiB_Metabolomics.metms_pairm_r.metmsr36738,gamma-glutamylglutamate [raw],decimal,,,
metmsr587,BiB_Metabolomics.metms_pairm_r.metmsr587,gluconate [raw],decimal,,,
metmsr396,BiB_Metabolomics.metms_pairm_r.metmsr396,glutarate (C5-DC) [raw],decimal,,,
metmsr58,BiB_Metabolomics.metms_pairm_r.metmsr58,glycine [raw],decimal,,,
metmsr18476,BiB_Metabolomics.metms_pairm_r.metmsr18476,glycocholate [raw],decimal,,,
metmsr43802,BiB_Metabolomics.metms_pairm_r.metmsr43802,guanidinoacetate [raw],decimal,,,
metmsr59,BiB_Metabolomics.metms_pairm_r.metmsr59,histidine [raw],decimal,,,
metmsr1712,BiB_Metabolomics.metms_pairm_r.metmsr1712,cortisol [raw],decimal,,,
metmsr590,BiB_Metabolomics.metms_pairm_r.metmsr590,hypotaurine [raw],decimal,,,
metmsr1123,BiB_Metabolomics.metms_pairm_r.metmsr1123,inosine [raw],decimal,,,
metmsr2133,BiB_Metabolomics.metms_pairm_r.metmsr2133,inosine 5'-monophosphate (IMP) [raw],decimal,,,
metmsr1124,BiB_Metabolomics.metms_pairm_r.metmsr1124,myo-inositol [raw],decimal,,,
metmsr1125,BiB_Metabolomics.metms_pairm_r.metmsr1125,isoleucine [raw],decimal,,,
metmsr2132,BiB_Metabolomics.metms_pairm_r.metmsr2132,citrulline [raw],decimal,,,
metmsr567,BiB_Metabolomics.metms_pairm_r.metmsr567,lactose [raw],decimal,,,
metmsr60,BiB_Metabolomics.metms_pairm_r.metmsr60,leucine [raw],decimal,,,
metmsr1301,BiB_Metabolomics.metms_pairm_r.metmsr1301,lysine [raw],decimal,,,
metmsr1303,BiB_Metabolomics.metms_pairm_r.metmsr1303,malate [raw],decimal,,,
metmsr1302,BiB_Metabolomics.metms_pairm_r.metmsr1302,methionine [raw],decimal,,,
metmsr1496,BiB_Metabolomics.metms_pairm_r.metmsr1496,methylmalonate (MMA) [raw],decimal,,,
metmsr1336,BiB_Metabolomics.metms_pairm_r.metmsr1336,palmitate (16:0) [raw],decimal,,,
metmsr594,BiB_Metabolomics.metms_pairm_r.metmsr594,nicotinamide [raw],decimal,,,
metmsr1358,BiB_Metabolomics.metms_pairm_r.metmsr1358,stearate (18:0) [raw],decimal,,,
metmsr1493,BiB_Metabolomics.metms_pairm_r.metmsr1493,ornithine [raw],decimal,,,
metmsr1505,BiB_Metabolomics.metms_pairm_r.metmsr1505,orotate [raw],decimal,,,
metmsr33447,BiB_Metabolomics.metms_pairm_r.metmsr33447,palmitoleate (16:1n7) [raw],decimal,,,
metmsr64,BiB_Metabolomics.metms_pairm_r.metmsr64,phenylalanine [raw],decimal,,,
metmsr42109,BiB_Metabolomics.metms_pairm_r.metmsr42109,phosphate [raw],decimal,,,
metmsr598,BiB_Metabolomics.metms_pairm_r.metmsr598,phytanate [raw],decimal,,,
metmsr38271,BiB_Metabolomics.metms_pairm_r.metmsr38271,pristanate [raw],decimal,,,
metmsr1898,BiB_Metabolomics.metms_pairm_r.metmsr1898,proline [raw],decimal,,,
metmsr527,BiB_Metabolomics.metms_pairm_r.metmsr527,lactate [raw],decimal,,,
metmsr1651,BiB_Metabolomics.metms_pairm_r.metmsr1651,pyridoxal [raw],decimal,,,
metmsr1806,BiB_Metabolomics.metms_pairm_r.metmsr1806,retinol (Vitamin A) [raw],decimal,,,
metmsr1515,BiB_Metabolomics.metms_pairm_r.metmsr1515,salicylate [raw],decimal,,,
metmsr1648,BiB_Metabolomics.metms_pairm_r.metmsr1648,serine [raw],decimal,,,
metmsr2342,BiB_Metabolomics.metms_pairm_r.metmsr2342,serotonin [raw],decimal,,,
metmsr603,BiB_Metabolomics.metms_pairm_r.metmsr603,spermine [raw],decimal,,,
metmsr2125,BiB_Metabolomics.metms_pairm_r.metmsr2125,taurine [raw],decimal,,,
metmsr1365,BiB_Metabolomics.metms_pairm_r.metmsr1365,myristate (14:0) [raw],decimal,,,
metmsr1670,BiB_Metabolomics.metms_pairm_r.metmsr1670,urea [raw],decimal,,,
metmsr606,BiB_Metabolomics.metms_pairm_r.metmsr606,uridine [raw],decimal,,,
metmsr1412,BiB_Metabolomics.metms_pairm_r.metmsr1412,2'-deoxyuridine [raw],decimal,,,
metmsr607,BiB_Metabolomics.metms_pairm_r.metmsr607,trans-urocanate [raw],decimal,,,
metmsr57,BiB_Metabolomics.metms_pairm_r.metmsr57,glutamate [raw],decimal,,,
metmsr53,BiB_Metabolomics.metms_pairm_r.metmsr53,glutamine [raw],decimal,,,
metmsr1284,BiB_Metabolomics.metms_pairm_r.metmsr1284,threonine [raw],decimal,,,
metmsr54,BiB_Metabolomics.metms_pairm_r.metmsr54,tryptophan [raw],decimal,,,
metmsr1649,BiB_Metabolomics.metms_pairm_r.metmsr1649,valine [raw],decimal,,,
metmsr48152,BiB_Metabolomics.metms_pairm_r.metmsr48152,glucose [raw],decimal,,,
metmsr4968,BiB_Metabolomics.metms_pairm_r.metmsr4968,alpha-ketobutyrate [raw],decimal,,,
metmsr3141,BiB_Metabolomics.metms_pairm_r.metmsr3141,betaine [raw],decimal,,,
metmsr1868,BiB_Metabolomics.metms_pairm_r.metmsr1868,cysteine [raw],decimal,,,
metmsr48153,BiB_Metabolomics.metms_pairm_r.metmsr48153,mannose [raw],decimal,,,
metmsr5086,BiB_Metabolomics.metms_pairm_r.metmsr5086,dimethylglycine [raw],decimal,,,
metmsr1126,BiB_Metabolomics.metms_pairm_r.metmsr1126,alanine [raw],decimal,,,
metmsr1299,BiB_Metabolomics.metms_pairm_r.metmsr1299,tyrosine [raw],decimal,,,
metmsr33442,BiB_Metabolomics.metms_pairm_r.metmsr33442,pseudouridine [raw],decimal,,,
metmsr48990,BiB_Metabolomics.metms_pairm_r.metmsr48990,pyruvate [raw],decimal,,,
metmsr605,BiB_Metabolomics.metms_pairm_r.metmsr605,uracil [raw],decimal,,,
metmsr553,BiB_Metabolomics.metms_pairm_r.metmsr553,cotinine [raw],decimal,,,
metmsr569,BiB_Metabolomics.metms_pairm_r.metmsr569,caffeine [raw],decimal,,,
metmsr48195,BiB_Metabolomics.metms_pairm_r.metmsr48195,fructose [raw],decimal,,,
metmsr554,BiB_Metabolomics.metms_pairm_r.metmsr554,adenine [raw],decimal,,,
metmsr1642,BiB_Metabolomics.metms_pairm_r.metmsr1642,caprate (10:0) [raw],decimal,,,
metmsr1121,BiB_Metabolomics.metms_pairm_r.metmsr1121,margarate (17:0) [raw],decimal,,,
metmsr1356,BiB_Metabolomics.metms_pairm_r.metmsr1356,nonadecanoate (19:0) [raw],decimal,,,
metmsr512,BiB_Metabolomics.metms_pairm_r.metmsr512,asparagine [raw],decimal,,,
metmsr601,BiB_Metabolomics.metms_pairm_r.metmsr601,dihydroorotate [raw],decimal,,,
metmsr1644,BiB_Metabolomics.metms_pairm_r.metmsr1644,heptanoate (7:0) [raw],decimal,,,
