variable,full_name,label,value_type,description,categories,categories_label
BiBPregNumber,BiB_Metabolomics.metms_pairm_s.BiBPregNumber,,decimal,,,
has_metms_pairm_s,BiB_Metabolomics.metms_pairm_s.has_metms_pairm_s,Has ms metabolomics paired mother samples scaled,decimal,,,
metmss42370,BiB_Metabolomics.metms_pairm_s.metmss42370,S-1-pyrroline-5-carboxylate [scaled],decimal,,,
metmss485,BiB_Metabolomics.metms_pairm_s.metmss485,spermidine [scaled],decimal,,,
metmss27665,BiB_Metabolomics.metms_pairm_s.metmss27665,1-methylnicotinamide [scaled],decimal,,,
metmss528,BiB_Metabolomics.metms_pairm_s.metmss528,alpha-ketoglutarate [scaled],decimal,,,
metmss1417,BiB_Metabolomics.metms_pairm_s.metmss1417,kynurenate [scaled],decimal,,,
metmss1549,BiB_Metabolomics.metms_pairm_s.metmss1549,3-hydroxyisobutyrate [scaled],decimal,,,
metmss531,BiB_Metabolomics.metms_pairm_s.metmss531,3-hydroxy-3-methylglutarate [scaled],decimal,,,
metmss1101,BiB_Metabolomics.metms_pairm_s.metmss1101,homovanillate (HVA) [scaled],decimal,,,
metmss1414,BiB_Metabolomics.metms_pairm_s.metmss1414,3-phosphoglycerate [scaled],decimal,,,
metmss22842,BiB_Metabolomics.metms_pairm_s.metmss22842,cholate [scaled],decimal,,,
metmss541,BiB_Metabolomics.metms_pairm_s.metmss541,4-hydroxyphenylacetate [scaled],decimal,,,
metmss1418,BiB_Metabolomics.metms_pairm_s.metmss1418,"5,6-dihydrothymine [scaled]",decimal,,,
metmss3127,BiB_Metabolomics.metms_pairm_s.metmss3127,hypoxanthine [scaled],decimal,,,
metmss1105,BiB_Metabolomics.metms_pairm_s.metmss1105,linoleate (18:2n6) [scaled],decimal,,,
metmss1645,BiB_Metabolomics.metms_pairm_s.metmss1645,laurate (12:0) [scaled],decimal,,,
metmss1899,BiB_Metabolomics.metms_pairm_s.metmss1899,quinolinate [scaled],decimal,,,
metmss1498,BiB_Metabolomics.metms_pairm_s.metmss1498,"N6,N6,N6-trimethyllysine [scaled]",decimal,,,
metmss37496,BiB_Metabolomics.metms_pairm_s.metmss37496,N-acetylputrescine [scaled],decimal,,,
