variable,full_name,label,value_type,description,categories,categories_label
BiBPregNumber,BiB_Metabolomics.metnmr_mother_d.BiBPregNumber,,decimal,,,
has_metnmr_mother,BiB_Metabolomics.metnmr_mother_d.has_metnmr_mother,Has NMR metabolomics (mother),decimal,,,
metabolsampgestage,BiB_Metabolomics.metnmr_mother_d.metabolsampgestage,NMR metabolomics gestational age sample taken,decimal,,,
metabolbibsampleid,BiB_Metabolomics.metnmr_mother_d.metabolbibsampleid,NMR metabolomics sample ID,decimal,,,
box_id,BiB_Metabolomics.metnmr_mother_d.box_id,NMR metabolomics sample box number,text,,,
sample_type,BiB_Metabolomics.metnmr_mother_d.sample_type,Sample type for NMR metabolomics,text,,,
nmr_spectrometer,BiB_Metabolomics.metnmr_mother_d.nmr_spectrometer,NMR metabolomics spectrometer,text,,,
sample_prep_date,BiB_Metabolomics.metnmr_mother_d.sample_prep_date,NMR metabolomics sample preparation date and time,text,,,
buffer_id,BiB_Metabolomics.metnmr_mother_d.buffer_id,NMR metabolomics buffer ID,decimal,,,
lipo_lmwm_repeats,BiB_Metabolomics.metnmr_mother_d.lipo_lmwm_repeats,"No. of repeats of LIPO, LMWM",decimal,,,
linewidth,BiB_Metabolomics.metnmr_mother_d.linewidth,ControlB TMSP LMWM Linewidth at half height (0.3Hz line broadening),decimal,,,
qc_pass,BiB_Metabolomics.metnmr_mother_d.qc_pass,QC pass - assume passed unless otherwise stated,text,,,
qc_comment,BiB_Metabolomics.metnmr_mother_d.qc_comment,QC comment,text,,,
tag_low_glucose,BiB_Metabolomics.metnmr_mother_d.tag_low_glucose,QC tag: low glucose,decimal,,,
tag_high_pyruvate,BiB_Metabolomics.metnmr_mother_d.tag_high_pyruvate,QC tag: high pyruvate,decimal,,,
tag_high_lactate,BiB_Metabolomics.metnmr_mother_d.tag_high_lactate,QC tag: high lactate,decimal,,,
tag_low_protein_content,BiB_Metabolomics.metnmr_mother_d.tag_low_protein_content,QC tag: low protein content,decimal,,,
tag_plasma_sample,BiB_Metabolomics.metnmr_mother_d.tag_plasma_sample,QC tag: plamsa sample,decimal,,,
