variable,full_name,label,value_type,description,categories,categories_label
BiBPregNumber,BiB_Pregnancy.matrecs_bib_oedema.BiBPregNumber,Cohort recruited pregnancy number,decimal,,,
has_matrecs_bib_oedema,BiB_Pregnancy.matrecs_bib_oedema.has_matrecs_bib_oedema,Has ,decimal,,,
has_prnoed,BiB_Pregnancy.matrecs_bib_oedema.has_prnoed,Has: Maternal records abstraction: Oedema,decimal,,1,has
prnoedemaankle,BiB_Pregnancy.matrecs_bib_oedema.prnoedemaankle,Oedema in ankle,decimal,,1,Yes
prnoedemaeventtype,BiB_Pregnancy.matrecs_bib_oedema.prnoedemaeventtype,Oedema observation event type,decimal,,1|2,Pregnancy|Labour
prnoedemaface,BiB_Pregnancy.matrecs_bib_oedema.prnoedemaface,Oedema in face,decimal,,1,Yes
prnoedemafeet,BiB_Pregnancy.matrecs_bib_oedema.prnoedemafeet,Oedema in feet,decimal,,1,Yes
prnoedemageneral,BiB_Pregnancy.matrecs_bib_oedema.prnoedemageneral,Generalised oedema,decimal,,1,Yes
prnoedemagestaged,BiB_Pregnancy.matrecs_bib_oedema.prnoedemagestaged,Gestational age in days at oedema observation,decimal,,,
prnoedemagestagew,BiB_Pregnancy.matrecs_bib_oedema.prnoedemagestagew,Gestational age in weeks at oedema observation,decimal,,,
prnoedemahands,BiB_Pregnancy.matrecs_bib_oedema.prnoedemahands,Oedema in hands,decimal,,1,Yes
prnoedemanotdoc,BiB_Pregnancy.matrecs_bib_oedema.prnoedemanotdoc,Oedema type not documented,decimal,,1,Not documented
