variable,full_name,label,value_type,description,categories,categories_label
has_matrecs_bib_preg_p3,BiB_Pregnancy.matrecs_bib_preg_p3.has_matrecs_bib_preg_p3,Has maternity records bib pregnancy,decimal,NA,NA,NA
has_prnprg_p3,BiB_Pregnancy.matrecs_bib_preg_p3.has_prnprg_p3,Has: Pregnancy third trimester weight,decimal,NA,1,has
prnbp3rdtriw_p3,BiB_Pregnancy.matrecs_bib_preg_p3.prnbp3rdtriw_p3,3rd trimester weight,decimal,NA,NA,NA
prnbp3rdtriwdate_p3,BiB_Pregnancy.matrecs_bib_preg_p3.prnbp3rdtriwdate_p3,Date of 3rd trimester weighing,date,NA,NA,NA
prnbp3rdtriwnotdoc_p3,BiB_Pregnancy.matrecs_bib_preg_p3.prnbp3rdtriwnotdoc_p3,3rd trimester weight not documented,decimal,NA,1|2,Documented|Not documented
prnbpamnionoted_p3,BiB_Pregnancy.matrecs_bib_preg_p3.prnbpamnionoted_p3,Amniocentesis noted,decimal,NA,1|2|3,No|Yes|Not documented
prnbpamnioreasons_p3,BiB_Pregnancy.matrecs_bib_preg_p3.prnbpamnioreasons_p3,Amniocentesis reasons,text,NA,NA,NA
prnbpanaemianoted_p3,BiB_Pregnancy.matrecs_bib_preg_p3.prnbpanaemianoted_p3,Anaemia noted,decimal,NA,1|2|3,No|Yes|Not documented
prnbpanaemiaresult_p3,BiB_Pregnancy.matrecs_bib_preg_p3.prnbpanaemiaresult_p3,Anaemia result,decimal,NA,NA,NA
prnbpantibody_p3,BiB_Pregnancy.matrecs_bib_preg_p3.prnbpantibody_p3,Antibodies,text,NA,NA,NA
prnbpbookingdate_p3,BiB_Pregnancy.matrecs_bib_preg_p3.prnbpbookingdate_p3,Date of booking,date,NA,NA,NA
prnbpbplabn_p3,BiB_Pregnancy.matrecs_bib_preg_p3.prnbpbplabn_p3,Number of BP obs in labour,decimal,NA,NA,NA
prnbpbplabtaken_p3,BiB_Pregnancy.matrecs_bib_preg_p3.prnbpbplabtaken_p3,Any BPs recorded in labour,decimal,NA,1|2|3,No|Yes|Not documented
prnbpbppostn_p3,BiB_Pregnancy.matrecs_bib_preg_p3.prnbpbppostn_p3,Number of BPs recorded post partum,decimal,NA,NA,NA
