variable,full_name,label,value_type,description,categories,categories_label
BiBPersonID,BiB_PrimarySchoolYears.child_info_bib.BiBPersonID,"",text,,,
PSYSchoolID,BiB_PrimarySchoolYears.child_info_bib.PSYSchoolID,Primary School Years: School pseudonym,decimal,,,
PSYClassID,BiB_PrimarySchoolYears.child_info_bib.PSYClassID,Primary School Years: Class pseudonym,decimal,,,
YearOfBirth,BiB_PrimarySchoolYears.child_info_bib.YearOfBirth,PSY child year of birth,decimal,,,
AcadTermBirth,BiB_PrimarySchoolYears.child_info_bib.AcadTermBirth,"",decimal,,1|2|3,Autumn|Spring|Summer
MonthOfBirth,BiB_PrimarySchoolYears.child_info_bib.MonthOfBirth,PSY child month of birth,decimal,,,
Gender,BiB_PrimarySchoolYears.child_info_bib.Gender,PSY child gender,decimal,,1|2,Female|Male
ethnicity_text,BiB_PrimarySchoolYears.child_info_bib.ethnicity_text,PSY child ethnicity: original text value,text,,,
ethnicity_5grp,BiB_PrimarySchoolYears.child_info_bib.ethnicity_5grp,PSY child ethnicity: coded to 5 groups,decimal,,1|2|3|4|5|6,white|asian or asian british|black or black british|mixed or multiple groups|other ethnic group|unknown
ethnicity_census,BiB_PrimarySchoolYears.child_info_bib.ethnicity_census,PSY child ethnicity: coded to census groups,decimal,,1|10|11|12|13|14|15|16|17|18|19|2|3|4|5|6|7|8|9,white : british|black or black british : african|black or black british : caribbean|black or black british : other black|mixed : white and asian|mixed : white and black african|mixed : white and black caribbean|mixed : other mixed|other : arab|other : any other ethnic group|unknown|white : gypsy or irish traveller|white : irish|white : other|asian or asian british : pakistani|asian or asian british : bangladeshi|asian or asian british : indian|asian or asian british : chinese|asian or asian british : other asian
Handedness,BiB_PrimarySchoolYears.child_info_bib.Handedness,PSY child left or right handed,decimal,,1|2,Right|Left
has_quiz,BiB_PrimarySchoolYears.child_info_bib.has_quiz,PSY child has quiz data,decimal,,,
has_sdq,BiB_PrimarySchoolYears.child_info_bib.has_sdq,PSY child has SDQ data,decimal,,,
has_ckat_all,BiB_PrimarySchoolYears.child_info_bib.has_ckat_all,PSY child has complete CKAT data,decimal,,,
has_ckat_tracing,BiB_PrimarySchoolYears.child_info_bib.has_ckat_tracing,PSY child has CKAT tracing task data,decimal,,,
has_ckat_tracking,BiB_PrimarySchoolYears.child_info_bib.has_ckat_tracking,PSY child has CKAT tracking task data,decimal,,,
has_ckat_aiming,BiB_PrimarySchoolYears.child_info_bib.has_ckat_aiming,PSY child has CKAT aiming task data,decimal,,,
has_ef_bdr,BiB_PrimarySchoolYears.child_info_bib.has_ef_bdr,PSY child has Executive Function BDR data,decimal,,,
has_ef_fdr,BiB_PrimarySchoolYears.child_info_bib.has_ef_fdr,PSY child has Executive Function FDR data,decimal,,,
has_ef_corsi,BiB_PrimarySchoolYears.child_info_bib.has_ef_corsi,PSY child has Executive Function Corsi data,decimal,,,
has_ef_inhibition,BiB_PrimarySchoolYears.child_info_bib.has_ef_inhibition,PSY child has Executive Function Inhibition data,decimal,,,
has_ef_ps,BiB_PrimarySchoolYears.child_info_bib.has_ef_ps,PSY child has Executive Function PS data,decimal,,,
has_ef_all,BiB_PrimarySchoolYears.child_info_bib.has_ef_all,PSY child has all Executive Function tasks data,decimal,,,
