variable,full_name,label,value_type,description,categories,categories_label
BiBPersonID,BiB_PrimarySchoolYears.ckat_data_bib.BiBPersonID,"",text,,,
PSYSchoolID,BiB_PrimarySchoolYears.ckat_data_bib.PSYSchoolID,"",decimal,,,
PSYClassID,BiB_PrimarySchoolYears.ckat_data_bib.PSYClassID,"",decimal,,,
TestYearGroup,BiB_PrimarySchoolYears.ckat_data_bib.TestYearGroup,"",decimal,,,
TestAcadTerm,BiB_PrimarySchoolYears.ckat_data_bib.TestAcadTerm,"",text,,,
TestYear,BiB_PrimarySchoolYears.ckat_data_bib.TestYear,"",decimal,,,
TestMonth,BiB_PrimarySchoolYears.ckat_data_bib.TestMonth,"",decimal,,,
PSYTestDay,BiB_PrimarySchoolYears.ckat_data_bib.PSYTestDay,"",decimal,,,
AgeYears,BiB_PrimarySchoolYears.ckat_data_bib.AgeYears,"",decimal,,,
AgeMonths,BiB_PrimarySchoolYears.ckat_data_bib.AgeMonths,"",decimal,,,
PSYTabletID,BiB_PrimarySchoolYears.ckat_data_bib.PSYTabletID,"",decimal,,,
CKATSessionID,BiB_PrimarySchoolYears.ckat_data_bib.CKATSessionID,"",decimal,,,
exclude_reason,BiB_PrimarySchoolYears.ckat_data_bib.exclude_reason,"",text,,,
exclude_tracing,BiB_PrimarySchoolYears.ckat_data_bib.exclude_tracing,"",decimal,,,
exclude_tracking,BiB_PrimarySchoolYears.ckat_data_bib.exclude_tracking,"",decimal,,,
exclude_aiming,BiB_PrimarySchoolYears.ckat_data_bib.exclude_aiming,"",decimal,,,
pyckatrTNGSlowPL1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGSlowPL1,"",decimal,,,
pyckatrTNGSlowPLT1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGSlowPLT1,"",decimal,,,
pyckatrTNGSlowNJ1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGSlowNJ1,"",decimal,,,
pyckatrTNGSlowPA1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGSlowPA1,"",decimal,,,
pyckatrTNGSlowFgainX1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGSlowFgainX1,"",decimal,,,
pyckatrTNGSlowFgainY1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGSlowFgainY1,"",decimal,,,
pyckatrTNGSlowFtrackerrorRMS1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGSlowFtrackerrorRMS1,"",decimal,,,
pyckatrTNGSlowFtrackerrorSTD1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGSlowFtrackerrorSTD1,"",decimal,,,
pyckatrTNGMedPL2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGMedPL2,"",decimal,,,
pyckatrTNGMedPLT2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGMedPLT2,"",decimal,,,
pyckatrTNGMedNJ2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGMedNJ2,"",decimal,,,
pyckatrTNGMedPA2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGMedPA2,"",decimal,,,
pyckatrTNGMedFgainX2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGMedFgainX2,"",decimal,,,
pyckatrTNGMedFgainY2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGMedFgainY2,"",decimal,,,
pyckatrTNGMedFtrackerrorRMS2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGMedFtrackerrorRMS2,"",decimal,,,
pyckatrTNGMedFtrackerrorSTD2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGMedFtrackerrorSTD2,"",decimal,,,
pyckatrTNGFstPL3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGFstPL3,"",decimal,,,
pyckatrTNGFstPLT3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGFstPLT3,"",decimal,,,
pyckatrTNGFstNJ3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGFstNJ3,"",decimal,,,
pyckatrTNGFstPA3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGFstPA3,"",decimal,,,
pyckatrTNGFstFgainX3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGFstFgainX3,"",decimal,,,
pyckatrTNGFstFgainY3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGFstFgainY3,"",decimal,,,
pyckatrTNGFstFtrackerrorRMS3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGFstFtrackerrorRMS3,"",decimal,,,
pyckatrTNGFstFtrackerrorSTD3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTNGFstFtrackerrorSTD3,"",decimal,,,
pyckatrTrackNGOvrllPL4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTrackNGOvrllPL4,"",decimal,,,
pyckatrTrackNGOvrllPLT4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTrackNGOvrllPLT4,"",decimal,,,
pyckatrTrackNGOvrllNJ4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTrackNGOvrllNJ4,"",decimal,,,
pyckatrTrackNGOvrllPA4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTrackNGOvrllPA4,"",decimal,,,
pyckatrTWGSlowPL1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGSlowPL1,"",decimal,,,
pyckatrTWGSlowPLT1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGSlowPLT1,"",decimal,,,
pyckatrTWGSlowNJ1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGSlowNJ1,"",decimal,,,
pyckatrTWGSlowPA1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGSlowPA1,"",decimal,,,
pyckatrTWGSlowFgainX1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGSlowFgainX1,"",decimal,,,
pyckatrTWGSlowFgainY1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGSlowFgainY1,"",decimal,,,
pyckatrTWGSlowFtrackerrorRMS1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGSlowFtrackerrorRMS1,"",decimal,,,
pyckatrTWGSlowFtrackerrorSTD1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGSlowFtrackerrorSTD1,"",decimal,,,
pyckatrTWGMedPL2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGMedPL2,"",decimal,,,
pyckatrTWGMedPLT2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGMedPLT2,"",decimal,,,
pyckatrTWGMedNJ2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGMedNJ2,"",decimal,,,
pyckatrTWGMedPA2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGMedPA2,"",decimal,,,
pyckatrTWGMedFgainX2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGMedFgainX2,"",decimal,,,
pyckatrTWGMedFgainY2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGMedFgainY2,"",decimal,,,
pyckatrTWGMedFtrackerrorRMS2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGMedFtrackerrorRMS2,"",decimal,,,
pyckatrTWGMedFtrackerrorSTD2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGMedFtrackerrorSTD2,"",decimal,,,
pyckatrTWGFstPL3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGFstPL3,"",decimal,,,
pyckatrTWGFstPLT3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGFstPLT3,"",decimal,,,
pyckatrTWGFstNJ3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGFstNJ3,"",decimal,,,
pyckatrTWGFstPA3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGFstPA3,"",decimal,,,
pyckatrTWGFstFgainX3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGFstFgainX3,"",decimal,,,
pyckatrTWGFstFgainY3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGFstFgainY3,"",decimal,,,
pyckatrTWGFstFtrackerrorRMS3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGFstFtrackerrorRMS3,"",decimal,,,
pyckatrTWGFstFtrackerrorSTD3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTWGFstFtrackerrorSTD3,"",decimal,,,
pyckatrTrackWGOvrllPL4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTrackWGOvrllPL4,"",decimal,,,
pyckatrTrackWGOvrllPLT4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTrackWGOvrllPLT4,"",decimal,,,
pyckatrTrackWGOvrllNJ4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTrackWGOvrllNJ4,"",decimal,,,
pyckatrTrackWGOvrllPA4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatrTrackWGOvrllPA4,"",decimal,,,
pyckatraim1scrapRT1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim1scrapRT1,"",decimal,,,
pyckatraim1scrapMT1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim1scrapMT1,"",decimal,,,
pyckatraim1scrapDT1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim1scrapDT1,"",decimal,,,
pyckatraim1scrapPS1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim1scrapPS1,"",decimal,,,
pyckatraim1scrapTPS1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim1scrapTPS1,"",decimal,,,
pyckatraim1scrapPL1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim1scrapPL1,"",decimal,,,
pyckatraim1scrapPLT1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim1scrapPLT1,"",decimal,,,
pyckatraim1scrapNJ1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim1scrapNJ1,"",decimal,,,
pyckatraim2baseRT2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2baseRT2,"",decimal,,,
pyckatraim2baseMT2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2baseMT2,"",decimal,,,
pyckatraim2baseDT2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2baseDT2,"",decimal,,,
pyckatraim2basePS2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2basePS2,"",decimal,,,
pyckatraim2baseTPS2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2baseTPS2,"",decimal,,,
pyckatraim2basePL2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2basePL2,"",decimal,,,
pyckatraim2basePLT2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2basePLT2,"",decimal,,,
pyckatraim2baseNJ2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2baseNJ2,"",decimal,,,
pyckatraim3baseRT3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim3baseRT3,"",decimal,,,
pyckatraim3baseMT3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim3baseMT3,"",decimal,,,
