variable,full_name,label,value_type,description,categories,categories_label
PSYSchoolID,BiB_PrimarySchoolYears.ckat_data.PSYSchoolID,,decimal,NA,NA,NA
PSYClassID,BiB_PrimarySchoolYears.ckat_data.PSYClassID,,decimal,NA,NA,NA
TestYearGroup,BiB_PrimarySchoolYears.ckat_data.TestYearGroup,,decimal,NA,NA,NA
TestAcadTerm,BiB_PrimarySchoolYears.ckat_data.TestAcadTerm,,text,NA,NA,NA
TestYear,BiB_PrimarySchoolYears.ckat_data.TestYear,,decimal,NA,NA,NA
TestMonth,BiB_PrimarySchoolYears.ckat_data.TestMonth,,decimal,NA,NA,NA
PSYTestDay,BiB_PrimarySchoolYears.ckat_data.PSYTestDay,,decimal,NA,NA,NA
AgeYears,BiB_PrimarySchoolYears.ckat_data.AgeYears,,decimal,NA,NA,NA
AgeMonths,BiB_PrimarySchoolYears.ckat_data.AgeMonths,,decimal,NA,NA,NA
PSYTabletID,BiB_PrimarySchoolYears.ckat_data.PSYTabletID,,decimal,NA,NA,NA
CKATSessionID,BiB_PrimarySchoolYears.ckat_data.CKATSessionID,,decimal,NA,NA,NA
exclude_reason,BiB_PrimarySchoolYears.ckat_data.exclude_reason,,text,NA,NA,NA
exclude_tracing,BiB_PrimarySchoolYears.ckat_data.exclude_tracing,,decimal,NA,NA,NA
exclude_tracking,BiB_PrimarySchoolYears.ckat_data.exclude_tracking,,decimal,NA,NA,NA
exclude_aiming,BiB_PrimarySchoolYears.ckat_data.exclude_aiming,,decimal,NA,NA,NA
pyckatrTNGSlowPL1,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGSlowPL1,,decimal,NA,NA,NA
pyckatrTNGSlowPLT1,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGSlowPLT1,,decimal,NA,NA,NA
pyckatrTNGSlowNJ1,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGSlowNJ1,,decimal,NA,NA,NA
pyckatrTNGSlowPA1,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGSlowPA1,,decimal,NA,NA,NA
pyckatrTNGSlowFgainX1,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGSlowFgainX1,,decimal,NA,NA,NA
pyckatrTNGSlowFgainY1,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGSlowFgainY1,,decimal,NA,NA,NA
pyckatrTNGSlowFtrackerrorRMS1,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGSlowFtrackerrorRMS1,,decimal,NA,NA,NA
pyckatrTNGSlowFtrackerrorSTD1,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGSlowFtrackerrorSTD1,,decimal,NA,NA,NA
pyckatrTNGMedPL2,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGMedPL2,,decimal,NA,NA,NA
pyckatrTNGMedPLT2,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGMedPLT2,,decimal,NA,NA,NA
pyckatrTNGMedNJ2,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGMedNJ2,,decimal,NA,NA,NA
pyckatrTNGMedPA2,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGMedPA2,,decimal,NA,NA,NA
pyckatrTNGMedFgainX2,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGMedFgainX2,,decimal,NA,NA,NA
pyckatrTNGMedFgainY2,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGMedFgainY2,,decimal,NA,NA,NA
pyckatrTNGMedFtrackerrorRMS2,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGMedFtrackerrorRMS2,,decimal,NA,NA,NA
pyckatrTNGMedFtrackerrorSTD2,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGMedFtrackerrorSTD2,,decimal,NA,NA,NA
pyckatrTNGFstPL3,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGFstPL3,,decimal,NA,NA,NA
pyckatrTNGFstPLT3,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGFstPLT3,,decimal,NA,NA,NA
pyckatrTNGFstNJ3,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGFstNJ3,,decimal,NA,NA,NA
pyckatrTNGFstPA3,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGFstPA3,,decimal,NA,NA,NA
pyckatrTNGFstFgainX3,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGFstFgainX3,,decimal,NA,NA,NA
pyckatrTNGFstFgainY3,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGFstFgainY3,,decimal,NA,NA,NA
pyckatrTNGFstFtrackerrorRMS3,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGFstFtrackerrorRMS3,,decimal,NA,NA,NA
pyckatrTNGFstFtrackerrorSTD3,BiB_PrimarySchoolYears.ckat_data.pyckatrTNGFstFtrackerrorSTD3,,decimal,NA,NA,NA
pyckatrTrackNGOvrllPL4,BiB_PrimarySchoolYears.ckat_data.pyckatrTrackNGOvrllPL4,,decimal,NA,NA,NA
pyckatrTrackNGOvrllPLT4,BiB_PrimarySchoolYears.ckat_data.pyckatrTrackNGOvrllPLT4,,decimal,NA,NA,NA
pyckatrTrackNGOvrllNJ4,BiB_PrimarySchoolYears.ckat_data.pyckatrTrackNGOvrllNJ4,,decimal,NA,NA,NA
pyckatrTrackNGOvrllPA4,BiB_PrimarySchoolYears.ckat_data.pyckatrTrackNGOvrllPA4,,decimal,NA,NA,NA
pyckatrTWGSlowPL1,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGSlowPL1,,decimal,NA,NA,NA
pyckatrTWGSlowPLT1,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGSlowPLT1,,decimal,NA,NA,NA
pyckatrTWGSlowNJ1,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGSlowNJ1,,decimal,NA,NA,NA
pyckatrTWGSlowPA1,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGSlowPA1,,decimal,NA,NA,NA
pyckatrTWGSlowFgainX1,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGSlowFgainX1,,decimal,NA,NA,NA
pyckatrTWGSlowFgainY1,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGSlowFgainY1,,decimal,NA,NA,NA
pyckatrTWGSlowFtrackerrorRMS1,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGSlowFtrackerrorRMS1,,decimal,NA,NA,NA
pyckatrTWGSlowFtrackerrorSTD1,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGSlowFtrackerrorSTD1,,decimal,NA,NA,NA
pyckatrTWGMedPL2,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGMedPL2,,decimal,NA,NA,NA
pyckatrTWGMedPLT2,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGMedPLT2,,decimal,NA,NA,NA
pyckatrTWGMedNJ2,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGMedNJ2,,decimal,NA,NA,NA
pyckatrTWGMedPA2,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGMedPA2,,decimal,NA,NA,NA
pyckatrTWGMedFgainX2,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGMedFgainX2,,decimal,NA,NA,NA
pyckatrTWGMedFgainY2,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGMedFgainY2,,decimal,NA,NA,NA
pyckatrTWGMedFtrackerrorRMS2,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGMedFtrackerrorRMS2,,decimal,NA,NA,NA
pyckatrTWGMedFtrackerrorSTD2,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGMedFtrackerrorSTD2,,decimal,NA,NA,NA
pyckatrTWGFstPL3,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGFstPL3,,decimal,NA,NA,NA
pyckatrTWGFstPLT3,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGFstPLT3,,decimal,NA,NA,NA
pyckatrTWGFstNJ3,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGFstNJ3,,decimal,NA,NA,NA
pyckatrTWGFstPA3,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGFstPA3,,decimal,NA,NA,NA
pyckatrTWGFstFgainX3,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGFstFgainX3,,decimal,NA,NA,NA
pyckatrTWGFstFgainY3,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGFstFgainY3,,decimal,NA,NA,NA
pyckatrTWGFstFtrackerrorRMS3,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGFstFtrackerrorRMS3,,decimal,NA,NA,NA
pyckatrTWGFstFtrackerrorSTD3,BiB_PrimarySchoolYears.ckat_data.pyckatrTWGFstFtrackerrorSTD3,,decimal,NA,NA,NA
pyckatrTrackWGOvrllPL4,BiB_PrimarySchoolYears.ckat_data.pyckatrTrackWGOvrllPL4,,decimal,NA,NA,NA
pyckatrTrackWGOvrllPLT4,BiB_PrimarySchoolYears.ckat_data.pyckatrTrackWGOvrllPLT4,,decimal,NA,NA,NA
pyckatrTrackWGOvrllNJ4,BiB_PrimarySchoolYears.ckat_data.pyckatrTrackWGOvrllNJ4,,decimal,NA,NA,NA
pyckatrTrackWGOvrllPA4,BiB_PrimarySchoolYears.ckat_data.pyckatrTrackWGOvrllPA4,,decimal,NA,NA,NA
pyckatraim1scrapRT1,BiB_PrimarySchoolYears.ckat_data.pyckatraim1scrapRT1,,decimal,NA,NA,NA
pyckatraim1scrapMT1,BiB_PrimarySchoolYears.ckat_data.pyckatraim1scrapMT1,,decimal,NA,NA,NA
pyckatraim1scrapDT1,BiB_PrimarySchoolYears.ckat_data.pyckatraim1scrapDT1,,decimal,NA,NA,NA
pyckatraim1scrapPS1,BiB_PrimarySchoolYears.ckat_data.pyckatraim1scrapPS1,,decimal,NA,NA,NA
pyckatraim1scrapTPS1,BiB_PrimarySchoolYears.ckat_data.pyckatraim1scrapTPS1,,decimal,NA,NA,NA
pyckatraim1scrapPL1,BiB_PrimarySchoolYears.ckat_data.pyckatraim1scrapPL1,,decimal,NA,NA,NA
pyckatraim1scrapPLT1,BiB_PrimarySchoolYears.ckat_data.pyckatraim1scrapPLT1,,decimal,NA,NA,NA
pyckatraim1scrapNJ1,BiB_PrimarySchoolYears.ckat_data.pyckatraim1scrapNJ1,,decimal,NA,NA,NA
pyckatraim2baseRT2,BiB_PrimarySchoolYears.ckat_data.pyckatraim2baseRT2,,decimal,NA,NA,NA
pyckatraim2baseMT2,BiB_PrimarySchoolYears.ckat_data.pyckatraim2baseMT2,,decimal,NA,NA,NA
pyckatraim2baseDT2,BiB_PrimarySchoolYears.ckat_data.pyckatraim2baseDT2,,decimal,NA,NA,NA
pyckatraim2basePS2,BiB_PrimarySchoolYears.ckat_data.pyckatraim2basePS2,,decimal,NA,NA,NA
pyckatraim2baseTPS2,BiB_PrimarySchoolYears.ckat_data.pyckatraim2baseTPS2,,decimal,NA,NA,NA
pyckatraim2basePL2,BiB_PrimarySchoolYears.ckat_data.pyckatraim2basePL2,,decimal,NA,NA,NA
pyckatraim2basePLT2,BiB_PrimarySchoolYears.ckat_data.pyckatraim2basePLT2,,decimal,NA,NA,NA
pyckatraim2baseNJ2,BiB_PrimarySchoolYears.ckat_data.pyckatraim2baseNJ2,,decimal,NA,NA,NA
pyckatraim3baseRT3,BiB_PrimarySchoolYears.ckat_data.pyckatraim3baseRT3,,decimal,NA,NA,NA
pyckatraim3baseMT3,BiB_PrimarySchoolYears.ckat_data.pyckatraim3baseMT3,,decimal,NA,NA,NA
pyckatraim3baseDT3,BiB_PrimarySchoolYears.ckat_data.pyckatraim3baseDT3,,decimal,NA,NA,NA
pyckatraim3basePS3,BiB_PrimarySchoolYears.ckat_data.pyckatraim3basePS3,,decimal,NA,NA,NA
pyckatraim3baseTPS3,BiB_PrimarySchoolYears.ckat_data.pyckatraim3baseTPS3,,decimal,NA,NA,NA
pyckatraim3basePL3,BiB_PrimarySchoolYears.ckat_data.pyckatraim3basePL3,,decimal,NA,NA,NA
pyckatraim3basePLT3,BiB_PrimarySchoolYears.ckat_data.pyckatraim3basePLT3,,decimal,NA,NA,NA
pyckatraim3baseNJ3,BiB_PrimarySchoolYears.ckat_data.pyckatraim3baseNJ3,,decimal,NA,NA,NA
pyckatraim4baseRT4,BiB_PrimarySchoolYears.ckat_data.pyckatraim4baseRT4,,decimal,NA,NA,NA
pyckatraim4baseMT4,BiB_PrimarySchoolYears.ckat_data.pyckatraim4baseMT4,,decimal,NA,NA,NA
