variable,full_name,label,value_type,description,categories,categories_label
BiBPersonID,BiB_PrimarySchoolYears.ef_task_bdr_bib.BiBPersonID,,text,,,
PSYSchoolID,BiB_PrimarySchoolYears.ef_task_bdr_bib.PSYSchoolID,Primary School Years: School pseudonym,decimal,,,
PSYClassID,BiB_PrimarySchoolYears.ef_task_bdr_bib.PSYClassID,Primary School Years: Class pseudonym,decimal,,,
TestYearGroup,BiB_PrimarySchoolYears.ef_task_bdr_bib.TestYearGroup,Year group of BDR completion,decimal,,,
TestAcadTerm,BiB_PrimarySchoolYears.ef_task_bdr_bib.TestAcadTerm,Academic term of BDR completion,decimal,,1|2|3,Autumn|Spring|Summer
TestYear,BiB_PrimarySchoolYears.ef_task_bdr_bib.TestYear,Calendar year of BDR completion,decimal,,,
TestMonth,BiB_PrimarySchoolYears.ef_task_bdr_bib.TestMonth,Calendar month of BDR completion,decimal,,,
PSYTestDay,BiB_PrimarySchoolYears.ef_task_bdr_bib.PSYTestDay,Days elapsed since study start + 50000,decimal,,,
AgeYears,BiB_PrimarySchoolYears.ef_task_bdr_bib.AgeYears,Child age in years at BDR completion,decimal,,,
AgeMonths,BiB_PrimarySchoolYears.ef_task_bdr_bib.AgeMonths,Child age in months at BDR completion,decimal,,,
PSYTabletID,BiB_PrimarySchoolYears.ef_task_bdr_bib.PSYTabletID,Tablet computer used for testing,decimal,,,
EFSessionID,BiB_PrimarySchoolYears.ef_task_bdr_bib.EFSessionID,Testing software session ID,decimal,,,
bdr_summary,BiB_PrimarySchoolYears.ef_task_bdr_bib.bdr_summary,Summary test score for BDR,decimal,,,
bdr_rowcount,BiB_PrimarySchoolYears.ef_task_bdr_bib.bdr_rowcount,Number of rows in BDR trials raw data file for the session,decimal,,,
