variable,full_name,label,value_type,description,categories,categories_label
PSYSchoolID,BiB_PrimarySchoolYears.ef_task_corsi.PSYSchoolID,Primary School Years: School pseudonym,decimal,,,
PSYClassID,BiB_PrimarySchoolYears.ef_task_corsi.PSYClassID,Primary School Years: Class pseudonym,decimal,,,
TestYearGroup,BiB_PrimarySchoolYears.ef_task_corsi.TestYearGroup,Year group of Corsi completion,decimal,,,
TestAcadTerm,BiB_PrimarySchoolYears.ef_task_corsi.TestAcadTerm,Academic term of Corsi completion,decimal,,1|2|3,Autumn|Spring|Summer
TestYear,BiB_PrimarySchoolYears.ef_task_corsi.TestYear,Calendar year of Corsi completion,decimal,,,
TestMonth,BiB_PrimarySchoolYears.ef_task_corsi.TestMonth,Calendar month of Corsi completion,decimal,,,
PSYTestDay,BiB_PrimarySchoolYears.ef_task_corsi.PSYTestDay,Days elapsed since study start + 50000,decimal,,,
AgeYears,BiB_PrimarySchoolYears.ef_task_corsi.AgeYears,Child age in years at Corsi completion,decimal,,,
AgeMonths,BiB_PrimarySchoolYears.ef_task_corsi.AgeMonths,Child age in months at Corsi completion,decimal,,,
PSYTabletID,BiB_PrimarySchoolYears.ef_task_corsi.PSYTabletID,Tablet computer used for testing,decimal,,,
EFSessionID,BiB_PrimarySchoolYears.ef_task_corsi.EFSessionID,Testing software session ID,decimal,,,
corsi_summary,BiB_PrimarySchoolYears.ef_task_corsi.corsi_summary,Summary test score for Corsi,decimal,,,
corsi_rowcount,BiB_PrimarySchoolYears.ef_task_corsi.corsi_rowcount,Number of rows in Corsi trials raw data file for the session,decimal,,,
