variable,full_name,label,value_type,description,categories,categories_label
BiBPersonID,BiB_PrimarySchoolYears.ef_task_inhibition_bib.BiBPersonID,"",text,,,
PSYSchoolID,BiB_PrimarySchoolYears.ef_task_inhibition_bib.PSYSchoolID,Primary School Years: School pseudonym,decimal,,,
PSYClassID,BiB_PrimarySchoolYears.ef_task_inhibition_bib.PSYClassID,Primary School Years: Class pseudonym,decimal,,,
TestYearGroup,BiB_PrimarySchoolYears.ef_task_inhibition_bib.TestYearGroup,Year group of Inhibition completion,decimal,,,
TestAcadTerm,BiB_PrimarySchoolYears.ef_task_inhibition_bib.TestAcadTerm,Academic term of Inhibition completion,decimal,,1|2|3,Autumn|Spring|Summer
TestYear,BiB_PrimarySchoolYears.ef_task_inhibition_bib.TestYear,Calendar year of Inhibition completion,decimal,,,
TestMonth,BiB_PrimarySchoolYears.ef_task_inhibition_bib.TestMonth,Calendar month of Inhibition completion,decimal,,,
PSYTestDay,BiB_PrimarySchoolYears.ef_task_inhibition_bib.PSYTestDay,Days elapsed since study start + 50000,decimal,,,
AgeYears,BiB_PrimarySchoolYears.ef_task_inhibition_bib.AgeYears,Child age in years at Inhibition completion,decimal,,,
AgeMonths,BiB_PrimarySchoolYears.ef_task_inhibition_bib.AgeMonths,Child age in months at Inhibition completion,decimal,,,
PSYTabletID,BiB_PrimarySchoolYears.ef_task_inhibition_bib.PSYTabletID,Tablet computer used for testing,decimal,,,
EFSessionID,BiB_PrimarySchoolYears.ef_task_inhibition_bib.EFSessionID,Testing software session ID,decimal,,,
inhibition_summary,BiB_PrimarySchoolYears.ef_task_inhibition_bib.inhibition_summary,Summary test score for Inhibition,decimal,,,
inhibition_rowcount,BiB_PrimarySchoolYears.ef_task_inhibition_bib.inhibition_rowcount,Number of rows in Inhibition trials raw data file for the session,decimal,,,
inhib_corr,BiB_PrimarySchoolYears.ef_task_inhibition_bib.inhib_corr,Total number of trials correct on Inhibition task,decimal,,,
inhib_corr_c,BiB_PrimarySchoolYears.ef_task_inhibition_bib.inhib_corr_c,Number correct on congruent Inhibition trials,decimal,,,
inhib_corr_inc,BiB_PrimarySchoolYears.ef_task_inhibition_bib.inhib_corr_inc,Number correct on incongruent Inhibition trials,decimal,,,
inhib_incorr,BiB_PrimarySchoolYears.ef_task_inhibition_bib.inhib_incorr,Total number of trials incorrect on Inhibition task,decimal,,,
inhib_incorr_c,BiB_PrimarySchoolYears.ef_task_inhibition_bib.inhib_incorr_c,Number incorrect on congruent Inhibition trials,decimal,,,
inhib_incorr_inc,BiB_PrimarySchoolYears.ef_task_inhibition_bib.inhib_incorr_inc,Number incorrect on incongruent Inhibition trials,decimal,,,
inhib_mean_rt,BiB_PrimarySchoolYears.ef_task_inhibition_bib.inhib_mean_rt,Mean reaction time on all correct Inhibition trials,decimal,,,
inhib_mean_rt_c,BiB_PrimarySchoolYears.ef_task_inhibition_bib.inhib_mean_rt_c,Mean reaction time on congruent correct Inhibition trials,decimal,,,
inhib_mean_rt_inc,BiB_PrimarySchoolYears.ef_task_inhibition_bib.inhib_mean_rt_inc,Mean reaction time on incongruent correct Inhibition trials,decimal,,,
