variable,full_name,label,value_type,description,categories,categories_label
PSYSchoolID,BiB_PrimarySchoolYears.ef_task_ps.PSYSchoolID,Primary School Years: School pseudonym,decimal,,,
PSYClassID,BiB_PrimarySchoolYears.ef_task_ps.PSYClassID,Primary School Years: Class pseudonym,decimal,,,
TestYearGroup,BiB_PrimarySchoolYears.ef_task_ps.TestYearGroup,Year group of PS completion,decimal,,,
TestAcadTerm,BiB_PrimarySchoolYears.ef_task_ps.TestAcadTerm,Academic term of PS completion,decimal,,1|2|3,Autumn|Spring|Summer
TestYear,BiB_PrimarySchoolYears.ef_task_ps.TestYear,Calendar year of PS completion,decimal,,,
TestMonth,BiB_PrimarySchoolYears.ef_task_ps.TestMonth,Calendar month of PS completion,decimal,,,
PSYTestDay,BiB_PrimarySchoolYears.ef_task_ps.PSYTestDay,Days elapsed since study start + 50000,decimal,,,
AgeYears,BiB_PrimarySchoolYears.ef_task_ps.AgeYears,Child age in years at PS completion,decimal,,,
AgeMonths,BiB_PrimarySchoolYears.ef_task_ps.AgeMonths,Child age in months at PS completion,decimal,,,
PSYTabletID,BiB_PrimarySchoolYears.ef_task_ps.PSYTabletID,Tablet computer used for testing,decimal,,,
EFSessionID,BiB_PrimarySchoolYears.ef_task_ps.EFSessionID,Testing software session ID,decimal,,,
ps_summary,BiB_PrimarySchoolYears.ef_task_ps.ps_summary,Summary test score for PS,decimal,,,
ps_rowcount,BiB_PrimarySchoolYears.ef_task_ps.ps_rowcount,Number of rows in PS trials raw data file for the session,decimal,,,
ps_corr,BiB_PrimarySchoolYears.ef_task_ps.ps_corr,Total number of trials correct on PS task,decimal,,,
ps_incorr,BiB_PrimarySchoolYears.ef_task_ps.ps_incorr,Total number of trials incorrect on PS task,decimal,,,
ps_mean_rt,BiB_PrimarySchoolYears.ef_task_ps.ps_mean_rt,Mean reaction time on all PS trials,decimal,,,
ps_mean_rt_corr,BiB_PrimarySchoolYears.ef_task_ps.ps_mean_rt_corr,Mean reaction time on correct PS trials,decimal,,,
ps_mean_rt_incorr,BiB_PrimarySchoolYears.ef_task_ps.ps_mean_rt_incorr,Mean reaction time on incorrect PS trials,decimal,,,
