variable,full_name,label,value_type,description,categories,categories_label
Cohort,BiB_SDQs.COVID_phase1_sdq.Cohort,Cohort,text,,,
Gender,BiB_SDQs.COVID_phase1_sdq.Gender,Child's gender,decimal,,0|1,Male|Female
date_est,BiB_SDQs.COVID_phase1_sdq.date_est,Estimated date of survey completion,date,,,
AgeMonths,BiB_SDQs.COVID_phase1_sdq.AgeMonths,Estimated age in months at survey completion,decimal,,,
AgeYears,BiB_SDQs.COVID_phase1_sdq.AgeYears,Estimated age in years at survey completion,decimal,,,
ethnicity_mother,BiB_SDQs.COVID_phase1_sdq.ethnicity_mother,Ethnic group (mother),decimal,,1|2|3,White British|Pakistani|Other
sdq_consid,BiB_SDQs.COVID_phase1_sdq.sdq_consid,Considerate of other peoples feelings,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_restles,BiB_SDQs.COVID_phase1_sdq.sdq_restles,"Restless, overactive, cannot stay still for long",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_somatic,BiB_SDQs.COVID_phase1_sdq.sdq_somatic,"Often complains of headaches, stomach-aches or sickness",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_shares,BiB_SDQs.COVID_phase1_sdq.sdq_shares,"Shares readily with other children (treats,..., pencils etc.)",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_tantrum,BiB_SDQs.COVID_phase1_sdq.sdq_tantrum,Often has temper tantrums or hot tempers,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_loner,BiB_SDQs.COVID_phase1_sdq.sdq_loner,"Rather solitary, tends to play alone",decimal,,0|1|2,Certainly true|Somewhat true|Not true
sdq_obeys,BiB_SDQs.COVID_phase1_sdq.sdq_obeys,Generally obedient,decimal,,0|1|2,Certainly true|Somewhat true|Not true
sdq_worries,BiB_SDQs.COVID_phase1_sdq.sdq_worries,"Many worries, often seems worried",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_caring,BiB_SDQs.COVID_phase1_sdq.sdq_caring,"Helpful if someone is hurt, upset or feeling ill",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_fidgety,BiB_SDQs.COVID_phase1_sdq.sdq_fidgety,Constantly fidgeting or squirming,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_friend,BiB_SDQs.COVID_phase1_sdq.sdq_friend,Has at least one good friend,decimal,,0|1|2,Certainly true|Somewhat true|Not true
sdq_fights,BiB_SDQs.COVID_phase1_sdq.sdq_fights,Often fights with other children or bullies them,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_unhappy,BiB_SDQs.COVID_phase1_sdq.sdq_unhappy,"Often unhappy, down-hearted or tearful",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_popular,BiB_SDQs.COVID_phase1_sdq.sdq_popular,Generally liked by other children,decimal,,0|1|2,Certainly true|Somewhat true|Not true
sdq_distrac,BiB_SDQs.COVID_phase1_sdq.sdq_distrac,"Easily distracted, concentration wanders",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_clingy,BiB_SDQs.COVID_phase1_sdq.sdq_clingy,"Nervous or clingy in new situations, easily loses confidence",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_kind,BiB_SDQs.COVID_phase1_sdq.sdq_kind,Kind to younger children,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_lies,BiB_SDQs.COVID_phase1_sdq.sdq_lies,Often lies or cheats,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_bullied,BiB_SDQs.COVID_phase1_sdq.sdq_bullied,Picked on or bullied by other children,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_helpout,BiB_SDQs.COVID_phase1_sdq.sdq_helpout,"Often volunteers to help others (parents, t...other children)",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_reflect,BiB_SDQs.COVID_phase1_sdq.sdq_reflect,Thinks things out before acting,decimal,,0|1|2,Certainly true|Somewhat true|Not true
sdq_steals,BiB_SDQs.COVID_phase1_sdq.sdq_steals,"Steals from home, school or elsewhere",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_oldbest,BiB_SDQs.COVID_phase1_sdq.sdq_oldbest,Gets on better with adults than with other children,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_afraid,BiB_SDQs.COVID_phase1_sdq.sdq_afraid,"Many fears, easily scared",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_attention,BiB_SDQs.COVID_phase1_sdq.sdq_attention,Sees tasks through to the end,decimal,,0|1|2,Certainly true|Somewhat true|Not true
sdq_comments,BiB_SDQs.COVID_phase1_sdq.sdq_comments,Do you have any other comments or concerns?,text,,,
diffemotions,BiB_SDQs.COVID_phase1_sdq.diffemotions,"Overall, do you think that your child has d...h other people?",decimal,,0|1|2|3,No|Yes - minor difficulties|Yes - definite difficulties|Yes - severe difficulties
difflength,BiB_SDQs.COVID_phase1_sdq.difflength,How long have these difficulties been present?,decimal,,0|1|2|3,Less than a month|1-5 months|6-12 months|Over a year
sdq_distress,BiB_SDQs.COVID_phase1_sdq.sdq_distress,Difficulties upset or distress child,decimal,,0|1|2,Not at all/A little|A medium amount|A great deal
sdq_homelife,BiB_SDQs.COVID_phase1_sdq.sdq_homelife,Interfere with homelife,decimal,,0|1|2,Not at all/A little|A medium amount|A great deal
sdq_friendship,BiB_SDQs.COVID_phase1_sdq.sdq_friendship,Interfere with friendships,decimal,,0|1|2,Not at all/A little|A medium amount|A great deal
sdq_classroom,BiB_SDQs.COVID_phase1_sdq.sdq_classroom,Interfere with classroom learning,decimal,,0|1|2,Not at all/A little|A medium amount|A great deal
sdq_leisure,BiB_SDQs.COVID_phase1_sdq.sdq_leisure,Interfere with leisure activities,decimal,,0|1|2,Not at all/A little|A medium amount|A great deal
diffburden,BiB_SDQs.COVID_phase1_sdq.diffburden,Do the difficulties put a burden on you or...ily as a whole?,decimal,,0|1|2|3,Not at all|Only a little|Quite a lot|A great deal
childsdq_complete,BiB_SDQs.COVID_phase1_sdq.childsdq_complete,Complete?,decimal,,0|1|2,Incomplete|Unverified|Complete
Total_Difficulties_Score,BiB_SDQs.COVID_phase1_sdq.Total_Difficulties_Score,Sum of all scales except prosocial scale,decimal,,,
Externalising_Score,BiB_SDQs.COVID_phase1_sdq.Externalising_Score,Sum of conduct and hyperactivity scale,decimal,,,
Internalising_Score,BiB_SDQs.COVID_phase1_sdq.Internalising_Score,Sum of emotional and peer problems scale,decimal,,,
Impact_Score,BiB_SDQs.COVID_phase1_sdq.Impact_Score,Sum of overall stress and impairment,decimal,,0|1|2,Not at all/A little|A medium amount|A great deal
Emotional_Score,BiB_SDQs.COVID_phase1_sdq.Emotional_Score,Sum of Emotional scale,decimal,,,
Conduct_Score,BiB_SDQs.COVID_phase1_sdq.Conduct_Score,Sum of Conduct scale,decimal,,,
Hyperactivity_Score,BiB_SDQs.COVID_phase1_sdq.Hyperactivity_Score,Sum of Hyperactivity scale,decimal,,,
