variable,full_name,label,value_type,description,categories,categories_label
AgeMonths,BiB_SDQs.MeDALL_sdq.AgeMonths,Child age (months): MeDALL Questionnaire,decimal,,,
AgeYears,BiB_SDQs.MeDALL_sdq.AgeYears,Child age (years): MeDALL Questionnaire,decimal,,,
sdq_consid,BiB_SDQs.MeDALL_sdq.sdq_consid,Considerate of other people's feelings,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_restles,BiB_SDQs.MeDALL_sdq.sdq_restles,"Restless, overactive",decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_somatic,BiB_SDQs.MeDALL_sdq.sdq_somatic,Often complains of headaches,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_shares,BiB_SDQs.MeDALL_sdq.sdq_shares,Shares readily with other children,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_tantrum,BiB_SDQs.MeDALL_sdq.sdq_tantrum,Often has temper tantrums or hot tempers,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_loner,BiB_SDQs.MeDALL_sdq.sdq_loner,"Rather solitary, tends to play alone",decimal,,0|1|2,Certainly true|Somewhat true|Not true
sdq_obeys,BiB_SDQs.MeDALL_sdq.sdq_obeys,Generally obedient,decimal,,0|1|2,Certainly true|Somewhat true|Not true
sdq_worries,BiB_SDQs.MeDALL_sdq.sdq_worries,Many worries,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_caring,BiB_SDQs.MeDALL_sdq.sdq_caring,Helpful if someone is hurt,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_fidgety,BiB_SDQs.MeDALL_sdq.sdq_fidgety,Constantly fidgeting or squirming,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_friend,BiB_SDQs.MeDALL_sdq.sdq_friend,Has at least on good friend,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_fights,BiB_SDQs.MeDALL_sdq.sdq_fights,Often fights with other children,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_unhappy,BiB_SDQs.MeDALL_sdq.sdq_unhappy,"Often unhappy, downhearted",decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_popular,BiB_SDQs.MeDALL_sdq.sdq_popular,Generally liked by other children,decimal,,0|1|2,Certainly true|Somewhat true|Not true
sdq_distrac,BiB_SDQs.MeDALL_sdq.sdq_distrac,"Easily distracted, concentration wanders",decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_clingy,BiB_SDQs.MeDALL_sdq.sdq_clingy,Nervous or clingy in new situations,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_kind,BiB_SDQs.MeDALL_sdq.sdq_kind,Kind to younger children,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_lies,BiB_SDQs.MeDALL_sdq.sdq_lies,Often lies or cheats,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_bullied,BiB_SDQs.MeDALL_sdq.sdq_bullied,"",decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_helpout,BiB_SDQs.MeDALL_sdq.sdq_helpout,Often volunteers to help others,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_reflect,BiB_SDQs.MeDALL_sdq.sdq_reflect,Thinks things through before acting,decimal,,0|1|2,Certainly true|Somewhat true|Not true
sdq_steals,BiB_SDQs.MeDALL_sdq.sdq_steals,"Steals from home, school or elsewhere",decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_oldbest,BiB_SDQs.MeDALL_sdq.sdq_oldbest,Gets on better with adults than with other children,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_afraid,BiB_SDQs.MeDALL_sdq.sdq_afraid,"Many fears, easily scared",decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_attention,BiB_SDQs.MeDALL_sdq.sdq_attention,Sees things through to the end,decimal,,0|1|2,Certainly true|Somewhat true|Not true
diffemotions,BiB_SDQs.MeDALL_sdq.diffemotions,Do you think your child has difficulties?,decimal,,1|2|3|4,No difficulties|Yes minor|Yes serious|Yes severe
difflength,BiB_SDQs.MeDALL_sdq.difflength,How long have difficulties been present?,decimal,,1|2|3|4,<1 month|1-5|5-12|>1 year
sdq_distress,BiB_SDQs.MeDALL_sdq.sdq_distress,Difficulties upset or distress child,decimal,,0|1|2,Not at all/A little|A medium amount|A great deal
sdq_homelife,BiB_SDQs.MeDALL_sdq.sdq_homelife,Interfere with homelife,decimal,,0|1|2,Not at all/A little|A medium amount|A great deal
sdq_friendship,BiB_SDQs.MeDALL_sdq.sdq_friendship,Interfere with friendships,decimal,,0|1|2,Not at all/A little|A medium amount|A great deal
sdq_classroom,BiB_SDQs.MeDALL_sdq.sdq_classroom,Interfere with classroom learning,decimal,,0|1|2,Not at all/A little|A medium amount|A great deal
sdq_leisure,BiB_SDQs.MeDALL_sdq.sdq_leisure,Interfere with leisure activities,decimal,,0|1|2,Not at all/A little|A medium amount|A great deal
diffburden,BiB_SDQs.MeDALL_sdq.diffburden,Family burden,decimal,,1|2|3|4,not at all|only a little|quite a lot|a great deal
Emotional_Score,BiB_SDQs.MeDALL_sdq.Emotional_Score,"",decimal,,,
Conduct_Score,BiB_SDQs.MeDALL_sdq.Conduct_Score,"",decimal,,,
Hyperactivity_Score,BiB_SDQs.MeDALL_sdq.Hyperactivity_Score,"",decimal,,,
Peer_Problems_Score,BiB_SDQs.MeDALL_sdq.Peer_Problems_Score,"",decimal,,,
Prosocial_Score,BiB_SDQs.MeDALL_sdq.Prosocial_Score,"",decimal,,,
Total_Difficulties_Score,BiB_SDQs.MeDALL_sdq.Total_Difficulties_Score,"",decimal,,,
Externalising_Score,BiB_SDQs.MeDALL_sdq.Externalising_Score,"",decimal,,,
Internalising_Score,BiB_SDQs.MeDALL_sdq.Internalising_Score,"",decimal,,,
Impact_Score,BiB_SDQs.MeDALL_sdq.Impact_Score,"",decimal,,,
Total_ThreeCat,BiB_SDQs.MeDALL_sdq.Total_ThreeCat,Three category total difference score,decimal,,1|2|3,Normal|Borderline|Abnormal
Emotional_ThreeCat,BiB_SDQs.MeDALL_sdq.Emotional_ThreeCat,Three category emotional scale score,decimal,,1|2|3,Normal|Borderline|Abnormal
Conduct_ThreeCat,BiB_SDQs.MeDALL_sdq.Conduct_ThreeCat,Three category conduct scale score,decimal,,1|2|3,Normal|Borderline|Abnormal
Hyperactivity_ThreeCat,BiB_SDQs.MeDALL_sdq.Hyperactivity_ThreeCat,Three category hyperactivity scale score,decimal,,1|2|3,Normal|Borderline|Abnormal
PeerProblem_ThreeCat,BiB_SDQs.MeDALL_sdq.PeerProblem_ThreeCat,Three category peer problems scale score,decimal,,1|2|3,Normal|Borderline|Abnormal
Prosocial_ThreeCat,BiB_SDQs.MeDALL_sdq.Prosocial_ThreeCat,Three category prosocial scale score,decimal,,1|2|3,Normal|Borderline|Abnormal
Impact_ThreeCat,BiB_SDQs.MeDALL_sdq.Impact_ThreeCat,Three category impact scale score,decimal,,1|2|3,Normal|Borderline|Abnormal
