variable,full_name,label,value_type,description,categories,categories_label
SSChildID,BiB_SDQs.StartingSchool_sdq.SSChildID,Starting School Child ID,text,,,
AgeYears,BiB_SDQs.StartingSchool_sdq.AgeYears,SDQ Completer Age,decimal,,1|2|3|4|5|6|7|8|9,20-25 yrs|26-30 yrs|31-35 yrs|36-40 yrs|41-45 yrs|46-50 yrs|51-55 yrs|56-60 yrs|60+ yrs
AgeMonths,BiB_SDQs.StartingSchool_sdq.AgeMonths,Age in months at SDQ,decimal,,,
has_stschool_sdq,BiB_SDQs.StartingSchool_sdq.has_stschool_sdq,Has starting school: sdq,decimal,,,
has_sscsdq,BiB_SDQs.StartingSchool_sdq.has_sscsdq,Has Starting School SDQ,decimal,,1,has
sssdqcompleter,BiB_SDQs.StartingSchool_sdq.sssdqcompleter,SDQ Completer ID,decimal,,,
sssdqcompposition,BiB_SDQs.StartingSchool_sdq.sssdqcompposition,SDQ Completer Postion,decimal,,1|2|3|4|5|6,Class Teacher|Head of Year|Teaching Assistant|Nursery Nurse|Supply Teacher|EY Phase Leader
sdq_fights,BiB_SDQs.StartingSchool_sdq.sdq_fights,Often fights with other children,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_lies,BiB_SDQs.StartingSchool_sdq.sdq_lies,Often lies or cheats,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_steals,BiB_SDQs.StartingSchool_sdq.sdq_steals,"Steals from home, school or elsewhere",decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_tantrum,BiB_SDQs.StartingSchool_sdq.sdq_tantrum,Often has temper tantrums or hot tempers,decimal,,0|1|2,Not true|Somewhat true|Certainly true
sdq_obeys,BiB_SDQs.StartingSchool_sdq.sdq_obeys,Generally obedient,decimal,,0|1|2,Certainly true|Somewhat true|Not true
sdq_somatic,BiB_SDQs.StartingSchool_sdq.sdq_somatic,Often complains of headaches,decimal,,0|1|2,Not true|Somewhat true|Certainly true
