project,table,variable,full_name,label,value_type,description,categories,categories_label
BiB_1000,bib1000_6m_main,has_bib1000_6m_main,BiB_1000.bib1000_6m_main.has_bib1000_6m_main,Has bib 1000 6m questionnaire main table,decimal,,,
BiB_1000,bib1000_6m_main,agecm_b6mtab,BiB_1000.bib1000_6m_main.agecm_b6mtab,Child age (months) BiB1000 6m questionnaire,decimal,,,
BiB_1000,bib1000_6m_main,agecy_b6mtab,BiB_1000.bib1000_6m_main.agecy_b6mtab,Child age (years) BiB1000 6m questionnaire,decimal,,,
BiB_1000,bib1000_6m_main,agemm_b6mtab,BiB_1000.bib1000_6m_main.agemm_b6mtab,Mother age (months) BiB1000 6m questionnaire,decimal,,,
BiB_1000,bib1000_6m_main,agemy_b6mtab,BiB_1000.bib1000_6m_main.agemy_b6mtab,Mother age (years) BiB1000 6m questionnaire,decimal,,,
BiB_1000,bib1000_6m_main,bib6a01,BiB_1000.bib1000_6m_main.bib6a01,Describe your own health,decimal,,1|2|3|4|5,Excellent|Very good|Good|Fair|Poor
BiB_1000,bib1000_6m_main,bib6a02,BiB_1000.bib1000_6m_main.bib6a02,Describe your child's health,decimal,,1|2|3|4|5,Excellent|Very good|Good|Fair|Poor
BiB_1000,bib1000_6m_main,bib6b01,BiB_1000.bib1000_6m_main.bib6b01,Has child seen a doctor/nurse since birth,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
BiB_1000,bib1000_6m_main,bib6b02,BiB_1000.bib1000_6m_main.bib6b02,How many times seen doctor/nurse,decimal,,1|2|3|4|5|6|7,Once|Twice|3-4 times|5-10 times|11+ times|Don't know|Refused to answer
BiB_1000,bib1000_6m_main,bib6b03abreathprob,BiB_1000.bib1000_6m_main.bib6b03abreathprob,Saw doctor - breathing problems,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
BiB_1000,bib1000_6m_main,bib6b03achestinf,BiB_1000.bib1000_6m_main.bib6b03achestinf,Saw doctor - chest infection,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
BiB_1000,bib1000_6m_main,bib6b03aconstipation,BiB_1000.bib1000_6m_main.bib6b03aconstipation,Saw doctor - constipation,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
BiB_1000,bib1000_6m_main,bib6b03aconvulsions,BiB_1000.bib1000_6m_main.bib6b03aconvulsions,Saw doctor - convulsions,decimal,,1|2|3|4,Yes|No|Don't know|Refused to answer
