project,table,variable,full_name,label,value_type,description,categories,categories_label
BiB_StartingSchool,stschool_info,BiBPersonID,BiB_StartingSchool.stschool_info.BiBPersonID,"",text,,,
BiB_StartingSchool,stschool_info,has_stschool_info,BiB_StartingSchool.stschool_info.has_stschool_info,Has starting school child info,decimal,,,
BiB_StartingSchool,stschool_info,agecm_ssbpvs,BiB_StartingSchool.stschool_info.agecm_ssbpvs,Age in months at BPVS,decimal,,,
BiB_StartingSchool,stschool_info,agecm_ssckat,BiB_StartingSchool.stschool_info.agecm_ssckat,Age in months at CKAT,decimal,,,
BiB_StartingSchool,stschool_info,agecm_ssclid,BiB_StartingSchool.stschool_info.agecm_ssclid,Age in months at Letter ID,decimal,,,
BiB_StartingSchool,stschool_info,agecm_sscsdq,BiB_StartingSchool.stschool_info.agecm_sscsdq,Age in months at SDQ,decimal,,,
BiB_StartingSchool,stschool_info,has_ssbpvs,BiB_StartingSchool.stschool_info.has_ssbpvs,Has Starting School BPVS,decimal,,1,has
BiB_StartingSchool,stschool_info,has_ssckat,BiB_StartingSchool.stschool_info.has_ssckat,Has Starting School CKAT,decimal,,1,has
BiB_StartingSchool,stschool_info,has_ssclid,BiB_StartingSchool.stschool_info.has_ssclid,Has Starting School Letter ID,decimal,,1,has
BiB_StartingSchool,stschool_info,has_sscsdq,BiB_StartingSchool.stschool_info.has_sscsdq,Has Starting School SDQ,decimal,,1,has
BiB_StartingSchool,stschool_info,has_stschl,BiB_StartingSchool.stschool_info.has_stschl,Is in Starting School cohort,decimal,,1,has
BiB_StartingSchool,stschool_info,ssgender,BiB_StartingSchool.stschool_info.ssgender,Child gender,decimal,,1|2,Male|Female
BiB_StartingSchool,stschool_info,ssschoolid,BiB_StartingSchool.stschool_info.ssschoolid,School reference number,decimal,,,
BiB_StartingSchool,stschool_info,sstermofbirth,BiB_StartingSchool.stschool_info.sstermofbirth,Term of birth,decimal,,1|2|3,Autumn|Spring|Summer
BiB_StartingSchool,stschool_bpvs,BiBPersonID,BiB_StartingSchool.stschool_bpvs.BiBPersonID,"",text,,,
BiB_StartingSchool,stschool_bpvs,has_stschool_bpvs,BiB_StartingSchool.stschool_bpvs.has_stschool_bpvs,Has starting school: bpvs,decimal,,,
BiB_StartingSchool,stschool_bpvs,has_ssbpvs,BiB_StartingSchool.stschool_bpvs.has_ssbpvs,Has Starting School BPVS,decimal,,1,has
BiB_StartingSchool,stschool_bpvs,ssbpvsBasalSet,BiB_StartingSchool.stschool_bpvs.ssbpvsBasalSet,BPVS Basal Set,decimal,,,
BiB_StartingSchool,stschool_bpvs,ssbpvsCeilingSet,BiB_StartingSchool.stschool_bpvs.ssbpvsCeilingSet,BPVS Ceiling Set,decimal,,,
BiB_StartingSchool,stschool_bpvs,ssbpvschronage,BiB_StartingSchool.stschool_bpvs.ssbpvschronage,BPVS Chronological Age,decimal,,,
BiB_StartingSchool,stschool_bpvs,ssbpvsrawscore,BiB_StartingSchool.stschool_bpvs.ssbpvsrawscore,BPVS Raw Score,decimal,,,
