variable,full_name,label,value_type,description,categories,categories_label
Cohort,COVID19_Survey.adult_bibbs_phase2.Cohort,Cohort,decimal,,1|2,BiB|Better Start
Date,COVID19_Survey.adult_bibbs_phase2.Date,Date of completion,date,,,
Gender,COVID19_Survey.adult_bibbs_phase2.Gender,Gender,decimal,,1|2,Female|Male
age_in_years,COVID19_Survey.adult_bibbs_phase2.age_in_years,Age in years,decimal,,,
ethnicity_mother_bibbs,COVID19_Survey.adult_bibbs_phase2.ethnicity_mother_bibbs,Ethnic group (mother) BiBBS coding,decimal,,1|2|3|4,White British|Pakistani heritage|Central/Eastern European|Other
lsoacode,COVID19_Survey.adult_bibbs_phase2.lsoacode,Lower Super Output Area Code (from questionnaire),text,,,
ward,COVID19_Survey.adult_bibbs_phase2.ward,Ward (from questionnaire),text,,,
imdrank,COVID19_Survey.adult_bibbs_phase2.imdrank,Index of Multiple Deprivation 2019 Rank(from questionnaire),decimal,,,
imdquintile,COVID19_Survey.adult_bibbs_phase2.imdquintile,Index of Multiple Deprivation 2019 Decile(from questionnaire),decimal,,1|2|3|4|5,Most deprived national IMD 2019 quintile|Second most deprived national IMD 2019 quintile|Third most deprived national IMD 2019 quintile|Fourth most deprived national IMD 2019 quintile|Fith most deprived national IMD 2019 quintile
c19b2_yn_satf,COVID19_Survey.adult_bibbs_phase2.c19b2_yn_satf,1) How satisfied or dissatisfied are you with the area you live in?,decimal,,1|2|3|4|5,1 = Very dissatisfied|2|3|4|5 = Very satisfied
c19b2_yn_grnspce_satf,COVID19_Survey.adult_bibbs_phase2.c19b2_yn_grnspce_satf,2) How satisfied or dissatisfied are you with the parks and green spaces in your,decimal,,1|2|3|4|5,1 = Very dissatisfied|2|3|4|5 = Very satisfied
c19b2_yn_outdr_wint,COVID19_Survey.adult_bibbs_phase2.c19b2_yn_outdr_wint,During the winter months (September-March),decimal,,0|1|2|3|4,5 times a week or more|2 to 4 times a week|Once a week|1 to 3 times a month|Less than once a month
