variable,full_name,label,value_type,description,categories,categories_label
baseline_timestamp,COVID19_Survey.adult_lockdown.baseline_timestamp,Survey Timestamp,text,,,
hh_relship,COVID19_Survey.adult_lockdown.hh_relship,What is your current relationship status?,decimal,,-1|1|2|3,Do not wish to answer|Single|Married|Not married but in a relationship
hh_living,COVID19_Survey.adult_lockdown.hh_living,Are you currently living with your partner?,decimal,,0|1,No|Yes
hh_nchild,COVID19_Survey.adult_lockdown.hh_nchild,Do any children aged 16 and under live in your home?,decimal,,0|1,No|Yes
hh_nchild_04,COVID19_Survey.adult_lockdown.hh_nchild_04,How many children aged between 0 and 4 years live in your home?,decimal,,,
hh_nchild_510,COVID19_Survey.adult_lockdown.hh_nchild_510,How many children aged between 5 and 10 years live in your home?,decimal,,,
hh_nchild_1116,COVID19_Survey.adult_lockdown.hh_nchild_1116,How many children aged between 11 and 16 years live in your home?,decimal,,,
hh_childlw,COVID19_Survey.adult_lockdown.hh_childlw,Does your child (or children) live with you all the time?,decimal,,0|1,No - shared parenting|Yes
hh_nadult,COVID19_Survey.adult_lockdown.hh_nadult,How many adults (people aged over 16 years) live in your home?,decimal,,,
hh_nadult_70,COVID19_Survey.adult_lockdown.hh_nadult_70,How many of these adults are over the age of 70?,decimal,,,
hh_slfisol_hr___1,COVID19_Survey.adult_lockdown.hh_slfisol_hr___1,Have you or anyone else in your household been advised by a health professional ,decimal,,0|1,Unchecked|Checked
hh_slfisol_hr___2,COVID19_Survey.adult_lockdown.hh_slfisol_hr___2,Have you or anyone else in your household been advised by a health professional ,decimal,,0|1,Unchecked|Checked
hh_slfisol_hr___0,COVID19_Survey.adult_lockdown.hh_slfisol_hr___0,Have you or anyone else in your household been advised by a health professional ,decimal,,0|1,Unchecked|Checked
hh_pregyou,COVID19_Survey.adult_lockdown.hh_pregyou,Are you currently pregnant?,decimal,,0|1,No|Yes
hh_pregyou_wks,COVID19_Survey.adult_lockdown.hh_pregyou_wks,How many weeks pregnant are you?,decimal,,,
hh_pregoth,COVID19_Survey.adult_lockdown.hh_pregoth,Are any other women in your household pregnant?,decimal,,0|1,No|Yes
hh_pregoth_wks,COVID19_Survey.adult_lockdown.hh_pregoth_wks,How many weeks pregnant are they?,decimal,,,
yh_own,COVID19_Survey.adult_lockdown.yh_own,Do you (or your household) own or rent the home you live in?,decimal,,1|2|3|4|5|6,Own it outright|Buying it with the help of a mortgage/loan|Part own and part rent (shared ownership)|Rent it (includes all those who are on Housing Benefit or Local Housing Allowance)|Live here rent-free (including rent-free in relatives/friends property but excluding squatters)|Squatting
yh_own_rent,COVID19_Survey.adult_lockdown.yh_own_rent,Who is your landlord?,decimal,,-2|1|2|3|4|5|6|7,"Dont know|Private landlord or letting agency|Housing association, housing co-operative, charitable trust|Local authority, local council|Relative or friend (before you lived here) of a household member|Employer (individual) of a household member|Employer (company) of a household member|Another organisation"
yh_bdroom,COVID19_Survey.adult_lockdown.yh_bdroom,How many bedrooms are there in your home?,decimal,,,
yh_net,COVID19_Survey.adult_lockdown.yh_net,Can you access the internet from your home (e.g. broadband / data on phone)?,decimal,,0|1,No|Yes
yh_rpair,COVID19_Survey.adult_lockdown.yh_rpair,Does your home need any major repairs doing to it right now?,decimal,,0|1,No|Yes
yh_appl,COVID19_Survey.adult_lockdown.yh_appl,"Are all of your large electrical appliances (e.g. washing machine, fridge) in go",decimal,,0|1,No|Yes
yh_damp,COVID19_Survey.adult_lockdown.yh_damp,Do you have any damp or mould in your home?,decimal,,0|1,No|Yes
yh_vrmin,COVID19_Survey.adult_lockdown.yh_vrmin,"Do you have trouble with any vermin (mice or other rodents, cockroaches, etc.) i",decimal,,0|1,No|Yes
yh_outdr,COVID19_Survey.adult_lockdown.yh_outdr,Does your home have an outdoor space which you and your family can use?,decimal,,0|1,No|Yes
yh_outdr_prvsh,COVID19_Survey.adult_lockdown.yh_outdr_prvsh,Is your outdoor space private or shared?,decimal,,1|2,Private|Shared
yh_outdr_type___1,COVID19_Survey.adult_lockdown.yh_outdr_type___1,Is your outdoor space a ... (choice=Yard),decimal,,0|1,Unchecked|Checked
yh_outdr_type___2,COVID19_Survey.adult_lockdown.yh_outdr_type___2,Is your outdoor space a ... (choice=Small garden),decimal,,0|1,Unchecked|Checked
yh_outdr_type___3,COVID19_Survey.adult_lockdown.yh_outdr_type___3,Is your outdoor space a ... (choice=Medium garden),decimal,,0|1,Unchecked|Checked
yh_outdr_type___4,COVID19_Survey.adult_lockdown.yh_outdr_type___4,Is your outdoor space a ... (choice=Large garden),decimal,,0|1,Unchecked|Checked
yh_outdr_type___5,COVID19_Survey.adult_lockdown.yh_outdr_type___5,Is your outdoor space a ... (choice=Other),decimal,,0|1,Unchecked|Checked
yh_outdr_safe,COVID19_Survey.adult_lockdown.yh_outdr_safe,Is your outdoor space safe for your children to play in?,decimal,,-2|0|1,Dont know|No|Yes
jbsc_kwrker,COVID19_Survey.adult_lockdown.jbsc_kwrker,Is anyone in your home classed as a Key Worker,decimal,,0|1,No|Yes
jbsc_kwrker_who___1,COVID19_Survey.adult_lockdown.jbsc_kwrker_who___1,Who is classed as a Key Worker? (choice=Myself),decimal,,0|1,Unchecked|Checked
jbsc_kwrker_who___2,COVID19_Survey.adult_lockdown.jbsc_kwrker_who___2,Who is classed as a Key Worker? (choice=My partner),decimal,,0|1,Unchecked|Checked
jbsc_kwrker_who___3,COVID19_Survey.adult_lockdown.jbsc_kwrker_who___3,Who is classed as a Key Worker? (choice=Other household member),decimal,,0|1,Unchecked|Checked
jbsc_main,COVID19_Survey.adult_lockdown.jbsc_main,Who is the main earner in the household?,decimal,,1|2|3|4,Me|My partner|Other household member|Me and my partner earn the same amount
jbsc_main_crntly,COVID19_Survey.adult_lockdown.jbsc_main_crntly,Is the main earner in your household currently...,decimal,,-2|1|2|3|4|5,Dont know|Employed|Employed but not working (on furlough)|Self employed and working|Self employed and not working|Unemployed
jbsc_main_hmwfh,COVID19_Survey.adult_lockdown.jbsc_main_hmwfh,"Are they mainly working from home, or going out to work?",decimal,,1|2,Working from home|Going out to work
