variable,full_name,label,value_type,description,categories,categories_label
Cohort,COVID19_Survey.child_phase1_sdq.Cohort,Cohort,text,,,
Gender,COVID19_Survey.child_phase1_sdq.Gender,Child's gender,decimal,,0|1,Male|Female
age_in_years,COVID19_Survey.child_phase1_sdq.age_in_years,Age in years,decimal,,,
ethnicity_mother,COVID19_Survey.child_phase1_sdq.ethnicity_mother,Ethnic group (mother),decimal,,1|2|3,White British|Pakistani|Other
sdq_consid,COVID19_Survey.child_phase1_sdq.sdq_consid,Considerate of other peoples feelings,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_restles,COVID19_Survey.child_phase1_sdq.sdq_restles,"Restless, overactive, cannot stay still for long",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_somatic,COVID19_Survey.child_phase1_sdq.sdq_somatic,"Often complains of headaches, stomach-aches or sickness",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_shares,COVID19_Survey.child_phase1_sdq.sdq_shares,"Shares readily with other children (treats,..., pencils etc.)",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_tantrum,COVID19_Survey.child_phase1_sdq.sdq_tantrum,Often has temper tantrums or hot tempers,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_loner,COVID19_Survey.child_phase1_sdq.sdq_loner,"Rather solitary, tends to play alone",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_obeys,COVID19_Survey.child_phase1_sdq.sdq_obeys,"Generally obedient, usually does what adults request",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_worries,COVID19_Survey.child_phase1_sdq.sdq_worries,"Many worries, often seems worried",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_caring,COVID19_Survey.child_phase1_sdq.sdq_caring,"Helpful if someone is hurt, upset or feeling ill",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_fidgety,COVID19_Survey.child_phase1_sdq.sdq_fidgety,Constantly fidgeting or squirming,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_friend,COVID19_Survey.child_phase1_sdq.sdq_friend,Has at least one good friend,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_fights,COVID19_Survey.child_phase1_sdq.sdq_fights,Often fights with other children or bullies them,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_unhappy,COVID19_Survey.child_phase1_sdq.sdq_unhappy,"Often unhappy, down-hearted or tearful",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_popular,COVID19_Survey.child_phase1_sdq.sdq_popular,Generally liked by other children,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_distrac,COVID19_Survey.child_phase1_sdq.sdq_distrac,"Easily distracted, concentration wanders",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_clingy,COVID19_Survey.child_phase1_sdq.sdq_clingy,"Nervous or clingy in new situations, easily loses confidence",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_kind,COVID19_Survey.child_phase1_sdq.sdq_kind,Kind to younger children,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_lies,COVID19_Survey.child_phase1_sdq.sdq_lies,Often lies or cheats,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_bullied,COVID19_Survey.child_phase1_sdq.sdq_bullied,Picked on or bullied by other children,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_helpout,COVID19_Survey.child_phase1_sdq.sdq_helpout,"Often volunteers to help others (parents, t...other children)",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_reflect,COVID19_Survey.child_phase1_sdq.sdq_reflect,Thinks things out before acting,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_steals,COVID19_Survey.child_phase1_sdq.sdq_steals,"Steals from home, school or elsewhere",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_oldbest,COVID19_Survey.child_phase1_sdq.sdq_oldbest,Gets on better with adults than with other children,decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_afraid,COVID19_Survey.child_phase1_sdq.sdq_afraid,"Many fears, easily scared",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_attends,COVID19_Survey.child_phase1_sdq.sdq_attends,"Sees tasks through to the end, good attention span",decimal,,0|1|2,Not True|Somewhat True|Certainly True
sdq_comments,COVID19_Survey.child_phase1_sdq.sdq_comments,Do you have any other comments or concerns?,text,,,
sdq_ebddiff,COVID19_Survey.child_phase1_sdq.sdq_ebddiff,"Overall, do you think that your child has d...h other people?",decimal,,0|1|2|3,No|Yes - minor difficulties|Yes - definite difficulties|Yes - severe difficulties
sdq_ebddiff_hwlong,COVID19_Survey.child_phase1_sdq.sdq_ebddiff_hwlong,How long have these difficulties been present?,decimal,,0|1|2|3,Less than a month|1-5 months|6-12 months|Over a year
sdq_distres,COVID19_Survey.child_phase1_sdq.sdq_distres,Do the difficulties upset or distress your child?,decimal,,0|1|2|3,Not at all|Only a little|Quite a lot|A great deal
sdq_imphome,COVID19_Survey.child_phase1_sdq.sdq_imphome,HOME LIFE,decimal,,0|1|2|3,Not at all|Only a little|Quite a lot|A great deal
sdq_impfrie,COVID19_Survey.child_phase1_sdq.sdq_impfrie,FRIENDSHIPS,decimal,,0|1|2|3,Not at all|Only a little|Quite a lot|A great deal
sdq_impclas,COVID19_Survey.child_phase1_sdq.sdq_impclas,CLASSROOM LEARNING,decimal,,0|1|2|3,Not at all|Only a little|Quite a lot|A great deal
sdq_impleis,COVID19_Survey.child_phase1_sdq.sdq_impleis,LEISURE ACTIVITIES,decimal,,0|1|2|3,Not at all|Only a little|Quite a lot|A great deal
sdq_burden,COVID19_Survey.child_phase1_sdq.sdq_burden,Do the difficulties put a burden on you or...ily as a whole?,decimal,,0|1|2|3,Not at all|Only a little|Quite a lot|A great deal
childsdq_complete,COVID19_Survey.child_phase1_sdq.childsdq_complete,Complete?,decimal,,0|1|2,Incomplete|Unverified|Complete
