variable,full_name,label,value_type,description,categories,categories_label
chys_7timesleep_c19c2,COVID19_Survey.child_phase3_covid.chys_7timesleep_c19c2,1A) In the last 7d what time have you normally fallen asleep?,text,,,
chys_7wknp_c19c2,COVID19_Survey.child_phase3_covid.chys_7wknp_c19c2,1B) In the last 7 days what time have you normally woken up (please write):,text,,,
chfl_7physactwkdy_c19c2___1,COVID19_Survey.child_phase3_covid.chfl_7physactwkdy_c19c2___1,2A) On a normal weekday (Monday to Friday) (please tick one) (choice=No activity,decimal,,0|1,Unchecked|Checked
chfl_7physactwkdy_c19c2___2,COVID19_Survey.child_phase3_covid.chfl_7physactwkdy_c19c2___2,2A) On a normal weekday (Monday to Friday) (please tick one) (choice=Small amoun,decimal,,0|1,Unchecked|Checked
chfl_7physactwkdy_c19c2___3,COVID19_Survey.child_phase3_covid.chfl_7physactwkdy_c19c2___3,2A) On a normal weekday (Monday to Friday) (please tick one) (choice=Small to Mo,decimal,,0|1,Unchecked|Checked
chfl_7physactwkdy_c19c2___4,COVID19_Survey.child_phase3_covid.chfl_7physactwkdy_c19c2___4,2A) On a normal weekday (Monday to Friday) (please tick one) (choice=Moderate to,decimal,,0|1,Unchecked|Checked
chfl_7physactwkdy_c19c2___5,COVID19_Survey.child_phase3_covid.chfl_7physactwkdy_c19c2___5,2A) On a normal weekday (Monday to Friday) (please tick one) (choice=Large amoun,decimal,,0|1,Unchecked|Checked
chfl_7physactwknd_c19c2___1,COVID19_Survey.child_phase3_covid.chfl_7physactwknd_c19c2___1,2B) On a normal weekend day (Saturday or Sunday) (Please tick one) (choice=No ac,decimal,,0|1,Unchecked|Checked
chfl_7physactwknd_c19c2___2,COVID19_Survey.child_phase3_covid.chfl_7physactwknd_c19c2___2,2B) On a normal weekend day (Saturday or Sunday) (Please tick one) (choice=Small,decimal,,0|1,Unchecked|Checked
chfl_7physactwknd_c19c2___3,COVID19_Survey.child_phase3_covid.chfl_7physactwknd_c19c2___3,2B) On a normal weekend day (Saturday or Sunday) (Please tick one) (choice=Small,decimal,,0|1,Unchecked|Checked
chfl_7physactwknd_c19c2___4,COVID19_Survey.child_phase3_covid.chfl_7physactwknd_c19c2___4,2B) On a normal weekend day (Saturday or Sunday) (Please tick one) (choice=Moder,decimal,,0|1,Unchecked|Checked
chfl_7physactwknd_c19c2___5,COVID19_Survey.child_phase3_covid.chfl_7physactwknd_c19c2___5,2B) On a normal weekend day (Saturday or Sunday) (Please tick one) (choice=Large,decimal,,0|1,Unchecked|Checked
c19c2_chfl_acttrvl_mor___1,COVID19_Survey.child_phase3_covid.c19c2_chfl_acttrvl_mor___1,"If in school holidays: When you are at school, on how many mornings do you activ",decimal,,0|1,Unchecked|Checked
c19c2_chfl_acttrvl_mor___2,COVID19_Survey.child_phase3_covid.c19c2_chfl_acttrvl_mor___2,"If in school holidays: When you are at school, on how many mornings do you activ",decimal,,0|1,Unchecked|Checked
c19c2_chfl_acttrvl_mor___3,COVID19_Survey.child_phase3_covid.c19c2_chfl_acttrvl_mor___3,"If in school holidays: When you are at school, on how many mornings do you activ",decimal,,0|1,Unchecked|Checked
c19c2_chfl_acttrvl_mor___4,COVID19_Survey.child_phase3_covid.c19c2_chfl_acttrvl_mor___4,"If in school holidays: When you are at school, on how many mornings do you activ",decimal,,0|1,Unchecked|Checked
c19c2_chfl_acttrvl_mor___5,COVID19_Survey.child_phase3_covid.c19c2_chfl_acttrvl_mor___5,"If in school holidays: When you are at school, on how many mornings do you activ",decimal,,0|1,Unchecked|Checked
c19c2_chfl_brktme_act___1,COVID19_Survey.child_phase3_covid.c19c2_chfl_brktme_act___1,"If in school holidays or not currently going to school: when you are at school,",decimal,,0|1,Unchecked|Checked
c19c2_chfl_brktme_act___2,COVID19_Survey.child_phase3_covid.c19c2_chfl_brktme_act___2,"If in school holidays or not currently going to school: when you are at school,",decimal,,0|1,Unchecked|Checked
c19c2_chfl_brktme_act___3,COVID19_Survey.child_phase3_covid.c19c2_chfl_brktme_act___3,"If in school holidays or not currently going to school: when you are at school,",decimal,,0|1,Unchecked|Checked
