project,table,variable,full_name,label,value_type,description,categories,categories_label
COVID19_Survey,adult_phase1,Cohort,COVID19_Survey.adult_phase1.Cohort,Cohort,decimal,,1|2,BiB|Better Start
COVID19_Survey,adult_phase1,BiBPersonID,COVID19_Survey.adult_phase1.BiBPersonID,BiB participant study ID,text,,,
COVID19_Survey,adult_phase1,BiBBSPersonID,COVID19_Survey.adult_phase1.BiBBSPersonID,"",text,,,
COVID19_Survey,adult_phase1,BiBParticipantType,COVID19_Survey.adult_phase1.BiBParticipantType,BiB Participant Type,text,,,
COVID19_Survey,adult_phase1,Date,COVID19_Survey.adult_phase1.Date,Date of COVID-19 Adult Wave 1 survey,date,,,
COVID19_Survey,adult_phase1,ethnicity,COVID19_Survey.adult_phase1.ethnicity,Ethnic group combined from different cohort data sources,decimal,,1|2|3,White British|Pakistani|Other
COVID19_Survey,adult_phase1,country,COVID19_Survey.adult_phase1.country,Country,text,,,
COVID19_Survey,adult_phase1,region,COVID19_Survey.adult_phase1.region,Region,text,,,
COVID19_Survey,adult_phase1,ladistrictcode2019,COVID19_Survey.adult_phase1.ladistrictcode2019,Local Authority District code (2019),text,,,
COVID19_Survey,adult_phase1,ladistrictname2019,COVID19_Survey.adult_phase1.ladistrictname2019,Local Authority District name (2019),text,,,
COVID19_Survey,adult_phase1,ward,COVID19_Survey.adult_phase1.ward,Ward,text,,,
COVID19_Survey,adult_phase1,lsoacode2011,COVID19_Survey.adult_phase1.lsoacode2011,LSOA code (2011),text,,,
COVID19_Survey,adult_phase1,lsoaname2011,COVID19_Survey.adult_phase1.lsoaname2011,"",text,,,
COVID19_Survey,adult_phase1,imdrank,COVID19_Survey.adult_phase1.imdrank,Index of Multiple Deprivation (IMD) Rank,decimal,,,
COVID19_Survey,adult_phase1,imddecile,COVID19_Survey.adult_phase1.imddecile,Index of Multiple Deprivation (IMD) Decile,decimal,,,
COVID19_Survey,adult_phase1,Age_01April2020,COVID19_Survey.adult_phase1.Age_01April2020,Age (years) as at 1st April 2020,decimal,,,
COVID19_Survey,adult_phase1,Gender,COVID19_Survey.adult_phase1.Gender,Respondent gender,decimal,,1|2,Female|Male
COVID19_Survey,adult_phase1,hh_relship,COVID19_Survey.adult_phase1.hh_relship,What is your current relationship status?,decimal,,-1|1|2|3,Do not wish to answer|Single|Married|Not married but in a relationship
COVID19_Survey,adult_phase1,hh_living,COVID19_Survey.adult_phase1.hh_living,Are you currently living with your partner?,decimal,,1|2|3,Yes|No|Not applicable - Single
COVID19_Survey,adult_phase1,hh_nchild,COVID19_Survey.adult_phase1.hh_nchild,Do any children aged 16 and under live in your home?,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,hh_nchild_04,COVID19_Survey.adult_phase1.hh_nchild_04,How many children aged between 0 and 4 years live in your home?,decimal,,,
COVID19_Survey,adult_phase1,hh_nchild_510,COVID19_Survey.adult_phase1.hh_nchild_510,How many children aged between 5 and 10 years live in your home?,decimal,,,
COVID19_Survey,adult_phase1,hh_nchild_1116,COVID19_Survey.adult_phase1.hh_nchild_1116,How many children aged between 11 and 16 years live in your home?,decimal,,,
COVID19_Survey,adult_phase1,hh_childlw,COVID19_Survey.adult_phase1.hh_childlw,Does your child (or children) live with you all the time?,decimal,,0|1,No - shared parenting|Yes
COVID19_Survey,adult_phase1,hh_nadult,COVID19_Survey.adult_phase1.hh_nadult,How many adults (people aged over 16 years) live in your home?,decimal,,,
COVID19_Survey,adult_phase1,hh_nadult_70,COVID19_Survey.adult_phase1.hh_nadult_70,How many of these adults are over the age of 70?,decimal,,,
COVID19_Survey,adult_phase1,hh_slfisol_any,COVID19_Survey.adult_phase1.hh_slfisol_any,Has anyone in household been advised by a health professional that they are high,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,hh_slfisol_resp,COVID19_Survey.adult_phase1.hh_slfisol_resp,Have you been advised by a health professional that they are high risk/ vulnerab,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,hh_slfisol_oth,COVID19_Survey.adult_phase1.hh_slfisol_oth,Have a person other than you in the household been advised by a health professio,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,hh_pregyou,COVID19_Survey.adult_phase1.hh_pregyou,Are you currently pregnant?,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,hh_pregyou_wks,COVID19_Survey.adult_phase1.hh_pregyou_wks,How many weeks pregnant are you?,decimal,,,
COVID19_Survey,adult_phase1,hh_pregoth,COVID19_Survey.adult_phase1.hh_pregoth,Are any other women in your household pregnant?,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,hh_pregoth_wks,COVID19_Survey.adult_phase1.hh_pregoth_wks,How many weeks pregnant are they?,decimal,,,
COVID19_Survey,adult_phase1,yh_own,COVID19_Survey.adult_phase1.yh_own,Do you (or your household) own or rent the home you live in?,decimal,,1|2|3|4|5|6,Own it outright|Buying it with the help of a mortgage/loan|Part own and part rent (shared ownership)|Rent it (includes all those who are on Housing Benefit or Local Housing Allowance)|Live here rent-free (including rent-free in relatives/friends property but excluding squatters)|Squatting
COVID19_Survey,adult_phase1,yh_own_rent,COVID19_Survey.adult_phase1.yh_own_rent,Who is your landlord?,decimal,,-2|1|2|3|4|5|6|7,"Dont know|Private landlord or letting agency|Housing association, housing co-operative, charitable trust|Local authority, local council|Relative or friend (before you lived here) of a household member|Employer (individual) of a household member|Employer (company) of a household member|Another organisation"
COVID19_Survey,adult_phase1,yh_bdroom,COVID19_Survey.adult_phase1.yh_bdroom,How many bedrooms are there in your home?,decimal,,,
COVID19_Survey,adult_phase1,yh_net,COVID19_Survey.adult_phase1.yh_net,Can you access the internet from your home (e.g. broadband / data on phone)?,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,yh_rpair,COVID19_Survey.adult_phase1.yh_rpair,Does your home need any major repairs doing to it right now?,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,yh_appl,COVID19_Survey.adult_phase1.yh_appl,"Are all of your large electrical appliances (e.g. washing machine, fridge) in go",decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,yh_damp,COVID19_Survey.adult_phase1.yh_damp,Do you have any damp or mould in your home?,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,yh_vrmin,COVID19_Survey.adult_phase1.yh_vrmin,"Do you have trouble with any vermin (mice or other rodents, cockroaches, etc.) i",decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,yh_outdr,COVID19_Survey.adult_phase1.yh_outdr,Does your home have an outdoor space which you and your family can use?,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,yh_outdr_prvsh,COVID19_Survey.adult_phase1.yh_outdr_prvsh,Is your outdoor space private or shared?,decimal,,1|2,Private|Shared
COVID19_Survey,adult_phase1,yh_outdr_yard,COVID19_Survey.adult_phase1.yh_outdr_yard,Do you have outside space type: Yard,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,yh_outdr_smlgdn,COVID19_Survey.adult_phase1.yh_outdr_smlgdn,Do you have outside space type: Small Garden,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,yh_outdr_medgdn,COVID19_Survey.adult_phase1.yh_outdr_medgdn,Do you have outside space type: Medium Garden,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,yh_outdr_lgegdn,COVID19_Survey.adult_phase1.yh_outdr_lgegdn,Do you have outside space type: Large Garden,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,yh_outdr_other,COVID19_Survey.adult_phase1.yh_outdr_other,Do you have outside space type: Other,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,yh_outdr_safe,COVID19_Survey.adult_phase1.yh_outdr_safe,Is your outdoor space safe for your children to play in?,decimal,,-2|0|1,Dont know|No|Yes
COVID19_Survey,adult_phase1,jbsc_kwrker,COVID19_Survey.adult_phase1.jbsc_kwrker,Is anyone in your home classed as a Key Worker,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,jbsc_kwrker_myself,COVID19_Survey.adult_phase1.jbsc_kwrker_myself,Who is classed as a Key Worker? (choice=Myself),decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,jbsc_kwrker_partner,COVID19_Survey.adult_phase1.jbsc_kwrker_partner,Who is classed as a Key Worker? (choice=My partner),decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,jbsc_kwrker_otherhh,COVID19_Survey.adult_phase1.jbsc_kwrker_otherhh,Who is classed as a Key Worker? (choice=Other household member),decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,jbsc_main,COVID19_Survey.adult_phase1.jbsc_main,Who is the main earner in the household?,decimal,,1|2|3|4,Me|My partner|Other household member|Me and my partner earn the same amount
COVID19_Survey,adult_phase1,jbsc_main_crntly,COVID19_Survey.adult_phase1.jbsc_main_crntly,Is the main earner in your household currently...,decimal,,-2|1|2|3|4|5,Dont know|Employed|Employed but not working (on furlough)|Self employed and working|Self employed and not working|Unemployed
COVID19_Survey,adult_phase1,jbsc_main_hmwfh,COVID19_Survey.adult_phase1.jbsc_main_hmwfh,"Are they mainly working from home, or going out to work?",decimal,,1|2,Working from home|Going out to work
COVID19_Survey,adult_phase1,jbsc_main_wry_1,COVID19_Survey.adult_phase1.jbsc_main_wry_1,I worry about the job security of the main earner,decimal,,1|2|3|4|5,Strongly disagree|Disagree|Neither agree nor disagree|Agree|Strongly agree
COVID19_Survey,adult_phase1,jbsc_main_wry_2,COVID19_Survey.adult_phase1.jbsc_main_wry_2,"In the next 12 months, do you expect the income of the main earner is likely to ",decimal,,-2|0|1,Dont know|No|Yes
COVID19_Survey,adult_phase1,jbsc_main_wry_3,COVID19_Survey.adult_phase1.jbsc_main_wry_3,"In 12 months time, do you expect the main earner to still have their job?",decimal,,-2|0|1,Dont know|No|Yes
COVID19_Survey,adult_phase1,hhe_buyfood,COVID19_Survey.adult_phase1.hhe_buyfood,I have been able to buy the food I needed in the shops.,decimal,,-1|-2|1|2|3,Do not wish to answer|Dont know|Never true|Sometimes true|Often true
COVID19_Survey,adult_phase1,hhe_ddntlast,COVID19_Survey.adult_phase1.hhe_ddntlast,"The food that (I/we) bought just didnt last, and (I/we) didnt have money to get ",decimal,,-1|-2|1|2|3,Do not wish to answer|Dont know|Never true|Sometimes true|Often true
COVID19_Survey,adult_phase1,hhe_balancd,COVID19_Survey.adult_phase1.hhe_balancd,(I/we) couldnt afford to eat balanced meals. ,decimal,,-1|-2|1|2|3,Do not wish to answer|Dont know|Never true|Sometimes true|Often true
COVID19_Survey,adult_phase1,hhe_skip,COVID19_Survey.adult_phase1.hhe_skip,Did you or other adults in your household ever cut the size of your meals or ski,decimal,,-1|-2|0|1,Do not wish to answer|Dont know|No|Yes
COVID19_Survey,adult_phase1,hhe_skipoftn,COVID19_Survey.adult_phase1.hhe_skipoftn,How often did you or other adults cut the size of meals or skip meals?,decimal,,-1|-2|1|2|3,Do not wish to answer|Dont know|Only 1 or 2 days|Some days but not every day|Almost every day
COVID19_Survey,adult_phase1,hhe_eatless,COVID19_Survey.adult_phase1.hhe_eatless,Did you or other adults ever eat less than you felt you should because there was,decimal,,-1|-2|0|1,Do not wish to answer|Dont know|No|Yes
COVID19_Survey,adult_phase1,hhe_hungry,COVID19_Survey.adult_phase1.hhe_hungry,Were you ever hungry but didnt eat because there wasnt enough money for food?,decimal,,-1|-2|0|1,Do not wish to answer|Dont know|No|Yes
COVID19_Survey,adult_phase1,hhe_finannow,COVID19_Survey.adult_phase1.hhe_finannow,How well would you say you are managing financially right now?,decimal,,-1|-2|1|2|3|4|5,Do not wish to answer|Dont know|Living comfortably|Doing alright|Just about getting by|Finding it quite difficult|Finding it very difficult
COVID19_Survey,adult_phase1,hhe_finan3m,COVID19_Survey.adult_phase1.hhe_finan3m,"Compared to 3 months ago, how would you say you are doing financially right now?",decimal,,-1|-2|1|2|3,Do not wish to answer|Dont know|Better off|About the same|Worse off
COVID19_Survey,adult_phase1,hhe_bills,COVID19_Survey.adult_phase1.hhe_bills,Sometimes people are not able to pay every bill when it is due. Are you currentl,decimal,,-1|-2|0|1,Do not wish to answer|Dont know|No|Yes
COVID19_Survey,adult_phase1,hhe_relief,COVID19_Survey.adult_phase1.hhe_relief,Did you know that some households can apply to take mortgage holidays or rent re,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,hhe_relief_tkn,COVID19_Survey.adult_phase1.hhe_relief_tkn,Are you taking the mortgage holiday or the rent relief loan at the moment?,decimal,,-1|-2|0|1,Do not wish to answer|Dont know|No|Yes
COVID19_Survey,adult_phase1,hhe_relief_nxt,COVID19_Survey.adult_phase1.hhe_relief_nxt,Do you think you will take the mortgage holiday / rent relief in the next month?,decimal,,-1|-2|0|1,Do not wish to answer|Dont know|No|Yes
COVID19_Survey,adult_phase1,hhe_wrypay,COVID19_Survey.adult_phase1.hhe_wrypay,I worry about paying the rent / mortgage,decimal,,1|2|3|4|5,Strongly disagree|Disagree|Neither agree nor disagree|Agree|Strongly agree
COVID19_Survey,adult_phase1,hhe_wryevic,COVID19_Survey.adult_phase1.hhe_wryevic,I worry about getting evicted / having my home repossessed,decimal,,1|2|3|4|5,Strongly disagree|Disagree|Neither agree nor disagree|Agree|Strongly agree
COVID19_Survey,adult_phase1,fh_slfisol_nw,COVID19_Survey.adult_phase1.fh_slfisol_nw,"Is your household currently self isolating (that is, not leaving the house at al",decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_slfisol_nw_why1,COVID19_Survey.adult_phase1.fh_slfisol_nw_why1,Why are you self isolating? (choice=Contact with someone with symptoms of corona,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_slfisol_nw_why2,COVID19_Survey.adult_phase1.fh_slfisol_nw_why2,Why are you self isolating? (choice=Had coronavirus symptoms yourself),decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_slfisol_nw_why3,COVID19_Survey.adult_phase1.fh_slfisol_nw_why3,Why are you self isolating? (choice=Someone in the household had symptoms of cor,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_slfisol_nw_why4,COVID19_Survey.adult_phase1.fh_slfisol_nw_why4,Why are you self isolating? (choice=To protect a vulnerable person in the househ,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_slfisol_nw_why5,COVID19_Survey.adult_phase1.fh_slfisol_nw_why5,Why are you self isolating? (choice=Other),decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_slfisol_past,COVID19_Survey.adult_phase1.fh_slfisol_past,"Has your household had to self-isolate for any reason (that is, not leaving the ",decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_slfisol_past_why1,COVID19_Survey.adult_phase1.fh_slfisol_past_why1,What was the reason you had to self-isolate? (choice=Contact with someone with s,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_slfisol_past_why2,COVID19_Survey.adult_phase1.fh_slfisol_past_why2,What was the reason you had to self-isolate? (choice=Had coronavirus symptoms yo,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_slfisol_past_why3,COVID19_Survey.adult_phase1.fh_slfisol_past_why3,What was the reason you had to self-isolate? (choice=Someone in the household ha,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_slfisol_past_why4,COVID19_Survey.adult_phase1.fh_slfisol_past_why4,What was the reason you had to self-isolate? (choice=To protect a vulnerable per,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_slfisol_past_why5,COVID19_Survey.adult_phase1.fh_slfisol_past_why5,What was the reason you had to self-isolate? (choice=Other),decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_slfisol_past_days,COVID19_Survey.adult_phase1.fh_slfisol_past_days,How many days did you self-isolate for?,decimal,,,
COVID19_Survey,adult_phase1,fh_smoke,COVID19_Survey.adult_phase1.fh_smoke,Do you smoke?,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_smoke_hwmch,COVID19_Survey.adult_phase1.fh_smoke_hwmch,Over the past week have you smoked...,decimal,,0|1|2,About the same|Less than usual|More than usual
COVID19_Survey,adult_phase1,fh_ecig,COVID19_Survey.adult_phase1.fh_ecig,Do you vape or use e-cigarettes?,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_ecig_hwmch,COVID19_Survey.adult_phase1.fh_ecig_hwmch,Over the past week have you vaped or used e-cigarettes...,decimal,,0|1|2,About the same|Less than usual|More than usual
COVID19_Survey,adult_phase1,fh_alc,COVID19_Survey.adult_phase1.fh_alc,Do you drink alcohol?,decimal,,0|1,No|Yes
COVID19_Survey,adult_phase1,fh_alc_hwmch,COVID19_Survey.adult_phase1.fh_alc_hwmch,Over the past week have you drunk...,decimal,,0|1|2,About the same|Less than usual|More than usual
COVID19_Survey,adult_phase1,fh_feeling,COVID19_Survey.adult_phase1.fh_feeling,Which of the following best describes how youve been feeling over the past week?,decimal,,0|1|2|3,I do not worry about my health|I occasionally worry about my health|I spend much of my time worrying about my health|I spend most of my time worrying about health
COVID19_Survey,adult_phase1,fh_genhealth,COVID19_Survey.adult_phase1.fh_genhealth,How would you describe your health generally?,decimal,,-1|-2|1|2|3|4|5,Do not wish to answer|Dont know|Excellent|Very good|Good|Fair|Poor
COVID19_Survey,adult_phase1,fh_phq_1,COVID19_Survey.adult_phase1.fh_phq_1,Little interest or pleasure in doing things,decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_phq_2,COVID19_Survey.adult_phase1.fh_phq_2,"Feeling down, depressed, or hopeless",decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_phq_3,COVID19_Survey.adult_phase1.fh_phq_3,"Trouble falling or staying asleep, or sleeping too much",decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_phq_4,COVID19_Survey.adult_phase1.fh_phq_4,Feeling tired or having little energy,decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_phq_5,COVID19_Survey.adult_phase1.fh_phq_5,Poor appetite or overeating,decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_phq_6,COVID19_Survey.adult_phase1.fh_phq_6,Feeling bad about yourself,decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_phq_7,COVID19_Survey.adult_phase1.fh_phq_7,"Trouble concentrating on things, such as reading the newspaper or watching telev",decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_phq_8,COVID19_Survey.adult_phase1.fh_phq_8,Moving or speaking so slowly that other people could have noticed? Or the opposi,decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_phq_hwdiff,COVID19_Survey.adult_phase1.fh_phq_hwdiff,"If you checked off any problems, how difficult have these problems made it for y",decimal,,0|1|2|3,Not at all|Somewhat difficult|Very difficult|Extremely difficult
COVID19_Survey,adult_phase1,fh_phq_Score,COVID19_Survey.adult_phase1.fh_phq_Score,PHQ8  Total Score,decimal,,,
COVID19_Survey,adult_phase1,fh_phq_Group,COVID19_Survey.adult_phase1.fh_phq_Group,PHQ8  Total Score - Grouped,decimal,,1|2|3|4|5,None|Mild|Moderate|Moderately severe|Severe
COVID19_Survey,adult_phase1,fh_gad_1,COVID19_Survey.adult_phase1.fh_gad_1,"Feeling nervous, anxious or on an edge?",decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_gad_2,COVID19_Survey.adult_phase1.fh_gad_2,Not being able to stop or control worrying?,decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_gad_3,COVID19_Survey.adult_phase1.fh_gad_3,Worrying too much about different things?,decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_gad_4,COVID19_Survey.adult_phase1.fh_gad_4,Trouble relaxing?,decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_gad_5,COVID19_Survey.adult_phase1.fh_gad_5,Being so restless that it is hard to sit still?,decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_gad_6,COVID19_Survey.adult_phase1.fh_gad_6,Becoming easily annoyed or irritable?,decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_gad_7,COVID19_Survey.adult_phase1.fh_gad_7,Feeling afraid as if something awful might happen?,decimal,,0|1|2|3,Not at all|Several days|More than half the days|Nearly every day
COVID19_Survey,adult_phase1,fh_gad_Score,COVID19_Survey.adult_phase1.fh_gad_Score,GAD 7  Total Score,decimal,,,
COVID19_Survey,adult_phase1,fh_gad_Group,COVID19_Survey.adult_phase1.fh_gad_Group,GAD 7  Total Score - Grouped,decimal,,1|2|3|4,None|Mild|Moderate|Severe
