table_id,project_name,table_name,display_name,cohort_membership,entity_type,data_subjects,data_respondents,n_variables,n_rows,n_entities,last_updated
BiB_CohortInfo.person_info,BiB_CohortInfo,person_info,BiB person-level information,bib,participant,,,12,29664,29664,2024-06-20 15:21:35
BiB_CohortInfo.ethnicity,BiB_CohortInfo,ethnicity,Ethnicity information about BiB cohort participants,bib,participant,,,4,29668,29664,2024-05-14 09:12:25
BiB_CohortInfo.related_pairs,BiB_CohortInfo,related_pairs,BiB participant related pairs,bib,participant,,,6,41602,29579,2024-05-14 09:12:27
BiB_CohortInfo.child_info,BiB_CohortInfo,child_info,Person information Child,bib,participant,,,7,13858,13858,2024-05-14 09:12:24
BiB_CohortInfo.father_info,BiB_CohortInfo,father_info,Person information Father,bib,participant,,,8,3353,3353,2024-05-14 09:12:25
BiB_CohortInfo.mother_info,BiB_CohortInfo,mother_info,Person information Mother,bib,participant,,,8,12453,12453,2024-05-14 09:12:26
BiB_CohortInfo.id_linkage,BiB_CohortInfo,id_linkage,ID Linkage,bib,participant,,,4,13959,13776,2024-05-14 09:12:25
BiB_CohortInfo.preg_info,BiB_CohortInfo,preg_info,Pregnancy information,bib,participant,,,10,13776,12453,2024-05-14 09:12:26
BiB_CohortInfo.genotyping_info,BiB_CohortInfo,genotyping_info,BiB genotyping data linkage,bib,participant,,,10,21256,20710,2024-05-14 09:12:25
BiB_CohortInfo.exomeseq_info,BiB_CohortInfo,exomeseq_info,BiB exome sequencing data linkage,bib,participant,,,7,3265,3092,2024-05-14 09:12:25
BiB_CohortInfo.dnam_info,BiB_CohortInfo,dnam_info,BiB DNA methylation data linkage,bib,participant,,,6,1885,1883,2024-05-14 09:12:24
BiB_CohortInfo.dnam_controls,BiB_CohortInfo,dnam_controls,BiB DNA methylation control sample IDs,bib,lab_id,,,1,25,1,2024-05-14 09:12:24
BiB_Baseline.base_m_survey,BiB_Baseline,base_m_survey,Mother baseline survey,bib,participant,,,342,11395,10519,2024-05-14 09:12:00
BiB_Baseline.base_m2_foodfrequency,BiB_Baseline,base_m2_foodfrequency,Mother food frequency and knowledge survey questions phase 2,bib,participant,,,43,4494,4494,2024-05-14 09:12:04
BiB_Baseline.base_m1_consumptionoffats,BiB_Baseline,base_m1_consumptionoffats,Mother consumption of fats survey questions phase 1,bib,participant,,,21,104,104,2024-05-14 09:12:03
BiB_Baseline.base_m12_cookingmethods,BiB_Baseline,base_m12_cookingmethods,Mother cooking methods survey questions phase 1 and phase 2,bib,participant,,,21,7056,7055,2024-05-14 09:12:03
BiB_Baseline.base_m1_exercise,BiB_Baseline,base_m1_exercise,BiB Baseline mother exercise phase 1,bib,participant,,,14,1791,1769,2024-05-14 09:12:03
BiB_Baseline.base_m1_foodfrequency,BiB_Baseline,base_m1_foodfrequency,BiB Baseline mother food frequency phase 1,bib,participant,,,116,1776,1776,2024-05-14 09:12:03
BiB_Baseline.base_m23_exercise,BiB_Baseline,base_m23_exercise,BiB Baseline mother exercise phase 2 and phase 3,bib,participant,,,12,9739,9602,2024-05-14 09:12:04
BiB_Baseline.base_m1_survey,BiB_Baseline,base_m1_survey,Mother baseline phase 1,bib,participant,,,21,1571,1571,2024-05-14 09:12:03
BiB_Baseline.base_f_survey,BiB_Baseline,base_f_survey,Father baseline survey,bib,participant,,,26,3387,3287,2024-05-14 09:11:57
BiB_Baseline.base_m23_survey,BiB_Baseline,base_m23_survey,Mother baseline phase 2 and 3,bib,participant,,,13,9619,9096,2024-05-14 09:12:04
BiB_Biobank.current_samples,BiB_Biobank,current_samples,BiB biobank current samples,bib,participant,,,8,111109,23957,2024-05-14 09:12:06
BiB_Pregnancy.eclipse_preg,BiB_Pregnancy,eclipse_preg,Eclipse pregnancy record,bib,participant,,,35,13361,12075,2024-05-14 09:13:56
BiB_Pregnancy.eclipse_baby,BiB_Pregnancy,eclipse_baby,Eclipse neonatal record,bib,participant,,,29,13525,13525,2024-05-14 09:13:55
BiB_Pregnancy.matrecs_bib_mum,BiB_Pregnancy,matrecs_bib_mum,Maternity records mother info,bib,participant,,,4,10142,10142,2024-05-14 09:13:58
BiB_Pregnancy.matrecs_prebib_preg,BiB_Pregnancy,matrecs_prebib_preg,Maternity records pre-BiB pregnancy,bib,participant,,,13,10642,5611,2024-05-14 09:14:05
BiB_Pregnancy.matrecs_prebib_inf,BiB_Pregnancy,matrecs_prebib_inf,Maternity records pre-BiB infant,bib,participant,,,10,10660,5602,2024-05-14 09:14:05
BiB_Pregnancy.matrecs_bib_preg,BiB_Pregnancy,matrecs_bib_preg,Maternity records BiB pregnancy,bib,participant,,,143,10939,10041,2024-05-14 09:14:00
BiB_Pregnancy.matrecs_bib_admiss,BiB_Pregnancy,matrecs_bib_admiss,Maternity records admissions,bib,participant,,,17,858,813,2024-05-14 09:13:57
BiB_Pregnancy.matrecs_bib_pregbp,BiB_Pregnancy,matrecs_bib_pregbp,Maternity records pregnancy blood pressure,bib,participant,,,8,117578,10005,2024-05-14 09:14:04
BiB_Pregnancy.matrecs_bib_labbp,BiB_Pregnancy,matrecs_bib_labbp,Maternity records labour blood pressure,bib,participant,,,8,8643,7995,2024-05-14 09:13:58
BiB_Pregnancy.matrecs_bib_postbp,BiB_Pregnancy,matrecs_bib_postbp,Maternity records post-partum blood pressure,bib,participant,,,7,36379,9292,2024-05-14 09:13:59
BiB_Pregnancy.matrecs_bib_meds,BiB_Pregnancy,matrecs_bib_meds,Maternity records medications,bib,participant,,,6,4937,3664,2024-05-14 09:13:58
BiB_Pregnancy.matrecs_bib_oedema,BiB_Pregnancy,matrecs_bib_oedema,Maternity records oedema,bib,participant,,,12,6658,3151,2024-05-14 09:13:58
BiB_Pregnancy.matrecs_bib_proteinuria,BiB_Pregnancy,matrecs_bib_proteinuria,Maternity records proteinuria,bib,participant,,,7,17300,6918,2024-05-14 09:14:05
BiB_Pregnancy.matrecs_bib_inf,BiB_Pregnancy,matrecs_bib_inf,Maternity records BiB infant,bib,participant,,,13,11010,11010,2024-05-14 09:13:58
BiB_Pregnancy.pregnancy_ultrasound,BiB_Pregnancy,pregnancy_ultrasound,Pregnancy ultrasound scan,bib,participant,,,59,45835,11979,2024-05-14 09:14:09
BiB_Pregnancy.fetal_renal,BiB_Pregnancy,fetal_renal,Fetal renal ultrasound,bib,participant,,,59,1803,1781,2024-05-14 09:13:57
BiB_Metabolomics.metms_pairm_s,BiB_Metabolomics,metms_pairm_s,MS metabolomics paired mother samples scaled,bib,participant,,,1170,1000,999,2024-05-14 09:13:42
BiB_Metabolomics.metms_pairm_r,BiB_Metabolomics,metms_pairm_r,MS metabolomics paired mother samples raw,bib,participant,,,1170,1000,999,2024-05-14 09:13:39
BiB_Metabolomics.metms_pairm_h,BiB_Metabolomics,metms_pairm_h,MS metabolomics paired mother samples header,bib,participant,,,6,1000,999,2024-05-14 09:13:37
BiB_Metabolomics.metms_pairm_c,BiB_Metabolomics,metms_pairm_c,MS metabolomics paired mother samples compound metadata,bib,compound,,,19,1168,1168,2024-05-14 09:13:37
BiB_Metabolomics.metms_pairc_s,BiB_Metabolomics,metms_pairc_s,MS metabolomics paired child samples scaled,bib,participant,,,1170,1000,1000,2024-05-14 09:13:35
BiB_Metabolomics.metms_pairc_r,BiB_Metabolomics,metms_pairc_r,MS metabolomics paired child samples raw,bib,participant,,,1170,1000,1000,2024-05-14 09:13:31
BiB_Metabolomics.metms_pairc_h,BiB_Metabolomics,metms_pairc_h,MS metabolomics paired child samples header,bib,participant,,,6,1000,1000,2024-05-14 09:13:29
BiB_Metabolomics.metms_pairc_c,BiB_Metabolomics,metms_pairc_c,MS metabolomics paired child samples compound metadata,bib,compound,,,19,1168,1168,2024-05-14 09:13:29
BiB_Metabolomics.metms_2k_s,BiB_Metabolomics,metms_2k_s,MS metabolomics 2000 mothers scaled,bib,participant,,,1241,2000,2000,2024-05-14 09:13:26
BiB_Metabolomics.metms_2k_r,BiB_Metabolomics,metms_2k_r,MS metabolomics 2000 mothers raw,bib,participant,,,1241,2000,2000,2024-05-14 09:13:19
BiB_Metabolomics.metms_2k_h,BiB_Metabolomics,metms_2k_h,MS metabolomics 2000 mothers header,bib,participant,,,6,2000,2000,2024-05-14 09:13:13
