variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB4All_Dental.bib4all_dental_activity.Cohort,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,Cohort,Which cohort is the participant in?,categorical,[1 BiB] [2 BiB4All] [3 BiBBS],,43081,1
BiB4All_Dental.bib4all_dental_activity.BiB4AllPersonID,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,BiB4AllPersonID,BiB4All PersonID,text,,,43081,1
BiB4All_Dental.bib4all_dental_activity.Gender,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,Gender,Gender,categorical,[1 Male] [2 Female],gender,43028,1
BiB4All_Dental.bib4all_dental_activity.Ethnicity5_cat,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,Ethnicity5_cat,Ethnic origin 5 categories,categorical,"[1 Asian, Asian British or Asian Welsh] [2 Black, Black British, Black Welsh, Caribbean or African] [3 Mixed or Multiple ethnic groups] [4 White] [5 Other ethnic groups]",ethnic_group,25307,1
BiB4All_Dental.bib4all_dental_activity.Month_Birth,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,Month_Birth,Month of birth,integer,,age,43028,1
BiB4All_Dental.bib4all_dental_activity.Year_Birth,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,Year_Birth,Year of birth,integer,,age,43028,1
BiB4All_Dental.bib4all_dental_activity.ParticipantType,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,ParticipantType,Participant type,categorical,[1 Mother] [2 Child] [3 Father] [4 Partner],,43081,1
BiB4All_Dental.bib4all_dental_activity.Date_Acceptance,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,Date_Acceptance,Date of acceptance for course of treatment,text,,administration,43081,1
BiB4All_Dental.bib4all_dental_activity.Date_Completion_LastVisit,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,Date_Completion_LastVisit,Date of completion or last visit,text,,administration,43081,1
BiB4All_Dental.bib4all_dental_activity.Treatment_Referral,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,Treatment_Referral,Treating patient that has been referred to dentist,categorical,[0 No] [1 Yes],oral_dental_health,43081,1
BiB4All_Dental.bib4all_dental_activity.Date_Referral,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,Date_Referral,Date of referral,text,,administration,43081,1
BiB4All_Dental.bib4all_dental_activity.Date_Assessment,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,Date_Assessment,Date of assessment,text,,administration,43081,1
BiB4All_Dental.bib4all_dental_activity.Date_Appliance_Fitted,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,Date_Appliance_Fitted,Date appliance fitted,text,,administration,43081,1
BiB4All_Dental.bib4all_dental_activity.Incomplete_Treatment_Flag,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,Incomplete_Treatment_Flag,Treatment commenced but not completed,categorical,[0 No] [1 Yes],oral_dental_health,43081,1
BiB4All_Dental.bib4all_dental_activity.SP_Flag,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,SP_Flag,Scale and Polish,categorical,[0 No] [1 Yes],oral_dental_health,43081,1
BiB4All_Dental.bib4all_dental_activity.FV_Flag,BiB4All_Dental.bib4all_dental_activity,BiB4All_Dental,bib4all_dental_activity,FV_Flag,Fluoride Varnish,categorical,[0 No] [1 Yes],oral_dental_health,43081,1
