project,table,variable
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,property_id
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_inspection_date
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_construction_age_band
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_built_form
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_property_type
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_floor_level
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_flat_storey_count
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_flat_top_storey
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_total_floor_area
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_floor_height
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_number_heated_rooms
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_number_habitable_rooms
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_extension_count
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_glazed_area
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_glazed_type
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_energy_use_current
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_energy_use_potential
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_hot_water_cost_current
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_heating_cost_current
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_lighting_cost_current
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_potential_energy_effcncy
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_current_energy_effcncy
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_potential_energy_rating
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_current_energy_rating
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_transaction_type
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,iq_2021_tenure_type
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_footprint_a
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_height_a
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_volume_a
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_floorarea_a
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_fsi_c
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_gsi_c
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_osr_c
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_l_c
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_blockarea_c
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_footprint_c_sum
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_height_c_mean
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_floorarea_c_sum
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_volume_c_sum
BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,be_2021_volume_density_c
