variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB4All_Geographic.bib4all_geog_food_environment.property_id,BiB4All_Geographic.bib4all_geog_food_environment,BiB4All_Geographic,bib4all_geog_food_environment,property_id,Unique ID of property (BiB generated),text,,,11274,11274
BiB4All_Geographic.bib4all_geog_food_environment.fe_2021_all_count_e_4_0_001,BiB4All_Geographic.bib4all_geog_food_environment,BiB4All_Geographic,bib4all_geog_food_environment,fe_2021_all_count_e_4_0_001,Distance decay weighted (0.001) count of all food outlets,float,,environmental_exposure,10133,10133
BiB4All_Geographic.bib4all_geog_food_environment.fe_2021_all_count_e_4_0_003,BiB4All_Geographic.bib4all_geog_food_environment,BiB4All_Geographic,bib4all_geog_food_environment,fe_2021_all_count_e_4_0_003,Distance decay weighted (0.003) count of all food outlets,float,,environmental_exposure,10133,10133
BiB4All_Geographic.bib4all_geog_food_environment.fe_2021_all_count_e_4_0_005,BiB4All_Geographic.bib4all_geog_food_environment,BiB4All_Geographic,bib4all_geog_food_environment,fe_2021_all_count_e_4_0_005,Distance decay weighted (0.005) count of all food outlets,float,,environmental_exposure,10133,10133
BiB4All_Geographic.bib4all_geog_food_environment.fe_2021_all_count_e_4_0_007,BiB4All_Geographic.bib4all_geog_food_environment,BiB4All_Geographic,bib4all_geog_food_environment,fe_2021_all_count_e_4_0_007,Distance decay weighted (0.007) count of all food outlets,float,,environmental_exposure,10133,10133
BiB4All_Geographic.bib4all_geog_food_environment.fe_2021_all_count_e_4_0_01,BiB4All_Geographic.bib4all_geog_food_environment,BiB4All_Geographic,bib4all_geog_food_environment,fe_2021_all_count_e_4_0_01,Distance decay weighted (0.01) count of all food outlets,float,,environmental_exposure,10133,10133
BiB4All_Geographic.bib4all_geog_food_environment.fe_2021_all_count_f_2_300,BiB4All_Geographic.bib4all_geog_food_environment,BiB4All_Geographic,bib4all_geog_food_environment,fe_2021_all_count_f_2_300,Count of all food outlets within street network 300m,integer,,environmental_exposure,10133,10133
BiB4All_Geographic.bib4all_geog_food_environment.fe_2021_all_count_f_2500,BiB4All_Geographic.bib4all_geog_food_environment,BiB4All_Geographic,bib4all_geog_food_environment,fe_2021_all_count_f_2500,Count of all food outlets within street network of 500m,integer,,environmental_exposure,10133,10133
BiB4All_Geographic.bib4all_geog_food_environment.fe_2021_all_count_f_2_1000,BiB4All_Geographic.bib4all_geog_food_environment,BiB4All_Geographic,bib4all_geog_food_environment,fe_2021_all_count_f_2_1000,Count of all food outlets within street network of 1000m,integer,,environmental_exposure,10133,10133
BiB4All_Geographic.bib4all_geog_food_environment.fe_2021_all_count_f_2_1500,BiB4All_Geographic.bib4all_geog_food_environment,BiB4All_Geographic,bib4all_geog_food_environment,fe_2021_all_count_f_2_1500,Count of all food outlets within street network of 1500m,integer,,environmental_exposure,10133,10133
