project,table,variable
BiB4All_Geographic,bib4all_geog_lsoa,LSOA11CD
BiB4All_Geographic,bib4all_geog_lsoa,IMD_2010_decile
BiB4All_Geographic,bib4all_geog_lsoa,IMD_2010_score
BiB4All_Geographic,bib4all_geog_lsoa,IMD_2019_decile
BiB4All_Geographic,bib4all_geog_lsoa,IMD_2019_score
BiB4All_Geographic,bib4all_geog_lsoa,IMD_2019_decile_bfd
BiB4All_Geographic,bib4all_geog_lsoa,IDACI_2019_decile
BiB4All_Geographic,bib4all_geog_lsoa,IDACI_2019_score
BiB4All_Geographic,bib4all_geog_lsoa,TDI_2011_score
BiB4All_Geographic,bib4all_geog_lsoa,TDI_2011_quintile
BiB4All_Geographic,bib4all_geog_lsoa,carstairs_index_2011
