variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB4All_Geographic.bib4all_geog_person.PersonID,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,PersonID,,text,,,101646,15316
BiB4All_Geographic.bib4all_geog_person.ParticipantType,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,ParticipantType,Participants relationship in the family,text,,administration,101646,15316
BiB4All_Geographic.bib4all_geog_person.age_m,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,age_m,Participants actual age (months),integer,,age,101646,15316
BiB4All_Geographic.bib4all_geog_person.age_closest_data_point,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,age_closest_data_point,Age at latest available address data (months),integer,,age,96704,14542
BiB4All_Geographic.bib4all_geog_person.date,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,date,Date at 6m period,date,,administration,101646,15316
BiB4All_Geographic.bib4all_geog_person.date_address_data_received,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,date_address_data_received,Date of latest available address data for this time point,date,,administration,96704,14542
BiB4All_Geographic.bib4all_geog_person.months_to_closest_data_received,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,months_to_closest_data_received,Difference in months between actual age and age at latest available data,integer,,administration,96704,14542
BiB4All_Geographic.bib4all_geog_person.property_id,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,property_id,Unique ID of property (BiB generated),text,,administration,101646,15316
BiB4All_Geographic.bib4all_geog_person.move_no,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,move_no,Cumulative number of times participant moved house including current data point,integer,,administration,99770,14811
BiB4All_Geographic.bib4all_geog_person.total_moves,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,total_moves,Total number of times participant has moved house within BiB study period,integer,,administration,99770,14811
BiB4All_Geographic.bib4all_geog_person.LSOA11CD,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,LSOA11CD,LSOA 2011 code,text,,location,101646,15316
BiB4All_Geographic.bib4all_geog_person.data_source,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,data_source,Source of data: registration or tracing,categorical,[1 Registration] [2 Tracing],administration,99770,14811
BiB4All_Geographic.bib4all_geog_person.not_in_eng_wales,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,not_in_eng_wales,If yes (1) sensitive columns have been set to NA to avoid disclosure of data,categorical,[0 No] [1 Yes],administration,99770,14811
BiB4All_Geographic.bib4all_geog_person.no_historical_address_data,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,no_historical_address_data,If yes (1) then address data was not available from tracing or registration data,categorical,[0 No] [1 Yes],administration,101646,15316
BiB4All_Geographic.bib4all_geog_person.low_qual_data,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,low_qual_data,"If yes (1), the geocoded data is of unreliable quality and has been removed",categorical,[0 No] [1 Yes],administration,99770,14811
BiB4All_Geographic.bib4all_geog_person.is_data_interpolated,BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,is_data_interpolated,"If yes (1), address record has been interpolated from closest available data",integer,,administration,96704,14542
