project,table,variable
BiB4All_Geographic,bib4all_geog_person,PersonID
BiB4All_Geographic,bib4all_geog_person,ParticipantType
BiB4All_Geographic,bib4all_geog_person,age_m
BiB4All_Geographic,bib4all_geog_person,age_closest_data_point
BiB4All_Geographic,bib4all_geog_person,date
BiB4All_Geographic,bib4all_geog_person,date_address_data_received
BiB4All_Geographic,bib4all_geog_person,months_to_closest_data_received
BiB4All_Geographic,bib4all_geog_person,property_id
BiB4All_Geographic,bib4all_geog_person,move_no
BiB4All_Geographic,bib4all_geog_person,total_moves
BiB4All_Geographic,bib4all_geog_person,LSOA11CD
BiB4All_Geographic,bib4all_geog_person,data_source
BiB4All_Geographic,bib4all_geog_person,not_in_eng_wales
BiB4All_Geographic,bib4all_geog_person,no_historical_address_data
BiB4All_Geographic,bib4all_geog_person,low_qual_data
BiB4All_Geographic,bib4all_geog_person,is_data_interpolated
