project,table,variable
BiB4All_Geographic,bib4all_geog_property,property_id
BiB4All_Geographic,bib4all_geog_property,UPRN
BiB4All_Geographic,bib4all_geog_property,x_coordinate_bng
BiB4All_Geographic,bib4all_geog_property,y_coordinate_bng
BiB4All_Geographic,bib4all_geog_property,x_coordinate_wgs84
BiB4All_Geographic,bib4all_geog_property,y_coordinate_wgs84
BiB4All_Geographic,bib4all_geog_property,postcode
BiB4All_Geographic,bib4all_geog_property,LSOA11CD
BiB4All_Geographic,bib4all_geog_property,WD21CD
BiB4All_Geographic,bib4all_geog_property,property_type
BiB4All_Geographic,bib4all_geog_property,is_in_bfd_la
BiB4All_Geographic,bib4all_geog_property,is_in_bibbs_area
BiB4All_Geographic,bib4all_geog_property,is_in_caz
