table_id,project_name,table_name,display_name,cohort_membership,entity_type,data_subjects,data_respondents,n_variables,n_rows,n_entities,last_updated
BiB4All_Geographic.bib4all_geog_person,BiB4All_Geographic,bib4all_geog_person,BiB4All person level geographic information,bib,participant,,,15,101646,15316,2024-05-14 09:15:44
BiB4All_Geographic.bib4all_geog_property,BiB4All_Geographic,bib4all_geog_property,BiB4All property level geographic information,bib,property,,,12,11471,11471,2024-05-14 09:15:45
BiB4All_Geographic.bib4all_geog_lsoa,BiB4All_Geographic,bib4all_geog_lsoa,BiB4All LSOA level geographic information,bib,lsoa,,,10,984,984,2024-05-14 09:15:43
BiB4All_Geographic.bib4all_geog_air_quality,BiB4All_Geographic,bib4all_geog_air_quality,BiB4All property level air quality information,bib4all,property,,,88,11274,11274,2024-07-16 15:13:58.006895
BiB4All_Geographic.bib4all_geog_built_env_indoor_qual,BiB4All_Geographic,bib4all_geog_built_env_indoor_qual,BiB4All property level built environment and indoor building quality,bib4all,property,,,39,11274,11274,2024-07-16 15:23:41.179638
BiB4All_Geographic.bib4all_geog_food_environment,BiB4All_Geographic,bib4all_geog_food_environment,BiB4All property level food environment data,bib4all,property,,,36,11274,11274,2024-07-16 15:06:52.769382
BiB4All_Geographic.bib4all_geog_green_space,BiB4All_Geographic,bib4all_geog_green_space,BiB4All property level green space data,bib4all,property,,,220,11274,11274,2024-07-17 11:36:18.115122
BiB4All_Geographic.bib4all_geog_public_transport_traffic,BiB4All_Geographic,bib4all_geog_public_transport_traffic,BiB4All property level public transport and traffic data,bib4all,property,,,85,11274,11274,2024-07-16 15:07:03.699974
BiB4All_Geographic.bib4all_geog_sc_walkability_lu,BiB4All_Geographic,bib4all_geog_sc_walkability_lu,"BiB4All property level street centrality, walkability and land use data",bib4all,property,,,37,11274,11274,2024-07-29 09:16:48.960369
BiB4All_Geographic.bib4all_geog_ndvi_longitudinal,BiB4All_Geographic,bib4all_geog_ndvi_longitudinal,BiB4All property level longitudinal NDVI data,bib4all,property,,,46,11274,11274,2024-07-17 11:36:19.984755
