project,table,variable
BiB4All_Geographic,bib4all_geog_person,PersonID
BiB4All_Geographic,bib4all_geog_person,ParticipantType
BiB4All_Geographic,bib4all_geog_person,age_m
BiB4All_Geographic,bib4all_geog_person,age_closest_data_point
BiB4All_Geographic,bib4all_geog_person,date
BiB4All_Geographic,bib4all_geog_person,date_address_data_received
BiB4All_Geographic,bib4all_geog_person,months_to_closest_data_received
BiB4All_Geographic,bib4all_geog_person,property_id
BiB4All_Geographic,bib4all_geog_person,move_no
BiB4All_Geographic,bib4all_geog_person,total_moves
BiB4All_Geographic,bib4all_geog_person,LSOA11CD
BiB4All_Geographic,bib4all_geog_person,data_source
BiB4All_Geographic,bib4all_geog_person,not_in_eng_wales
BiB4All_Geographic,bib4all_geog_person,no_historical_address_data
BiB4All_Geographic,bib4all_geog_person,low_qual_data
BiB4All_Geographic,bib4all_geog_person,is_data_interpolated
BiB4All_Geographic,bib4all_geog_property,property_id
BiB4All_Geographic,bib4all_geog_property,UPRN
BiB4All_Geographic,bib4all_geog_property,x_coordinate_bng
BiB4All_Geographic,bib4all_geog_property,y_coordinate_bng
BiB4All_Geographic,bib4all_geog_property,x_coordinate_wgs84
BiB4All_Geographic,bib4all_geog_property,y_coordinate_wgs84
BiB4All_Geographic,bib4all_geog_property,postcode
BiB4All_Geographic,bib4all_geog_property,LSOA11CD
BiB4All_Geographic,bib4all_geog_property,WD21CD
BiB4All_Geographic,bib4all_geog_property,property_type
BiB4All_Geographic,bib4all_geog_property,is_in_bfd_la
BiB4All_Geographic,bib4all_geog_property,is_in_bibbs_area
BiB4All_Geographic,bib4all_geog_property,is_in_caz
BiB4All_Geographic,bib4all_geog_lsoa,LSOA11CD
BiB4All_Geographic,bib4all_geog_lsoa,IMD_2010_decile
BiB4All_Geographic,bib4all_geog_lsoa,IMD_2010_score
BiB4All_Geographic,bib4all_geog_lsoa,IMD_2019_decile
BiB4All_Geographic,bib4all_geog_lsoa,IMD_2019_score
BiB4All_Geographic,bib4all_geog_lsoa,IMD_2019_decile_bfd
BiB4All_Geographic,bib4all_geog_lsoa,IDACI_2019_decile
BiB4All_Geographic,bib4all_geog_lsoa,IDACI_2019_score
BiB4All_Geographic,bib4all_geog_lsoa,TDI_2011_score
BiB4All_Geographic,bib4all_geog_lsoa,TDI_2011_quintile
BiB4All_Geographic,bib4all_geog_lsoa,carstairs_index_2011
